id|authorDisplayName|authorProfileImageUrl|authorChannelUrl|authorChannelId|text|videoId|viewerRating|likeCount|publishedAt|updatedAt
Ugy8xlsqqm3opwPol6B4AaABAg|"우원석"|https://yt3.ggpht.com/a/AATXAJwzKFPyyfBUD6pstcVGqzOVetkhjAgFXx9jYQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCtt3-eyRj1jgeTy02E-HpNg|UCtt3-eyRj1jgeTy02E-HpNg|"강동 오토 캠핑장으로 해서 젊은 엄마아빠들이 아이들과 편안한 휴식을 할 수 있는 공간이 하나 더 생긴 것을 축하합니다. 시간과 돈을 들여서 멀리 경북이나 강원도까지 가지 않더라도 자연의 아름다움을 체험할 수 있고 어린날의 추억을 쌓을 수 있는 가족휴식공간이 인근에 생겨서 다행입니다."|c6TvMeaIVow|none|1|2020-07-16T13:50:48Z|2020-07-16T13:50:48Z
UgyYt1AyIVrviiTg6yt4AaABAg|"약사가든"|https://yt3.ggpht.com/a/AATXAJxOIadEEmNsl4A2kdK6dHuTfrF6-mNuKQ0giTSpMQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCNq8T9Rwr9bavknO2naClDA|UCNq8T9Rwr9bavknO2naClDA|"좋아요"|c6TvMeaIVow|none|4|2020-07-14T10:32:33Z|2020-07-14T10:32:33Z
UgxrpU9TfUffdeZ8V894AaABAg|"Jinho Kwon"|https://yt3.ggpht.com/a/AATXAJwKLM2zThjD0Pnw8TuScsm3O6TGEUE3WzozNg=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UC_zshYwyHBXGx3JeXhGSEtQ|UC_zshYwyHBXGx3JeXhGSEtQ|"드디어 개장!! 요즘 캠핑장 예약이 치열하던데 당첨됐으면 좋겠습니다~"|c6TvMeaIVow|none|2|2020-07-14T08:35:03Z|2020-07-14T08:35:03Z
UgyZBJ5YX6OuGr-tk6J4AaABAg|"JangHi Lee"|https://yt3.ggpht.com/a/AATXAJwz1VCFBly3hwaUE62Zjy6z7xC-AHGmZkJIXg=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCs7kx1Lv8FzdWypnFAr3dHg|UCs7kx1Lv8FzdWypnFAr3dHg|"ㅎㅎ재미있게 잘 들었습니다^^ 북구의 발전을 기대하겠습니다"|F3z-d1g8d3k|none|1|2020-07-15T04:37:49Z|2020-07-15T04:37:49Z
Ugxatgh7QzLowWPC2hh4AaABAg|"박유정"|https://yt3.ggpht.com/a/AATXAJz0jhn74UpFDdhA_QynyM51DJxJopZ-E09JGw=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCl-vJZ-ziNYGWkqnNVvHMzA|UCl-vJZ-ziNYGWkqnNVvHMzA|"재밌게 잘 보았습니다~"|F3z-d1g8d3k|none|2|2020-07-10T08:31:22Z|2020-07-10T08:31:22Z
UgwqNYfdL5RdX-u-T1x4AaABAg|"약사가든"|https://yt3.ggpht.com/a/AATXAJxOIadEEmNsl4A2kdK6dHuTfrF6-mNuKQ0giTSpMQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCNq8T9Rwr9bavknO2naClDA|UCNq8T9Rwr9bavknO2naClDA|"재밌는 영상 잘 보고 갑니다~!"|F3z-d1g8d3k|none|3|2020-07-10T04:42:56Z|2020-07-10T04:42:56Z
UgwnBVHLL3_rCdaxLfN4AaABAg|"김도현"|https://yt3.ggpht.com/a/AATXAJyjDMlXefSuvHRqdPgtvyPxAH3YrjTmAlvsXg=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCZlxKWR11PKR67JNoiV2LNA|UCZlxKWR11PKR67JNoiV2LNA|"축하합니다"|Urs9EIwT0XI|none|1|2020-07-08T22:03:44Z|2020-07-08T22:03:44Z
UgxkOYU0Z81I8AXK4zV4AaABAg|"박유정"|https://yt3.ggpht.com/a/AATXAJz0jhn74UpFDdhA_QynyM51DJxJopZ-E09JGw=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCl-vJZ-ziNYGWkqnNVvHMzA|UCl-vJZ-ziNYGWkqnNVvHMzA|"축하드립니다~^^"|Urs9EIwT0XI|none|2|2020-07-08T07:57:01Z|2020-07-08T07:57:01Z
Ugw0uEO0_YS-B1QV8CN4AaABAg|"박유정"|https://yt3.ggpht.com/a/AATXAJz0jhn74UpFDdhA_QynyM51DJxJopZ-E09JGw=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCl-vJZ-ziNYGWkqnNVvHMzA|UCl-vJZ-ziNYGWkqnNVvHMzA|"ㅋㅋ 삭았다가 그 삭았다군요~~^^♡ 재미있게 잘 봤습니다~^♡^"|8ZTSFAz2Grk|none|2|2020-07-03T08:52:47Z|2020-07-03T08:52:47Z
Ugw_p9sGVzXusHLbTHh4AaABAg|"약사가든"|https://yt3.ggpht.com/a/AATXAJxOIadEEmNsl4A2kdK6dHuTfrF6-mNuKQ0giTSpMQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCNq8T9Rwr9bavknO2naClDA|UCNq8T9Rwr9bavknO2naClDA|"재밌어요~ 잘 보고 갑니다~!"|8ZTSFAz2Grk|none|3|2020-06-30T06:41:38Z|2020-06-30T06:41:38Z
UgwK_piFxwo7KSE0JI14AaABAg|"김도현"|https://yt3.ggpht.com/a/AATXAJyjDMlXefSuvHRqdPgtvyPxAH3YrjTmAlvsXg=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCZlxKWR11PKR67JNoiV2LNA|UCZlxKWR11PKR67JNoiV2LNA|"지원금은 한방에 ㅋ"|wnMcYx4i0rM|none|1|2020-06-18T20:48:02Z|2020-06-18T20:48:02Z
