id|authorDisplayName|authorProfileImageUrl|authorChannelUrl|authorChannelId|text|videoId|viewerRating|likeCount|publishedAt|updatedAt
UgzsAxmn_-5GL2_QLh14AaABAg|"조은일"|https://yt3.ggpht.com/a/AATXAJyom_QWS6qsK37YaDwa-5oHD9yUE0spiEzGvQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCU5mWvHDRlX9V2yue2SZOKw|UCU5mWvHDRlX9V2yue2SZOKw|"모바일 보증, 편리하겠네요^^"|g7kfzFqmht8|none|0|2020-07-18T16:05:58Z|2020-07-18T16:05:58Z
UgzN7W9jbbnfof1_WIl4AaABAg|"최순규"|https://yt3.ggpht.com/a/AATXAJwf8uYjJ38QFUX5ELiqgAExzJjRq1JCHEwdyQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCXHJTPsH_RFkWSejrfNXXQw|UCXHJTPsH_RFkWSejrfNXXQw|"환영합니다"|3E5cqu6VXyo|none|0|2020-07-14T07:54:28Z|2020-07-14T07:54:28Z
UgyxVX73WOi7SafIOPt4AaABAg|"황자네"|https://yt3.ggpht.com/a/AATXAJzTZtdoXniUml6eiW2SmExhmP3jTGBM521MUwOVUA=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCBcWTkq8ueoB0-tMsb9BfPg|UCBcWTkq8ueoB0-tMsb9BfPg|"최사장님 투잡 뛰시는 거 같네요 재밌게 잘 봤습니당"|3E5cqu6VXyo|none|0|2020-07-09T09:58:03Z|2020-07-09T09:58:03Z
UgxtAwFn1VF-_3z9QsF4AaABAg|"성민상"|https://yt3.ggpht.com/a/AATXAJzqeayg4Fkv7nayduZ4_B-Quaa1ffWPsXObEBBq=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UClKDRsQ-7HaH0Jz6xW-ldWg|UClKDRsQ-7HaH0Jz6xW-ldWg|"최사장님 일어 잘하게 생기셨네.."|3E5cqu6VXyo|none|1|2020-07-03T05:12:06Z|2020-07-03T05:12:06Z
Ugzynx9SVFrojaUj8J54AaABAg|"반짝반짝 작은 별"|https://yt3.ggpht.com/a/AATXAJzt64uTceF8TYLKWCkKxIbIK5pumDwR6KWE1Ka5=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCwxhUtp4pLbQ7RPmAwykhPw|UCwxhUtp4pLbQ7RPmAwykhPw|"귀엽고 깔끔 담백하게 내용 전달되네요👍"|3E5cqu6VXyo|none|1|2020-07-03T04:47:54Z|2020-07-03T04:47:54Z
UgyxEk33UxnLC_3ZDhB4AaABAg|"최은지"|https://yt3.ggpht.com/a/AATXAJz6pv7zoQlZ4wzGTTfgZYfXzXswSgVFliARng=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCi-ntcZxapvTronfZfi5GOA|UCi-ntcZxapvTronfZfi5GOA|"ㅋㅋ생선가게 사장님 연기자세요...?잘하시네"|3E5cqu6VXyo|none|2|2020-07-03T03:24:58Z|2020-07-03T03:24:58Z
UgycdFXAEiiljqel-GZ4AaABAg|"김기곤"|https://yt3.ggpht.com/a/AATXAJyzBXKb7-gc551CMNSx6f4mXB6QAuiH6fly6A=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCipI37-0SqcOKIwxPprF5GQ|UCipI37-0SqcOKIwxPprF5GQ|"내용이  이해가  잘 되고 알차네요 왠지  동정심도  갖게 되구요 수고  하셨어요 화이팅!"|3E5cqu6VXyo|none|3|2020-07-03T01:02:10Z|2020-07-03T01:02:10Z
Ugwfv3sMuncg3iFzfrp4AaABAg|"Eunbyul Kwon"|https://yt3.ggpht.com/a/AATXAJx8VkwBbpJia7V2iaM_kx8bwplgqKegaXwfrQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCTPNo22z12yFmKuVDjESfZw|UCTPNo22z12yFmKuVDjESfZw|"경기신용보증재단에 대한 유익하고 재밌는 영상 잘 봤습니다!😆😆😆 연기를 참 잘 하시네요!"|qdSwvOZ1Pu4|none|0|2020-07-04T03:04:40Z|2020-07-04T03:04:40Z
UgyRY-xYwmfFkWFxtN94AaABAg|"김현우"|https://yt3.ggpht.com/a/AATXAJzajzc3zZ6IpvE2tevNcQRS-dtjolov2ANKUQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCSote8WV1RBQk-qve1maDgg|UCSote8WV1RBQk-qve1maDgg|"지선우분 연기가 너무 찰떡이네요 응원합니다"|LS5TcoiqFb0|none|0|2020-07-05T07:43:45Z|2020-07-05T07:43:45Z
UgzkB9TmuLtMVJhKDGp4AaABAg|"Hojun Lee"|https://yt3.ggpht.com/a/AATXAJzd3D_FlyU0IhShDfGj6FW45MutZ7b9MpNRuQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCoexUg-hWyRjh1gYYMw6l6A|UCoexUg-hWyRjh1gYYMw6l6A|"1조가 최고네요~~  핑크섹 옷 입으신분 스카이캐슬에나온 예서인줄~~~"|LS5TcoiqFb0|none|0|2020-07-03T03:54:13Z|2020-07-03T03:54:13Z
