id|authorDisplayName|authorProfileImageUrl|authorChannelUrl|authorChannelId|text|videoId|viewerRating|likeCount|publishedAt|updatedAt
UgwvUl5Q5ljF2IiHFcJ4AaABAg|"chiem YUU"|https://yt3.ggpht.com/a/AATXAJzMI1gJjTFbdB28V6rk22ARPXedDnpy3MlBiQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCqIUbhLZKi4rQZwp24sjYdw|UCqIUbhLZKi4rQZwp24sjYdw|"부산국제원자력산업전 gogogo~~!!"|JxPLPPPaFTs|none|0|2020-07-17T08:29:40Z|2020-07-17T08:29:40Z
Ugz5cgbz9reOHai3YcZ4AaABAg|"Christopher Boyd Tressler"|https://yt3.ggpht.com/a/AATXAJxf6T0HIPKe3_wJKB7AgEpg-SPMXLBS36tEQQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCb_rT54Dq5h0C9xHnTj7vFg|UCb_rT54Dq5h0C9xHnTj7vFg|"So cool. Thank you for making this"|JxPLPPPaFTs|none|0|2020-07-17T07:20:55Z|2020-07-17T07:20:55Z
UgwvdaV-ucYQrk8zUwB4AaABAg|"필통의 쉼터"|https://yt3.ggpht.com/a/AATXAJxh4wvJ-xcaMcgE8PmtWcUniINa0_FcG30QQkag=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCvJzrw0cOtaj4ILwSj5gHmQ|UCvJzrw0cOtaj4ILwSj5gHmQ|"원전해체 방사화된 것을 안전하게 보관?"|JxPLPPPaFTs|none|1|2020-07-17T05:47:54Z|2020-07-17T05:47:54Z
UgxyozlkD9j9oIolnOl4AaABAg|"김혜빈"|https://yt3.ggpht.com/a/AATXAJxhZ2Yb3-DMHWvprHXi0Q6uFt7G5nHuz3vzKQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UC3U5d-bwZOvIpcNwG8EYM1w|UC3U5d-bwZOvIpcNwG8EYM1w|"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 원자력.. 듣기만해도 무서운데..영상보고나니 밥줄로 통일🙃"|JxPLPPPaFTs|none|1|2020-07-17T05:31:02Z|2020-07-17T05:31:02Z
UgyvdppZ1KsNOpX0zhp4AaABAg|"후라이드"|https://yt3.ggpht.com/a/AATXAJyJtTQVz5sGwC6hnRaJuTOhifGTX-Lm_UIULd15DA=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCurDrm_ltrebUmE2TAydlCg|UCurDrm_ltrebUmE2TAydlCg|"결론 : 원자력은 밥줄이다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ생소한 분야였는데 재밌네용~.~"|JxPLPPPaFTs|none|2|2020-07-17T05:18:45Z|2020-07-17T05:18:45Z
UgwQJZTD2ZGPMMkH2Ud4AaABAg|"chiem YUU"|https://yt3.ggpht.com/a/AATXAJzMI1gJjTFbdB28V6rk22ARPXedDnpy3MlBiQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCqIUbhLZKi4rQZwp24sjYdw|UCqIUbhLZKi4rQZwp24sjYdw|"재미겠네요"|zqfiVMeAuSU|none|2|2020-07-11T15:18:40Z|2020-07-11T15:18:40Z
UgwuMtLS7PeOqqyvcnF4AaABAg|"Farnaz Pirasteh"|https://yt3.ggpht.com/a/AATXAJwJrjlkww1yMJyZDS9xkaFAA_g9vkRU1D1OWU4cjQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UChoDXLds4Szvs1Rhn6CbpQQ|UChoDXLds4Szvs1Rhn6CbpQQ|"Woooow look at that!!! I should go take a photo there."|zqfiVMeAuSU|none|2|2020-07-10T11:28:52Z|2020-07-10T11:28:52Z
Ugy0ZH7_eQ20g1XpF8d4AaABAg|"Christopher Boyd Tressler"|https://yt3.ggpht.com/a/AATXAJxf6T0HIPKe3_wJKB7AgEpg-SPMXLBS36tEQQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCb_rT54Dq5h0C9xHnTj7vFg|UCb_rT54Dq5h0C9xHnTj7vFg|"That photo zone is rockin'!"|zqfiVMeAuSU|none|2|2020-07-10T08:05:31Z|2020-07-10T08:05:31Z
UgzCH7zEgZPuDmJcsBZ4AaABAg|"국제환경에너지산업전ENTECH"|https://yt3.ggpht.com/a/AATXAJw7yvZMRdZQJ9_cgQ_PF7L2QzH83WLnHoWlaw0-Zg=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCg3kPq_KzqtBKQ_KVRIPl3A|UCg3kPq_KzqtBKQ_KVRIPl3A|"영상 완전 재밌어요!ㅋㅋㅋㅋㅋㅋ 바우와우 대리님 :)"|zqfiVMeAuSU|none|2|2020-07-10T08:00:35Z|2020-07-10T08:00:35Z
UgzQEUt9zZoapObR3jF4AaABAg|"김혜빈"|https://yt3.ggpht.com/a/AATXAJxhZ2Yb3-DMHWvprHXi0Q6uFt7G5nHuz3vzKQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UC3U5d-bwZOvIpcNwG8EYM1w|UC3U5d-bwZOvIpcNwG8EYM1w|"바우와웈ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"|zqfiVMeAuSU|none|3|2020-07-10T06:40:44Z|2020-07-10T06:40:44Z
Ugz3Pbc6kmzt9f-eOfB4AaABAg|"zzang mot"|https://yt3.ggpht.com/a/AATXAJxtWvBTtaoLtJ4mbcL3pzgrZ_Opp35QXqdSkeFm=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCISxgkSwbUUdoKZK_HJ0Q9g|UCISxgkSwbUUdoKZK_HJ0Q9g|"내 마음 속의 핵분열🔥"|zqfiVMeAuSU|none|3|2020-07-10T06:40:29Z|2020-07-10T06:40:29Z
UgxsmtEFpGb9d3vazhx4AaABAg|"chiem YUU"|https://yt3.ggpht.com/a/AATXAJzMI1gJjTFbdB28V6rk22ARPXedDnpy3MlBiQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCqIUbhLZKi4rQZwp24sjYdw|UCqIUbhLZKi4rQZwp24sjYdw|"많은 골프 용품을 전시하고 있네요"|A22yVWAX5xU|none|1|2020-07-11T15:15:50Z|2020-07-11T15:15:50Z
