id|authorDisplayName|authorProfileImageUrl|authorChannelUrl|authorChannelId|text|videoId|viewerRating|likeCount|publishedAt|updatedAt
UgxhNpabB7tRVJ3Vd6R4AaABAg|"Fitri Rahayu"|https://yt3.ggpht.com/a/AATXAJyyBEcM3JihnCfBs4hPWB6nl2Q0fxOugj0pGy-e=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCWHohewraTMfZhmRHsOgaNg|UCWHohewraTMfZhmRHsOgaNg|"Good"|UwTQRufwx4o|none|0|2020-07-02T12:55:31Z|2020-07-02T12:55:31Z
Ugyi-IqkzYufQ6GQ16t4AaABAg|"리몽키"|https://yt3.ggpht.com/a/AATXAJytNdtxtFnzkSwOgDaJdGwhpOnBmMjwxV5uMA=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCoAde4vr8BuKS-WVmBuAo8w|UCoAde4vr8BuKS-WVmBuAo8w|"서울대 법의학교실  유성호 교수님  유성호 교수님 방금 그것이알고싶다에서의  인터뷰를 보았어요. 메일주소가 없어서 댓글을 달았어요. 수고하세요~   불교tv-교양(종영)-장태상의생활풍수지리 제1회 (20분 부분에 잠자는 위치에 대한이해)    불교tv-포교신행(종영)-불교로이해하는 현대철학 21강 존재의두방식 (매트릭스,아바타,곡성 에 대한이해)   유투브-strong will continue video hd (현대철학21강을 뮤직비디오로)    유투브-우타다 히카루 prisoner of love   유투브-가슴의대화 2회2부 전생연구소 박진여 (?????)    유투브-hear n aid-stars    불교tv-포교신행(종영)-김종욱의 불교와 철학의 만남 제8강 (달마스님 계보)    유투브-알찬tv 로즈인터뷰 유투브-알찬tv 승리인터뷰 (네이버 알찬tv 승리인터뷰 ) (기독교?????)   유투브-윤시원 (고스트 장비)    유투브-matisyahu-jerusalem (out of darkness comes light) (video)     유투브-건들건들  검은신데렐라 글록17  1편    우투브-포스트코로나 뉴노멀을말하다 2회 김누리교수 (야수자본주의vs복지자본주의)   (불교티비 사이트 회원가입 필요없음)"|2IhSpv5T1lE|none|0|2020-07-12T02:51:10Z|2020-07-12T02:51:10Z
UgxUEcdimlBW0n65nC94AaABAg|"박은아"|https://yt3.ggpht.com/a/AATXAJylyQSc9H7-SYFhqe2SK9GrzqNNqgrBtNS50A=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCHNs-RFg2pwKgAH_BfQu9og|UCHNs-RFg2pwKgAH_BfQu9og|"서울대학교 성범죄자 이석원 교수를 공개 추방해주세요."|2IhSpv5T1lE|none|0|2020-07-09T12:31:39Z|2020-07-09T12:31:39Z
Ugxb2OB2hPC_xd_R47p4AaABAg|"강동호"|https://yt3.ggpht.com/a/AATXAJzdZj2xaLpC5kFA3ibvtWp8xZBxhpzztMGUtw=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCxdfKCAdzkWWqFQUa9ZR8WA|UCxdfKCAdzkWWqFQUa9ZR8WA|"1등"|2IhSpv5T1lE|none|1|2020-07-04T14:05:28Z|2020-07-04T14:05:28Z
UgxWiFKxRh7VEOw2YGx4AaABAg|"Firdos Banu"|https://yt3.ggpht.com/a/AATXAJyicsT6S9iE9qVrlwVkb60P-bMZsNuA1SvBRw=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCTzjcYe1VSR4NxDHY-IVemA|UCTzjcYe1VSR4NxDHY-IVemA|"영어 자막이 있으면 시청자에게 좋을 것입니다."|rrokb2lwr5o|none|0|2020-06-19T14:15:41Z|2020-06-19T14:15:41Z
UgyWjmJBrNo2JHGsWTN4AaABAg|"Farah Zaida XII TKJ 1"|https://yt3.ggpht.com/a/AATXAJySmbP5rI5J6try0Hgxgpei8DyZRogkxSYDY2tk=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UC2NsFbq4LKeFpfmIdLFQJQA|UC2NsFbq4LKeFpfmIdLFQJQA|"English sub , please 🤗🙏🏻"|rrokb2lwr5o|none|1|2020-06-19T09:50:21Z|2020-06-19T09:50:21Z
UgyydYb9TQw9-b_kY8N4AaABAg|"박재영"|https://yt3.ggpht.com/a/AATXAJw8TYu8evDmeu_dNSebuUgG5IHDPUBvF110VVcnPg=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCb92MKiccz8vnhF_T255JDQ|UCb92MKiccz8vnhF_T255JDQ|"유익하고 좋은 영상입니다"|lZGgN3BX4Jc|none|0|2020-06-29T07:44:42Z|2020-06-29T07:44:42Z
UgzY1hn-jy9iZW_ETgJ4AaABAg|"Alifiya kapasi"|https://yt3.ggpht.com/a/AATXAJy2Q4TAYzAmuxjzCH34Vkq81-ZNrSRlZCYMMw=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCkGtJbWczEuRk30u1Jhe5cw|UCkGtJbWczEuRk30u1Jhe5cw|"Can I get chance to study SNU university?"|ePo6Aef3bRc|none|0|2020-06-12T10:11:01Z|2020-06-12T10:11:01Z
UgzuKDyGxj__z_AlgkR4AaABAg|"Olive and Green fruits"|https://yt3.ggpht.com/a/AATXAJxPaZNmC_VPkCXrPcqt79-vMiixllOD-oZYkA=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCGF_6XszjQVyItKQdv7jnLg|UCGF_6XszjQVyItKQdv7jnLg|"고위험 시설도 아니고  개인 신상정보가 모두 드러나는  QR코드를 가장 먼저 도입한  서울대병원 정신차려라!!   세계공산주의 세력들이 음모하는  인류장악화의  한 방편인 의료 디지털화에 병원이 앞장선 것은 아이러니하다!!   인간의 생명줄인 식량과 의료를 통해 휘어잡고  감시, 조종하고 있는  사악한  미국 딥스테이트들과 중국 공산당들이 합세한  세계 단일화 정부에  QR코드를 앞장서 도입한  사악한 서울대병원에 대해  깨어있는 국민은 거부해야한다!!    현재 주사파 정권이 밀어부치고 있는  QR코드 의무화는  중공처럼 모든 개인정보를   빅 데이터화해서 저들이 원하는 악한 목적에 사용하고,  독재 공산주의로 가기위한  전주곡임을 알아야 할것이다"|SG0wgAIUdr4|none|0|2020-07-19T05:08:15Z|2020-07-19T05:08:15Z
Ugx2BW0yfe4hiPSD6K14AaABAg|"ch c"|https://yt3.ggpht.com/a/AATXAJz8FNn9W1g_bd_PfHVBxpiga4kbnXAojuL73A=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCVEVZ7jQKjUiQXd36KlFTKQ|UCVEVZ7jQKjUiQXd36KlFTKQ|"혹시 피아노 치시는 분 보디빌더인가요?"|-fF4ISJ_NJg|none|1|2020-04-29T07:59:23Z|2020-04-29T07:59:23Z
Ugw-tydXCdmWTuFIqi54AaABAg|"노윤서"|https://yt3.ggpht.com/a/AATXAJzteUeLpXWMYGs4reqphPvxBMqTvRKz_g0NXHk7=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCzGHWu5gM3z7YTDUsNzwc6A|UCzGHWu5gM3z7YTDUsNzwc6A|"좋은 가사인데 왜 슬플까.."|a24pfNiRgqI|none|0|2020-05-17T19:18:28Z|2020-05-17T19:18:28Z
UgyGRA8P5ZG9RZFHuCJ4AaABAg|"노윤서"|https://yt3.ggpht.com/a/AATXAJzteUeLpXWMYGs4reqphPvxBMqTvRKz_g0NXHk7=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCzGHWu5gM3z7YTDUsNzwc6A|UCzGHWu5gM3z7YTDUsNzwc6A|"바램은 죄가 될테니까.. 너무 슬프다"|a24pfNiRgqI|none|0|2020-05-17T19:16:20Z|2020-05-17T19:16:20Z
Ugx6NHAbRFomIWhT5eh4AaABAg|"노윤서"|https://yt3.ggpht.com/a/AATXAJzteUeLpXWMYGs4reqphPvxBMqTvRKz_g0NXHk7=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCzGHWu5gM3z7YTDUsNzwc6A|UCzGHWu5gM3z7YTDUsNzwc6A|"따뜻해지네요"|a24pfNiRgqI|none|0|2020-05-17T19:14:11Z|2020-05-17T19:14:40Z
Ugx1a0EAL9jtHbhmScJ4AaABAg|"ch c"|https://yt3.ggpht.com/a/AATXAJz8FNn9W1g_bd_PfHVBxpiga4kbnXAojuL73A=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCVEVZ7jQKjUiQXd36KlFTKQ|UCVEVZ7jQKjUiQXd36KlFTKQ|"이 영상을 보고 안구 건조증이 없어졌습니다,,"|a24pfNiRgqI|none|1|2020-04-29T07:50:03Z|2020-04-29T07:50:03Z
UgwEE4QDy8WAorQSKwV4AaABAg|"ZSR"|https://yt3.ggpht.com/a/AATXAJwRArPCtRGu-tcoI3RDmXg4oRp5dORIPUQhyDZrFA=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCA87ZT8zcOShkieEC4NGmGQ|UCA87ZT8zcOShkieEC4NGmGQ|"믿고 듣는 듀엣"|GFy8Zb71F58|none|2|2020-05-15T13:52:11Z|2020-05-15T13:52:11Z
UgxfxCNnQMYAwYg8zGp4AaABAg|"RFS파일럿"|https://yt3.ggpht.com/a/AATXAJyiHUe1IlA39hiKAQymELnj8fHABth_9wBIiHRh=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UC-0clnfqVraGXMrazA86HKA|UC-0clnfqVraGXMrazA86HKA|"훌륭합니다 서울대학교"|GFy8Zb71F58|none|1|2020-05-13T05:45:57Z|2020-05-13T05:45:57Z
Ugyv4w8dsVcig4cifz94AaABAg|"Yong-heon Ahn 안용헌"|https://yt3.ggpht.com/a/AATXAJzyaa8zT8wRu7x4Txa8LR_K0Q5sZYyIm_OLeo8J1g=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCsPDVNNArmUejerZca8wozw|UCsPDVNNArmUejerZca8wozw|"좋은 프로젝트 감사합니다!"|GFy8Zb71F58|none|4|2020-05-02T22:01:05Z|2020-05-02T22:01:05Z
UgxP4GqknxBdEYjR9mB4AaABAg|"James Lee"|https://yt3.ggpht.com/a/AATXAJxtaUBPVrdEdhv36-_A-A2oFT2vWPWl6r7UQ-uc=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCao3CdzvczbGITiA_f9aEAQ|UCao3CdzvczbGITiA_f9aEAQ|"Beautiful!  👏👏"|GFy8Zb71F58|none|2|2020-04-29T08:29:20Z|2020-04-29T08:29:20Z
UgwIyGJFitL2l0bWWuF4AaABAg|"Once_To_Ten"|https://yt3.ggpht.com/a/AATXAJx0MUtIH0Z6JJdv8sF4jdBc0ocmv7J91OvPkypADA=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCN7kJnRAFFHVr4jjPVP4Q-g|UCN7kJnRAFFHVr4jjPVP4Q-g|"멋져요"|GFy8Zb71F58|none|2|2020-04-29T05:33:26Z|2020-04-29T05:33:26Z
