id|authorDisplayName|authorProfileImageUrl|authorChannelUrl|authorChannelId|text|videoId|viewerRating|likeCount|publishedAt|updatedAt
UgxN54N3gYZzcmVh9kd4AaABAg|"약사가든"|https://yt3.ggpht.com/a/AATXAJxOIadEEmNsl4A2kdK6dHuTfrF6-mNuKQ0giTSpMQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCNq8T9Rwr9bavknO2naClDA|UCNq8T9Rwr9bavknO2naClDA|"영상 잘 보고 갑니다~!"|xL7aw0cj4Hc|none|2|2020-07-13T09:16:37Z|2020-07-13T09:16:37Z
UgwMo1esFaE0pSBxLph4AaABAg|"약사가든"|https://yt3.ggpht.com/a/AATXAJxOIadEEmNsl4A2kdK6dHuTfrF6-mNuKQ0giTSpMQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCNq8T9Rwr9bavknO2naClDA|UCNq8T9Rwr9bavknO2naClDA|"중구청 소식 잘 보고 갑니다~!"|gUaL-KehSLk|none|1|2020-07-13T09:12:00Z|2020-07-13T09:12:00Z
UgwDyeH22l494_QdL8V4AaABAg|"약사가든"|https://yt3.ggpht.com/a/AATXAJxOIadEEmNsl4A2kdK6dHuTfrF6-mNuKQ0giTSpMQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCNq8T9Rwr9bavknO2naClDA|UCNq8T9Rwr9bavknO2naClDA|"소식 잘 보고 갑니다~!"|z0XXlwfWIJo|none|1|2020-07-06T21:52:31Z|2020-07-06T21:52:31Z
UgxCr8bG4yv_7O2zDQd4AaABAg|"약사가든"|https://yt3.ggpht.com/a/AATXAJxOIadEEmNsl4A2kdK6dHuTfrF6-mNuKQ0giTSpMQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCNq8T9Rwr9bavknO2naClDA|UCNq8T9Rwr9bavknO2naClDA|"잘 보고 갑니다~!"|X4Zt4daJNNE|none|1|2020-06-30T05:16:11Z|2020-06-30T05:16:11Z
Ugw90nDo4BPtRjuLL_t4AaABAg|"약사가든"|https://yt3.ggpht.com/a/AATXAJxOIadEEmNsl4A2kdK6dHuTfrF6-mNuKQ0giTSpMQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCNq8T9Rwr9bavknO2naClDA|UCNq8T9Rwr9bavknO2naClDA|"잘 보고 갑니다~"|r00saOrpQmQ|none|0|2020-06-22T11:36:38Z|2020-06-22T11:36:38Z
UgxiM9W7ODEfEtS3EWB4AaABAg|"약사가든"|https://yt3.ggpht.com/a/AATXAJxOIadEEmNsl4A2kdK6dHuTfrF6-mNuKQ0giTSpMQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCNq8T9Rwr9bavknO2naClDA|UCNq8T9Rwr9bavknO2naClDA|"좋아요~"|kjwv4rSsA4g|none|1|2020-06-17T17:19:06Z|2020-06-17T17:19:06Z
UgyC_nqVo1NjLiK5kQd4AaABAg|"약사가든"|https://yt3.ggpht.com/a/AATXAJxOIadEEmNsl4A2kdK6dHuTfrF6-mNuKQ0giTSpMQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCNq8T9Rwr9bavknO2naClDA|UCNq8T9Rwr9bavknO2naClDA|"좋습니다~"|pDPlPgI1B1U|none|1|2020-06-17T17:22:22Z|2020-06-17T17:22:22Z
UgxdPqFFxvT6QvcjVPV4AaABAg|"김미경"|https://yt3.ggpht.com/a/AATXAJyfOiBrKcuHMVudipUAQXySZOlJ5wJj61FaEg=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCK9oBAKqrrz7ZIz1BEm_ERw|UCK9oBAKqrrz7ZIz1BEm_ERw|"ㄹㄱㄷㆍ디ㅡㄱㅍ.ㅌㅅ죡ㄴ"|lCB-M85dGCU|none|0|2020-05-21T06:55:50Z|2020-05-21T06:55:50Z
UgyXY6wt2hEK3FcKLNd4AaABAg|"김미경"|https://yt3.ggpht.com/a/AATXAJyfOiBrKcuHMVudipUAQXySZOlJ5wJj61FaEg=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCK9oBAKqrrz7ZIz1BEm_ERw|UCK9oBAKqrrz7ZIz1BEm_ERw|"0017244"|hjRlUX9npgk|none|0|2020-07-15T08:04:07Z|2020-07-15T08:04:07Z
UgzsoJuxG8Cy68vG1wZ4AaABAg|"김미경"|https://yt3.ggpht.com/a/AATXAJyfOiBrKcuHMVudipUAQXySZOlJ5wJj61FaEg=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCK9oBAKqrrz7ZIz1BEm_ERw|UCK9oBAKqrrz7ZIz1BEm_ERw|"ㄱㅎㄴㅎㄴㄷㄴㄷㄹㅅㄴㅅㄹㅅ"|HqGbgnic1F0|none|0|2020-05-24T02:32:35Z|2020-05-24T02:32:35Z
