id|authorDisplayName|authorProfileImageUrl|authorChannelUrl|authorChannelId|text|videoId|viewerRating|likeCount|publishedAt|updatedAt
UgxCGf6_jzKcMTKAp1Z4AaABAg|"KIEP 대외경제정책연구원"|https://yt3.ggpht.com/a/AATXAJy9Ox9WOVWC7MK1znyk9Ggqb8K_s3sqSJeLB_JVLw=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCM_0SZaSF2KSxQZiYOIcCfg|UCM_0SZaSF2KSxQZiYOIcCfg|"🔎원청-하청 간 거래관행이 '혁신'에 미치는 영향?! ⏯️영상보고서로 시청하세요! ✔️00:44 독일 사례🏎️ ✔️01:50 미국 사례🚗 ✔️04:28 우리나라에게 주는 시사점😊 ✔️05:19 조동희 유럽팀장 인터뷰👨‍🎓"|EAsgI7VoizU|none|0|2020-07-20T05:30:01Z|2020-07-20T05:30:01Z
UgzpMOHEB4umpTv5Eqt4AaABAg|"KIEP 대외경제정책연구원"|https://yt3.ggpht.com/a/AATXAJy9Ox9WOVWC7MK1znyk9Ggqb8K_s3sqSJeLB_JVLw=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCM_0SZaSF2KSxQZiYOIcCfg|UCM_0SZaSF2KSxQZiYOIcCfg|"🌍금주 살펴볼 곳은 "유럽"과 "중남미" 입니다.😃 ✔️막힌 하늘길 속에 항공산업 체질 개선될까? 유럽 항공사, 환경과 경제성에 눈길 돌려(00:07~02:10) ✔️중남미 20개국, IMF 문 두드렸다... 최악침체 속 금융지원으로 출구 찾아(02:10~04:00) ✔️그 외 해외이슈(04:00~04:25)"|nUOChjN0fSI|none|4|2020-07-10T08:13:41Z|2020-07-10T08:13:48Z
Ugz1_yf8oBMY7ljyygV4AaABAg|"Sehyung Lee"|https://yt3.ggpht.com/a/AATXAJyLOHEkaRlbUGfmheVk_xNle3OyYlG7iC--xw=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UC3F7Idkth3o3qWKBhTo_GOA|UC3F7Idkth3o3qWKBhTo_GOA|"갈완 계곡이 그런 의미였군요.  분석 잘 봤습니다. ^^"|-85mJwkwybM|none|0|2020-06-29T05:04:49Z|2020-06-29T05:04:49Z
UgxkOUUof-OY3zvyj794AaABAg|"청춘청춘"|https://yt3.ggpht.com/a/AATXAJwiy4EeYgSVZx1wsKtCpMzhEOGWLXgV-insOQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCOsLngvOFsCp9gr5bBpU0rw|UCOsLngvOFsCp9gr5bBpU0rw|"☆검소한 4개국이 아니라 인색한 4개국이라고 느껴지네요 4개국 모두 EU내에서 부유한 국가에 속하면서도 보조금이 아니라 대출방식으로 경제회복기금을 마련하자고 하는데  EU간의 합의가 어떻게 전개될지 이목이 집중되고 있네요 대외경제정책연구원  응원합니다🙆‍♀️"|-85mJwkwybM|none|3|2020-06-28T00:57:59Z|2020-06-28T01:11:41Z
UgwCcs_CK5Upc9vAf5Z4AaABAg|"J Leo"|https://yt3.ggpht.com/a/AATXAJwAO1TlM8VZHohhlhlQnH4RFQqzKBHEOrEnQbHFRQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCzN2FsZQeQSPNBrm0U_srPw|UCzN2FsZQeQSPNBrm0U_srPw|"중국은 정말 세계의 악의 축이네~ 분쟁을 안하는 곳이 없어~"|-85mJwkwybM|none|1|2020-06-26T16:57:16Z|2020-06-26T16:57:41Z
UgwxsNY_M6XLpuIL4Tt4AaABAg|"KIEP 대외경제정책연구원"|https://yt3.ggpht.com/a/AATXAJy9Ox9WOVWC7MK1znyk9Ggqb8K_s3sqSJeLB_JVLw=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCM_0SZaSF2KSxQZiYOIcCfg|UCM_0SZaSF2KSxQZiYOIcCfg|"금주 살펴볼 곳은 "인도-중국"과 "EU" 입니다.😃 ✔️코끼리와 용의 어떤 싸움? 인도-중국 분쟁지역 유혈충돌!(00:07~02:55) ✔️EU 정상, 코로나19 기금 지원방식 정한다... EU 다년간지출예산 7월 합의 추진!(02:58~04:45) ✔️그 외 해외이슈(04:46~05:07)"|-85mJwkwybM|none|3|2020-06-26T16:40:59Z|2020-06-26T16:40:59Z
Ugz1LjSl4U-OdSXLkiZ4AaABAg|"청춘청춘"|https://yt3.ggpht.com/a/AATXAJwiy4EeYgSVZx1wsKtCpMzhEOGWLXgV-insOQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCOsLngvOFsCp9gr5bBpU0rw|UCOsLngvOFsCp9gr5bBpU0rw|"선진국들은 고부가가치 4차산업을 보호하기위해  라이센싱, 기술장벽 등 비관세장벽을 통해  신보호무역주의를 강화하는 추세이군요 대외경제정책연구원 응원합니다"|lepVsrapVfU|none|3|2020-06-23T15:53:31Z|2020-06-23T15:57:20Z
Ugwhrly_-Cv6oqZ9pnR4AaABAg|"위무선"|https://yt3.ggpht.com/a/AATXAJwrNqfThVQ5bBEm56RU536Hx7fm_oEHNQgDrA=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCxcwgYvD5uLy3_g_9mvatIQ|UCxcwgYvD5uLy3_g_9mvatIQ|"#구독완료🎉 #좋아요완료🎉 #알림설정완료🎉"|5ERQr1EbFW0|none|0|2020-06-20T02:46:20Z|2020-06-20T02:46:20Z
UgwUrx-g-3-SBh-_UZN4AaABAg|"KIEP 대외경제정책연구원"|https://yt3.ggpht.com/a/AATXAJy9Ox9WOVWC7MK1znyk9Ggqb8K_s3sqSJeLB_JVLw=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCM_0SZaSF2KSxQZiYOIcCfg|UCM_0SZaSF2KSxQZiYOIcCfg|"⭐본 세미나는 홈페이지에서 행사자료를 다운받으실 수 있습니다⭐ 📝자료집 링크: http:bitly.krqDgv9g1pkV  😄바쁘신 분들은 아래에서 필요한 강연내용을 클릭하세요! ✔️행사시작 22:50 ✔️개회사(김흥종 KIEP 원장) 24:20 ✔️기조연설(정세현 민주평통 수석부의장) 31:53 본행사 시작 (사회: 이승환 민주평통 사무처장) 01:17:05  ✔️패널1(조성렬 국가안보전략연구원 자문연구위원) 01:19:25 ✔️패널2(양문수 북한대학교대학원 부총장) 01:33:00 ✔️패널3(엄주현 어린이의약품지원본부 사무처장) 01:41:20 ✔️Q&A패널 01:46:35"|5ERQr1EbFW0|none|2|2020-06-19T00:18:04Z|2020-06-19T01:18:15Z
UgxDeoC3THQ0r4O2z014AaABAg|"Christopher Gonzalez"|https://yt3.ggpht.com/a/AATXAJwyTvrLZVVv9Y96aeiOAPpdPPZOUSufBuGRCQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UClMhDmgC7bsJFRlDaNdxqZw|UClMhDmgC7bsJFRlDaNdxqZw|"0:36 activedating.online"|5ERQr1EbFW0|none|1|2020-06-18T15:25:17Z|2020-06-18T15:25:17Z
