id|authorDisplayName|authorProfileImageUrl|authorChannelUrl|authorChannelId|text|videoId|viewerRating|likeCount|publishedAt|updatedAt
UgxUSPZv5Eom1oeTHVh4AaABAg|"통통한예쁜이"|https://yt3.ggpht.com/a/AATXAJz4Ra8wCKZWPQs_Dik1feMjAjNKaW5vt7gUs09V=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCwjkZmb3KrfB46D7vSF42yw|UCwjkZmb3KrfB46D7vSF42yw|"저도 지난주에 아이랑 방문해서 자전거 타고 왔는데 아이가 무척 좋아하더라구요. 재방문 의사 있습니다ㅎ 지난번엔 자전거만 타고왔는데 다음엔 수영장 등 다른시설도 이용해보고 싶네요.  자전거, 유아 전동차 타러 가실분들은 아래 영상 참고하세요~ https:youtu.be17Z0y_MMV70"|xX7nK-EUdQ0|none|0|2020-07-14T14:51:56Z|2020-07-14T14:51:56Z
UgyOk5Zrk7KjCO6Mi3t4AaABAg|"BAENI"|https://yt3.ggpht.com/a/AATXAJwBITGP0BD6Ymuxot427H2BBiHes-Juj-lEN7IH=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCVFs-F8su08n1ifV9U9IT9g|UCVFs-F8su08n1ifV9U9IT9g|"하늘에서 본 땅뫼산이 궁금하다면..    https:youtu.bemmtyIfXsOgw"|RJvNaj4eEXs|none|2|2020-07-08T06:10:18Z|2020-07-08T06:10:18Z
Ugw_MVAJXoxO9bV_qvR4AaABAg|"Cara"|https://yt3.ggpht.com/a/AATXAJyUGNkHiqfsU_g1lzdPRmVmTK2S6pyDbhPj3qDbRw=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCUtO6pRN3Aneptfr5MpsE1w|UCUtO6pRN3Aneptfr5MpsE1w|"땅뫼산 둘레길 저도 가봤는데 진짜 좋더라고요! 조금 멀긴 하지만 가볼만 한 것 같아요! 회동수원지 생태탐방로도 한 번 둘러보고 싶네요🥰"|RJvNaj4eEXs|none|2|2020-07-04T01:10:46Z|2020-07-04T01:10:46Z
Ugzw-HcCEKHc4SuH7PJ4AaABAg|"부산광역시금정구청"|https://yt3.ggpht.com/a/AATXAJwSGPezqTuMM32AmivCxWCTZEAot3yVPzB5J56J=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCShWZtIBep5wwGmxYhD15TQ|UCShWZtIBep5wwGmxYhD15TQ|"★ 내용수정 : 알림뉴스 금정구 재난 긴급생활지원금 확대 지급  내용이 변경되었습니다. (수정 전)※ 2020. 5. 7. ∼ 5. 29. 기간 중 출생신고 아동 ▶ (수정 후)※ 2020. 5. 7. ∼ 8. 31. 기간 중 출생신고 아동 (단, 신청일까지 금정구에 주민등록을 두고 있어야 함)"|swjzaE-XD1o|none|1|2020-06-10T08:54:34Z|2020-06-10T09:04:45Z
UgwOiIkr4ihT2S3Hwph4AaABAg|"최고의강사"|https://yt3.ggpht.com/a/AATXAJz3hQxZWQHZjB-MHLGGqsxwtEUFojfxZ7AnKQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UC0p0P-gRAXBKNCKE2NUi7BA|UC0p0P-gRAXBKNCKE2NUi7BA|"잘 배웠습니다"|_7gx8MEoi6c|none|0|2020-07-11T19:16:37Z|2020-07-11T19:16:37Z
UgzhZVyzogTU8ZzsRjJ4AaABAg|"최고의강사"|https://yt3.ggpht.com/a/AATXAJz3hQxZWQHZjB-MHLGGqsxwtEUFojfxZ7AnKQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UC0p0P-gRAXBKNCKE2NUi7BA|UC0p0P-gRAXBKNCKE2NUi7BA|"잘 배웠습니다"|CU-nbvre-hE|none|0|2020-07-11T19:10:31Z|2020-07-11T19:10:31Z
UgxeB-4WrBbwBgyG0zl4AaABAg|"최고의강사"|https://yt3.ggpht.com/a/AATXAJz3hQxZWQHZjB-MHLGGqsxwtEUFojfxZ7AnKQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UC0p0P-gRAXBKNCKE2NUi7BA|UC0p0P-gRAXBKNCKE2NUi7BA|"잘 배웠어요"|CU-nbvre-hE|none|1|2020-05-19T00:01:14Z|2020-05-19T00:01:14Z
Ugx4PSKfmWsWsar-n4N4AaABAg|"김용훈"|https://yt3.ggpht.com/a/AATXAJy5-UfW4jvKONFgqdI4AHS_yf8DwvsqpjPS6ZRM8A=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UC4MIiYmyU5275lCfoKZSffw|UC4MIiYmyU5275lCfoKZSffw|"살이 확실히 빠질 것 같아요..."|CU-nbvre-hE|none|1|2020-05-18T16:17:36Z|2020-05-18T16:17:36Z
UgzCdIxbNaiTB7emVox4AaABAg|"정삼영"|https://yt3.ggpht.com/a/AATXAJxUIA0BmjNU_wO0-rDEdYh2qcnJKS4P9Ch-Cg=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCPFSIVKnWfFFBZsCN_rGuSg|UCPFSIVKnWfFFBZsCN_rGuSg|"좋으네요 보면서 따라하겠습니다 금정구 화이팅"|CU-nbvre-hE|none|1|2020-05-17T07:19:35Z|2020-05-17T07:19:35Z
UgyBKT-rAZSYGczdB_54AaABAg|"KiHyun Song"|https://yt3.ggpht.com/a/AATXAJz4_aUNrPu4wrLLavh84Hx11v7FO3IFIxawbstLEw=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCgZmTqVCoFT-fUmVUUiryGQ|UCgZmTqVCoFT-fUmVUUiryGQ|"얼굴로 책을 읽는 느낌... 웃으면서 자연스럽게 재촬영하자."|CU-nbvre-hE|none|1|2020-05-09T12:16:34Z|2020-05-09T12:16:34Z
