id|authorDisplayName|authorProfileImageUrl|authorChannelUrl|authorChannelId|text|videoId|viewerRating|likeCount|publishedAt|updatedAt
UgzW_onZBzjWE8LJDyt4AaABAg|"직장인경매초보락유TV"|https://yt3.ggpht.com/a/AATXAJzsCmFtSe8SlpZ1ikq7Sdr6RyrdKmGk2n6H-g=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCeu3orsZD2v7pFlikd3R6hg|UCeu3orsZD2v7pFlikd3R6hg|"유익한정보 너무 감사합니다"|Fzh0wCGK1BM|none|0|2020-07-07T15:23:01Z|2020-07-07T15:23:01Z
UgyaKQxv8UQfmxR18AN4AaABAg|"서강석"|https://yt3.ggpht.com/a/AATXAJx1SSVD9MIi-hOl0-Ql6zsfDJ242rtpeAZQbA=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCUDQH6TeZ6H8z2uqCuyMxRw|UCUDQH6TeZ6H8z2uqCuyMxRw|"앙상블이 청아하고 아름답고 좋네요 좋은 음악 많이 부탁드림니다."|7UAt31KrRuw|none|1|2020-07-08T23:07:06Z|2020-07-08T23:07:06Z
Ugzrv65bMjaC1pr9B5J4AaABAg|"구인자"|https://yt3.ggpht.com/a/AATXAJyNk0PUf1lsJGlpzOaHu-urgEZz-rG_nf6B_Q=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCYy3L0EMB_TEDQq3IFjDhMg|UCYy3L0EMB_TEDQq3IFjDhMg|"교수님  말씀주신데로 잘  따르게습니다 오랫동안 진료해주닌  교수님께 머리숙여  감사드림니다  늘건강하세요 존경합니다"|WOXh7JsdWgU|none|0|2020-06-30T07:12:05Z|2020-06-30T07:12:05Z
UgzKU209CEgqrdcvevx4AaABAg|"한윤수"|https://yt3.ggpht.com/a/AATXAJwCmCk9VW5bXYlswItOOPunLvW9Q53N-e3gHQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UC37JzxpenEYyFPOvZAOcadg|UC37JzxpenEYyFPOvZAOcadg|"안내표지판안전표지판좀세우고공사좀하세요개집고치는것도아니고불편한저이한두가지가아니네 울어볼사람도없고표지판하나설치하는데얼마나한다고 진짜로너무합니다"|WOXh7JsdWgU|none|0|2020-06-24T08:06:47Z|2020-06-24T08:06:47Z
UgzMGUypFue0DwjK3dp4AaABAg|"한영신"|https://yt3.ggpht.com/a/AATXAJzEc9QFEps0CInzph2QvPfNuLsyk2a_WVb8jA=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCeudHLISzHZmmgNyacvVsvA|UCeudHLISzHZmmgNyacvVsvA|"예, 감사합니다"|WOXh7JsdWgU|none|3|2020-06-22T03:54:12Z|2020-06-22T03:54:12Z
Ugym-yFNrZ3weJIYy9d4AaABAg|"김티모"|https://yt3.ggpht.com/a/AATXAJy5eChkX5RinzOHk607GZ76GQQOGvEoZ0Ntdg=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UC5Qc9RwE18v1aBzU2z5cvGw|UC5Qc9RwE18v1aBzU2z5cvGw|"정말 암울한 시기에 잠시나마 마음을 녹이고 갑니다"|Md2TjtfBotE|none|0|2020-06-17T01:10:39Z|2020-06-17T01:10:39Z
Ugyv1J-0BnXjiTwcPyF4AaABAg|"백선희"|https://yt3.ggpht.com/a/AATXAJxFfB2E_3xkEcgry-NpadYngI67d7CNBmeRbQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCDnLD0KTq8uL-I20h4Onm-A|UCDnLD0KTq8uL-I20h4Onm-A|"오호 송익찬 떨지않고 잘하는데 멋져"|q2nTkookm2M|none|1|2020-06-02T03:58:13Z|2020-06-02T03:58:13Z
UgzcrfYHDj6ygW95cSN4AaABAg|"직장인경매초보락유TV"|https://yt3.ggpht.com/a/AATXAJzsCmFtSe8SlpZ1ikq7Sdr6RyrdKmGk2n6H-g=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCeu3orsZD2v7pFlikd3R6hg|UCeu3orsZD2v7pFlikd3R6hg|"유익한 내용 너무 감사합니다!!"|q2nTkookm2M|none|0|2020-06-01T07:36:32Z|2020-06-01T07:36:32Z
Ugz0WTEb80Vltt79nKx4AaABAg|"이홍기"|https://yt3.ggpht.com/a/AATXAJwVmCq8efcHLhsAwtkoN7AK1cc6BUAt-Zr61g=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCKILSS1qX8x48ZQrLVtjtcw|UCKILSS1qX8x48ZQrLVtjtcw|"행복지기는 매월, 의약소식지는 3개월마다 발행되고 있습니다. 충남대학교병원 홈페이지 가시면 자세한 내용 확인하실 수 있습니다."|hPyInHwzvAs|none|0|2020-05-22T16:09:48Z|2020-05-22T16:09:48Z
Ugxlu5E32YfJ7QHaJMJ4AaABAg|"오영자"|https://yt3.ggpht.com/a/AATXAJwxhjpt9VoFmpALCaD_amP8_dTQFvxi2AcP9qST=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UC36VFOUMUtnyiqMcqZylImQ|UC36VFOUMUtnyiqMcqZylImQ|"훌룡하신 최교수님 덕분에 육종암 수술 잘마치고 위험한고비 1년을 넘겼습니다. 하나님께 감사드리고 이 기쁨을 최은석교수님과 경현우교수님 그리고 정형외과와 성형외과의료진분들과 함께 나누고 싶습니다. 치료해 주셔서 감사합니다."|e98dQBaMY8w|none|0|2020-07-17T04:33:14Z|2020-07-17T04:33:14Z
Ugx3AdHO7MQ-agAkKnN4AaABAg|"오경석"|https://yt3.ggpht.com/a/AATXAJzYUDDy8aXue-dYtDsF2ws3QwNo8w04TIDn=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCDbyUYjUXLwdsgKidzD5p9g|UCDbyUYjUXLwdsgKidzD5p9g|"만4세 남자아이아빠입니다 아직조직검사는히지않았지만 넓적다리뼈(대퇴골)중간밑으로(무릎보다는좀더위) 골육종같이 뼈안쪽부터에 부풀어 올라와있는데 사지수술이가능한가요  오늘에스레이찍고 대학병원에가보라고하더군요ㅠ 밝고튼튼안아이인데 어쩌다이런병이왔는데 가슴이너무아프네요"|e98dQBaMY8w|none|1|2020-05-14T14:59:04Z|2020-05-14T16:12:36Z
Ugwd-fdB5IH3Qr_D42R4AaABAg|"김예정"|https://yt3.ggpht.com/a/AATXAJxEm2HjaLngZ0wAcfzoNkauoX_m1icc-UXJe6ba=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCXgTdEMVKJD0ATuQbw5RZJQ|UCXgTdEMVKJD0ATuQbw5RZJQ|"저 수술해주셨던 교수님이시네요."|e98dQBaMY8w|none|2|2020-03-18T02:22:21Z|2020-03-18T02:22:21Z
UgyOUo_VlKgRPRA1-Px4AaABAg|"YC JIN"|https://yt3.ggpht.com/a/AATXAJzETi6CtzsXHaOPZyCpEZmBAvi4gzbzUaxAXA=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCXcSqIjKEp3Jr2vecb2MvQQ|UCXcSqIjKEp3Jr2vecb2MvQQ|"수고하십니다 선생님 어떻케 선생님을 뵙수 잇을까요 010..5574..2231."|7Kj6Ajm1M6c|none|0|2020-07-14T03:13:27Z|2020-07-14T03:13:27Z
