id|authorDisplayName|authorProfileImageUrl|authorChannelUrl|authorChannelId|text|videoId|viewerRating|likeCount|publishedAt|updatedAt
UgzXzy3rZ-d5hPhEA-Z4AaABAg|"Bob gwa Deapea samgyeopsal"|https://yt3.ggpht.com/a/AATXAJxKaoQAZvU3BjPkRThlZPjrlMriTtjkPITRgNQe=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCX_hqYi_TEOr-eWA-pkAdcg|UCX_hqYi_TEOr-eWA-pkAdcg|"내"|usjSxvlM2RA|none|0|2020-07-04T13:00:22Z|2020-07-04T13:00:22Z
Ugwv89HpoLHjJAEVFKB4AaABAg|"홍수아부지TV"|https://yt3.ggpht.com/a/AATXAJxBugi9oDnR37Cz9YfuzefrA4OEYmqOiMYksq92=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCSkP5L8VfbAX__t4JRfDMww|UCSkP5L8VfbAX__t4JRfDMww|"썸네일 보고 왔는대 지대로 낚였네요"|QCQ6WNSXAqs|none|0|2020-06-30T18:24:55Z|2020-06-30T18:24:55Z
UgwKYVbmEHcqG5WCLfh4AaABAg|"갈코"|https://yt3.ggpht.com/a/AATXAJysuCaTi4YPTIxB-JtbazGbUzp_E0cShAH1Vw=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCncuv34Gn2S0hEqYCS1_e-Q|UCncuv34Gn2S0hEqYCS1_e-Q|"검정티 입은 분 누구신지 잘드시네요..^^"|QCQ6WNSXAqs|none|1|2020-06-25T08:06:13Z|2020-06-25T08:06:13Z
UgxeiLqJ4ZQg_BD60dV4AaABAg|"양임순"|https://yt3.ggpht.com/a/AATXAJwnv1k3dfSaZbBVVrvoIx612Ybm4ufJGiTCWg=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCuQncl2gEwk7YVjWdVq30LQ|UCuQncl2gEwk7YVjWdVq30LQ|"좋다 완도"|2POw5156Si4|none|0|2020-06-20T00:05:50Z|2020-06-20T00:05:50Z
Ugz8zuDAnXv_vqBV8i54AaABAg|"김민지"|https://yt3.ggpht.com/a/AATXAJwvY_3gaZvCy5J9S4Ov1TfYRRgnApjIYtEOsQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCX4h8LUkifCTtSey86N172w|UCX4h8LUkifCTtSey86N172w|"누군지 알거 같은데...😱"|59WYlCCMIBE|none|0|2020-05-07T14:45:55Z|2020-05-07T14:45:55Z
Ugyr6Ynu5PRbmg6JF8d4AaABAg|"조도연"|https://yt3.ggpht.com/a/AATXAJzSofvrHD8XWJ2ugOv_140RcF2P5O3pZ7E4YQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UC-IKYBCUrnWqxGXHPA1CqgA|UC-IKYBCUrnWqxGXHPA1CqgA|"완도산 광어 최고!"|59WYlCCMIBE|none|0|2020-05-04T11:42:36Z|2020-05-04T11:42:36Z
UgwFD8I4cXMBFlVZcNR4AaABAg|"김현주"|https://yt3.ggpht.com/a/AATXAJztmfNspeJV2KLMFrKyFPkJgDK9vy_EBqbRKQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCGlrEQZItCKLZ26NK-HYugQ|UCGlrEQZItCKLZ26NK-HYugQ|"싑게 따라할수 있는 동작이라  좋은거 같아요~~바다 해변풍경 넘 멋있어요"|BbSEissoqZk|none|2|2020-05-04T02:53:58Z|2020-05-04T02:53:58Z
UgyICQC9mHh2uYVXJBJ4AaABAg|"니나잘해"|https://yt3.ggpht.com/a/AATXAJx_ACTCoizE6WGGLQdv_Hvt_gYeaUUt5EyzJQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCdQ2TcDUqyDVtyQFpDlt2Cw|UCdQ2TcDUqyDVtyQFpDlt2Cw|"아름다운 해변에서 아름다운 분들이 운동하니 참 아름답네요.^^ 👍👍👍👍👍👍👍"|ZnLyQ6E6uew|none|0|2020-05-01T00:31:58Z|2020-05-01T00:31:58Z
UgyXmroFgDIMtLVBBqN4AaABAg|"K-thing 케이띵"|https://yt3.ggpht.com/a/AATXAJwafApT1zNZDtBnrTSZhk9bUrKXoHR6xvq2ew_l=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UC8daoNK--1E3IlkdD-4CgSQ|UC8daoNK--1E3IlkdD-4CgSQ|"청산도 너무 좋아요~ 또 가고 싶네요ㅠㅠ"|fKXazbR-xjM|none|1|2020-05-05T02:12:40Z|2020-05-05T02:12:40Z
Ugz87uukUBZJsQEpHHF4AaABAg|"할짓없는잉여"|https://yt3.ggpht.com/a/AATXAJwcGxzy6c6QyOaIIlNE2RS-JE1IBYNOQQsRaw=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCx1HEQgUMCvo9J6MrhgnIPA|UCx1HEQgUMCvo9J6MrhgnIPA|"완도군 공무원 분들 고생이 많으십니다 조금만 더 고생해주세요"|_xkPKGu2Ch8|none|0|2020-04-22T03:52:09Z|2020-04-22T03:52:09Z
