id|authorDisplayName|authorProfileImageUrl|authorChannelUrl|authorChannelId|text|videoId|viewerRating|likeCount|publishedAt|updatedAt
UgzWVR8LoZVa8U1crTV4AaABAg|"꽃정원"|https://yt3.ggpht.com/a/AATXAJwDM8LUQdLdHwkUSsEzyWzg4T0OCwDJlE3JpO7XpQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UC4cM2kx_urbB8hq9b7dGw-A|UC4cM2kx_urbB8hq9b7dGw-A|"4번 리베이트 입ㄴㅣ다"|hhSdKeDH7Qs|none|0|2020-07-19T13:48:50Z|2020-07-19T13:48:50Z
UgxxY3Mz9ZH-OMC4H314AaABAg|"방지빈"|https://yt3.ggpht.com/a/AATXAJy1M6neFs3NzMsOX_nv5Zw_h8SrucRb3EujXA=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCaHp5LP2I3Ax6bzKZmNu_UQ|UCaHp5LP2I3Ax6bzKZmNu_UQ|"유튜브 구독했어요^^"|hhSdKeDH7Qs|none|1|2020-07-13T05:30:12Z|2020-07-13T05:30:12Z
UgzjcfvL-euzAxclnAZ4AaABAg|"몽마르뜨"|https://yt3.ggpht.com/a/AATXAJwhqG-LVtULvI6H5lEPGAHyl2AK6gQmDZj9Pw=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCyHCDEr6TCknqwzFmnMPiEA|UCyHCDEr6TCknqwzFmnMPiEA|"참여완료"|hhSdKeDH7Qs|none|1|2020-07-13T00:12:19Z|2020-07-13T00:12:19Z
UgzMt6SRoXniqKpxJgN4AaABAg|"아시타카사랑"|https://yt3.ggpht.com/a/AATXAJwTLo_tWL91UHBp1B3nak2rnSuJZTcP4ZnacQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCnivo4YuS80JgKECOk3hVyw|UCnivo4YuS80JgKECOk3hVyw|"참여합니다~^^"|hhSdKeDH7Qs|none|0|2020-07-12T09:26:45Z|2020-07-12T09:26:45Z
Ugzp4zqzCffRrk6ma4p4AaABAg|"topaz"|https://yt3.ggpht.com/a/AATXAJzjN37tVoih1XuZpxoaFPYDxvkfi3lLVMGEew=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCwaVfqp8jNB_NLrATnUNwOw|UCwaVfqp8jNB_NLrATnUNwOw|"#신용보증기금 유튜브 구독 & 영상 좋아요 완료! 앞으로도 다양한 콘텐츠를 통해 유익한 정보를 전달해 주시고 사람들과 소통하는 공간으로 사랑받길 응원하겠습니다. ^^"|hhSdKeDH7Qs|none|1|2020-07-11T07:26:23Z|2020-07-11T07:26:23Z
UgzARZ-u9prdIuigI0N4AaABAg|"이디형"|https://yt3.ggpht.com/a/AATXAJzlF0VQ0eycsBHfIL7an9DvRXo6588WJ9ljAw=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCqqmuEHX6WC85C41ZS9XS6g|UCqqmuEHX6WC85C41ZS9XS6g|"참여완료^^"|hhSdKeDH7Qs|none|0|2020-07-10T08:00:19Z|2020-07-10T08:00:19Z
Ugz4T6t_fiLrbmHDV8t4AaABAg|"자라나라머리머리"|https://yt3.ggpht.com/a/AATXAJxylTXyKv9ss0DouK5Kn65dIg4PWRWAWqNxOmaN=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UC3xDuC20laODRPM9x9MRzpw|UC3xDuC20laODRPM9x9MRzpw|"참여완료"|hhSdKeDH7Qs|none|1|2020-07-09T13:30:59Z|2020-07-09T13:30:59Z
Ugx-YFtAQb2Nuy22bqR4AaABAg|"YOLO *"|https://yt3.ggpht.com/a/AATXAJyvbRDFGvI7f00WLsikUXNm8HMtFEu01ooNVw=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCTHIl0sAiTwNBZMOW0stfLQ|UCTHIl0sAiTwNBZMOW0stfLQ|"참여했습니다!"|hhSdKeDH7Qs|none|1|2020-07-09T11:21:56Z|2020-07-09T11:21:56Z
UgyPdMgkOWZ9iII3uzB4AaABAg|"봄날"|https://yt3.ggpht.com/a/AATXAJyi0UnuxibwHAjuyeJTR2Dt7IdVpry1rFGMSw=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCjt5L9wTc-p-7xF5KFL4-JA|UCjt5L9wTc-p-7xF5KFL4-JA|"참여 완료 ^^"|hhSdKeDH7Qs|none|1|2020-07-09T07:01:09Z|2020-07-09T07:01:09Z
Ugy8G4Qd9qJvX7yuVH94AaABAg|"um마미"|https://yt3.ggpht.com/a/AATXAJy-WnTs8QHGSS5yPNMZy-WxcFb_CM8SHxoz4w=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCNQT-LZzYEqt8-TEfoVQ_MA|UCNQT-LZzYEqt8-TEfoVQ_MA|"발명의날 기념 대통령표창 수상을 축하합니다~🥳"|IatQK9g4wqw|none|1|2020-07-04T02:56:02Z|2020-07-04T02:56:02Z
UgxSHdRaccVxfb4IJ6R4AaABAg|"최형빈"|https://yt3.ggpht.com/a/AATXAJwKv5dsyap5KQgr7QoNRybiVQEsx-wo7Xh_OCTT=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UComchPqC9twyFhi0s21lCJg|UComchPqC9twyFhi0s21lCJg|"청렴퀴즈 풀기 완료"|2VUOPiwRWvw|none|0|2020-06-30T12:58:02Z|2020-06-30T12:58:02Z
UgxZYqkwJHvbKteHME94AaABAg|"배수경"|https://yt3.ggpht.com/a/AATXAJxPKi7jpqAcCzRFL7Ye48CYwR0ZfLMdF_jJxw=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UC515bBq69fKCBlB_nPFrJVg|UC515bBq69fKCBlB_nPFrJVg|"5만원^^"|2VUOPiwRWvw|none|0|2020-06-28T07:39:02Z|2020-06-28T07:39:02Z
UgwXloiiaPG1aReHmJR4AaABAg|"Kim Charles"|https://yt3.ggpht.com/a/AATXAJzsUeSWBcYrKcfofRf2zU5QOKoTg-7N1ldXXw=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCuUgIk3UVuyswQjyRMaQqHg|UCuUgIk3UVuyswQjyRMaQqHg|"1번 10만원"|2VUOPiwRWvw|none|0|2020-06-25T04:55:13Z|2020-06-25T04:55:13Z
UgyQwR8oaXikGOmBjod4AaABAg|"Min Min"|https://yt3.ggpht.com/a/AATXAJzUfViXVYtMDTjLWLXdrgSswRHy_wZs9MRGvw=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCszAogzcKsLVDdLIY_8bpGQ|UCszAogzcKsLVDdLIY_8bpGQ|"2번이요!!!5만원"|2VUOPiwRWvw|none|0|2020-06-23T16:27:36Z|2020-06-23T16:27:36Z
UgwsC9NwqP8C99r03yh4AaABAg|"no_ random"|https://yt3.ggpht.com/a/AATXAJyEpxBb9PVw014cJs6Kqq1rl0VFNU73iPMQdw=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCeX2geTXEJQcFpHU9tIqvjw|UCeX2geTXEJQcFpHU9tIqvjw|"구독완료 참여완료ㅎㅎㅎㅎ"|2VUOPiwRWvw|none|0|2020-06-22T14:45:01Z|2020-06-22T14:45:01Z
UgwyzmAkiyS9BGZMqrN4AaABAg|"dragon"|https://yt3.ggpht.com/a/AATXAJxu11bu6_c-_HCpPbjusE_qVWQo88kf4TArZA=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCdiT73audRkL0vzy9Zais5w|UCdiT73audRkL0vzy9Zais5w|"구독완료"|2VUOPiwRWvw|none|0|2020-06-22T14:31:33Z|2020-06-22T14:31:33Z
UgwdSfqUPYa4wI0dNzh4AaABAg|"봄날"|https://yt3.ggpht.com/a/AATXAJyi0UnuxibwHAjuyeJTR2Dt7IdVpry1rFGMSw=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCjt5L9wTc-p-7xF5KFL4-JA|UCjt5L9wTc-p-7xF5KFL4-JA|"구독 알림 좋아요 완료! 참여 완료!"|2VUOPiwRWvw|none|0|2020-06-22T10:17:54Z|2020-06-22T10:17:54Z
UgyFw-4jD2aAV1aAR0t4AaABAg|"봄날"|https://yt3.ggpht.com/a/AATXAJyi0UnuxibwHAjuyeJTR2Dt7IdVpry1rFGMSw=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCjt5L9wTc-p-7xF5KFL4-JA|UCjt5L9wTc-p-7xF5KFL4-JA|"한다 한다 축하한다👏👏👏"|alk9h4q53so|none|0|2020-06-05T08:52:02Z|2020-06-05T08:52:02Z
UgzQsW_ny1-Vcuxe2wl4AaABAg|"KIM YJ"|https://yt3.ggpht.com/a/AATXAJzGUZEroFVSGEA5WehzrDcowENk_ueqZhQJ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCWPm4fJ9uj-Qv-VjMYsAhfA|UCWPm4fJ9uj-Qv-VjMYsAhfA|"넘나리 좋은 제도같네요."|HIZyurLRCXw|none|0|2020-05-27T11:38:10Z|2020-05-27T11:38:10Z
UgypzCwNcFjNxv3Yovx4AaABAg|"곰이랑임이랑"|https://yt3.ggpht.com/a/AATXAJw1PT3uNzLA3q1PEUpySDq3pQOh9de0k0_ijv8l=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCzt4N6V3XIXYPIGdtr4_J6A|UCzt4N6V3XIXYPIGdtr4_J6A|"코로나19 여파로 어려움을 겪고 있는 중소기업 소상공인 여러분 힘내세요! 응원합니다👏💖"|rePP5tDW_3Q|none|0|2020-05-16T14:03:43Z|2020-05-16T14:03:43Z
UgypFnPm9U_4LYhqWJB4AaABAg|"곰이랑임이랑"|https://yt3.ggpht.com/a/AATXAJw1PT3uNzLA3q1PEUpySDq3pQOh9de0k0_ijv8l=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCzt4N6V3XIXYPIGdtr4_J6A|UCzt4N6V3XIXYPIGdtr4_J6A|"근로장려금, 자녀장려금 신청해요💖"|aAw153Ro9rY|none|0|2020-05-16T14:02:05Z|2020-05-16T14:02:05Z
UgyI_plypSnyjxFD3w14AaABAg|"슭곰아저씨"|https://yt3.ggpht.com/a/AATXAJzd9-VYUIrlsv6QUI1GTrB30OPBNoTrFyJh9Taf=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCtqhMD2OyfDGjrYbPlr7x1A|UCtqhMD2OyfDGjrYbPlr7x1A|"오.. 좋은 이야기 감사합니다!"|z8235lMvBJ0|none|0|2020-05-13T16:29:53Z|2020-05-13T16:29:53Z
UgwkmfTaI4WtZy6Kf9B4AaABAg|"키클꺼야"|https://yt3.ggpht.com/a/AATXAJz8rn_JPZ7w0hV_GHXytrKwGTBO__n4kN8Ieg=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCCVLLnY4Clt1k3fxUN8yJlQ|UCCVLLnY4Clt1k3fxUN8yJlQ|"신보하숙 다음편도 기대가 되네요!"|z8235lMvBJ0|none|0|2020-05-13T12:04:39Z|2020-05-13T12:04:39Z
UgyxFrzvf36YSu1Yfpx4AaABAg|"hyuk-joo jeon"|https://yt3.ggpht.com/a/AATXAJwYzLTTOJL6J3kqQzYHJByiZQGjQV7eo8eLx0DZ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCrEvC7z86ZKzdwdya7VMrBQ|UCrEvC7z86ZKzdwdya7VMrBQ|"엄지척 ~ !!"|z8235lMvBJ0|none|1|2020-05-13T06:48:31Z|2020-05-13T06:48:31Z
UgzDgnv66Ecwfnf7lZ94AaABAg|"도이담"|https://yt3.ggpht.com/a/AATXAJyXXK5ZHEbUz_hyGN5LtjgawJO7NHVfglKC-yKnPw=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCqDlPst9YeqqVremPU0H72g|UCqDlPst9YeqqVremPU0H72g|"유익한 영상 감사합니다."|xRVt4MYbP7I|none|0|2020-05-13T14:39:12Z|2020-05-13T14:39:12Z
Ugy8sCUw3kuDma4HArF4AaABAg|"류지연"|https://yt3.ggpht.com/a/AATXAJw_u8-delw5WZxcZSSXsMniXxjd3EZrXR7Mg3hdcQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCkHhmFVcHM14a8E3jhtRBcA|UCkHhmFVcHM14a8E3jhtRBcA|"#신용보증기금 유튜브 구독 &알림ON 완료!! 구독하면서 신보의 많은 이야기와 정보들 기대하고 응원하겠습니다(ˊ˘ˋ*)♡"|ExXhmUaBrTM|none|0|2020-02-13T06:41:17Z|2020-02-13T06:41:17Z
UgybLVRBE5PsHcz3hIR4AaABAg|"젠드아베스타"|https://yt3.ggpht.com/a/AATXAJyt8ZK7pZpbx2dKOtouL0oMDKYh6OcMyk4TB31J=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCb96LANz3ote0a9ODeEDEmw|UCb96LANz3ote0a9ODeEDEmw|"구독 + 좋아요 + 전체알림 🔥"|ExXhmUaBrTM|none|0|2020-02-12T09:15:13Z|2020-02-12T09:15:13Z
Ugx8V2VT-cqwshKbLw54AaABAg|"김연수"|https://yt3.ggpht.com/a/AATXAJwW0gfHEgEmlT7C_gDDeJLeNW6HSYgXHUhVYQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCMC2pOSikorRA42puexj-6w|UCMC2pOSikorRA42puexj-6w|"adbi와 공동사업을 한다는데 사업내용도 알고싶네요!"|ExXhmUaBrTM|none|0|2020-02-08T17:21:01Z|2020-02-08T17:21:01Z
UgyvOBgDPT6cBFUdm5l4AaABAg|"류지연"|https://yt3.ggpht.com/a/AATXAJw_u8-delw5WZxcZSSXsMniXxjd3EZrXR7Mg3hdcQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCkHhmFVcHM14a8E3jhtRBcA|UCkHhmFVcHM14a8E3jhtRBcA|"고객을 위해 끊임없이 노력하는 모습에 감사와 응원을 드립니다. 신용보증기금 파이팅! ٩( 'ᴗ' )و"|qMn-ENIAC6w|none|0|2020-02-13T06:42:29Z|2020-02-13T06:42:29Z
UgzGwVCYQ0XUa1fCiNB4AaABAg|"한국가스공사"|https://yt3.ggpht.com/a/AATXAJySSvGkC4TzfMrQuSnoYDM1skfDjziruqxgS6e68A=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UClO3Y9xjoWK7sDD8FuqbtTQ|UClO3Y9xjoWK7sDD8FuqbtTQ|"동네 주민 왔다 갑니다~ 새해 복 많이 받으세요~"|MOZXC0x4roA|none|1|2020-01-16T01:21:16Z|2020-01-16T01:21:16Z
Ugwt3lPEeOYjCL1XlHt4AaABAg|"윤향미윤향미"|https://yt3.ggpht.com/a/AATXAJxF46AeC--6KtOTh8r1Cv9goULcKq8XrfehOQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCQ-sfnskUoVC954azSAyUSg|UCQ-sfnskUoVC954azSAyUSg|"새해에는 많은분들의 발길과 모든이들에게 희망을 주시길 응원합니당~♥"|MOZXC0x4roA|none|0|2020-01-14T06:51:16Z|2020-01-14T06:51:16Z
Ugx24kD3x26i0NScBIl4AaABAg|"KIM YJ"|https://yt3.ggpht.com/a/AATXAJzGUZEroFVSGEA5WehzrDcowENk_ueqZhQJ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCWPm4fJ9uj-Qv-VjMYsAhfA|UCWPm4fJ9uj-Qv-VjMYsAhfA|"신용보증기금 너무 좋아요👏"|dc0KfFtd1JY|none|0|2020-01-09T09:45:40Z|2020-01-09T09:45:40Z
UgxvZL0SODt6g1m4kFh4AaABAg|"서영아"|https://yt3.ggpht.com/a/AATXAJxqij6J1njJkfonvvqKNXVAi41ueTW6g8jqn9i2FA=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCJhsSim8mQ3v6bM97ovqazg|UCJhsSim8mQ3v6bM97ovqazg|"축하축하합니다^^"|nohUOvQrGlo|none|0|2020-01-14T02:42:26Z|2020-01-14T02:42:26Z
