id|authorDisplayName|authorProfileImageUrl|authorChannelUrl|authorChannelId|text|videoId|viewerRating|likeCount|publishedAt|updatedAt
UgzYaMUp6lvTnVsnz2N4AaABAg|"이상하"|https://yt3.ggpht.com/a/AATXAJwhRWI2KQZW4yxH8cbUa61G3bnERQpoV1Ku_Q=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCyBPA1B_ZV8KKckrsufCEww|UCyBPA1B_ZV8KKckrsufCEww|"예전에 많이 갔었는데 최근에는 한번도 안갔네요.  얼마전에 정문만 구경하고 갔는데. 다시 가야겠어요"|OChj6J-W5Y0|none|1|2020-07-17T12:15:12Z|2020-07-17T12:15:12Z
UgzcfuVJxycJmKF24yd4AaABAg|"모포마VLOG MOPOMA VLOG"|https://yt3.ggpht.com/a/AATXAJwxFiekuUtScRic3jiP2R4SQwu3Zhq1-QUWPJVS=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCIbOcJds_IbiarGROwNt8Ow|UCIbOcJds_IbiarGROwNt8Ow|"헐 진짜곰이네요!! 한마리도 아니고 저렇게나 많이😍 곰 먹이 주고싶네요 👍"|OChj6J-W5Y0|none|1|2020-07-17T08:33:30Z|2020-07-17T08:33:30Z
UgxEK_3wzTmaTsL2npJ4AaABAg|"Facts진리의"|https://yt3.ggpht.com/a/AATXAJygXFb9MGGna0gIbwGVWAQun77xMok7tBWqpBIuCQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCGD_tin8uNjhiVgJsoy1xPQ|UCGD_tin8uNjhiVgJsoy1xPQ|"빗소리가 참 좋으네요"|Jhhu50cQSZw|none|2|2020-07-16T07:52:56Z|2020-07-16T07:52:56Z
UgwaBzoix5uthEMln5V4AaABAg|"SunnyRose _"|https://yt3.ggpht.com/a/AATXAJwfYfnSh89dBdYSRZyxF1lpacQeci-62z4kgag-gHg=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UC0DoL8dXSAAzb9aawsP38pA|UC0DoL8dXSAAzb9aawsP38pA|"운치있구좋습니다~~"|Jhhu50cQSZw|none|2|2020-07-15T09:59:32Z|2020-07-15T09:59:32Z
UgxWFRpVCoNISLwQSDZ4AaABAg|"Yoon SHIN"|https://yt3.ggpht.com/a/AATXAJxqnuBUz2Llaaj3yK-UChSBTian37D-rFKk5f78=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCDQZJGJ4SwKmecUbaXqTZRw|UCDQZJGJ4SwKmecUbaXqTZRw|"목소리가 정말 유니크해요ㅋㅋ 좋네요~잘봤어요~~"|n53k52OIi6E|none|2|2020-07-16T05:59:35Z|2020-07-16T05:59:35Z
Ugyp9tL4m607Z8AKKjZ4AaABAg|"시추"|https://yt3.ggpht.com/a/AATXAJw8UADgOAtnHkAPAVa4_HZkpzG5ipRGQ1litw=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCLQF_rm8aCoDIvP6QGVavyQ|UCLQF_rm8aCoDIvP6QGVavyQ|"good 좋네!"|n53k52OIi6E|none|2|2020-07-15T03:56:56Z|2020-07-15T03:56:56Z
UgwzlbJG_MzhF_D0zpF4AaABAg|"김성우"|https://yt3.ggpht.com/a/AATXAJwSoUUDL3lNldO4sLPCvBQiKL1nBRANNrnf5A=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCQyQ6P6UxjsuqBLNBKS4qsQ|UCQyQ6P6UxjsuqBLNBKS4qsQ|"조치원에 저런 곳이 있었네요 아이들이랑 같이 가면 좋겠네요"|n53k52OIi6E|none|4|2020-07-14T05:27:50Z|2020-07-14T05:27:50Z
Ugz0z3cf3WTs6YnzBzF4AaABAg|"마실"|https://yt3.ggpht.com/a/AATXAJwGSkGi-4fhrlZi9V4u0gr1Jcd1v4ZAjK1cc-Ud1Q=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCsp8URkoJeu8WQQZ273tULw|UCsp8URkoJeu8WQQZ273tULw|"좋아요 부탁드려요❤️ 조치원테마거리 많이 사랑해주시고 가족과 연인과 친구들과 귀여운 공간에 와서 체험하시길 바래요"|n53k52OIi6E|none|6|2020-07-14T05:00:23Z|2020-07-14T05:00:23Z
UgyhvgFtl1Bnq5W6SXN4AaABAg|"Heart Flaming"|https://yt3.ggpht.com/a/AATXAJxhZcQ2BbZ5MblihQp0Bai64DZcyOZE-AdE6orBrw=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCBEUnb2s5JDNBZsr-iZ_F9g|UCBEUnb2s5JDNBZsr-iZ_F9g|"이용 가격이 어떻게 될까요?"|n53k52OIi6E|none|6|2020-07-14T01:14:45Z|2020-07-14T01:14:45Z
UgxAgQRSNTL06spWI514AaABAg|"성은 김이요이름은 민수로다"|https://yt3.ggpht.com/a/AATXAJwOgD_X1z5ZQO6QygnoSmQ1VTqoAtS6M5kMKQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCU6LtV6Yd2hrKWdtlorjKCQ|UCU6LtV6Yd2hrKWdtlorjKCQ|"버리지도 못한 아이스팩을 차라리 안만들었으면 좋겠네요."|kWANAErA4wk|none|1|2020-07-15T10:05:02Z|2020-07-15T10:05:02Z
UgyCHdt52N3yYaPsSu14AaABAg|"개소리 ASMR"|https://yt3.ggpht.com/a/AATXAJxP1iVNpGfsuYFbarmEMKW6Y6rdx7qhB2EoLwXmtg=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCeSnXhYmgx8rmapb0vgudGw|UCeSnXhYmgx8rmapb0vgudGw|"헐. 이거 뜯어서 싱크대에다가 버렸는데 ㅠ 물아 미안해"|kWANAErA4wk|none|2|2020-07-13T05:15:17Z|2020-07-13T05:15:17Z
Ugw6NlKwUjY68Z8cy6N4AaABAg|"ccdream50"|https://yt3.ggpht.com/a/AATXAJy8kxWaGXZscUCFnvruRtSeOdE4SNvxEP9lCg=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCwoYzaIxJ1rY2KG3Arikmcg|UCwoYzaIxJ1rY2KG3Arikmcg|"그래서 아이스팩수거함 위치는요?"|kWANAErA4wk|none|2|2020-07-13T04:58:18Z|2020-07-13T04:58:18Z
UgyKn98s2q7CrOlHiAp4AaABAg|"하루하늘"|https://yt3.ggpht.com/a/AATXAJzL0WN7w75u0ft6w4JaCfMmFwrnqkci5XkyE5QEkA=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCIvHCL5F0uC72R7_I8eEDBg|UCIvHCL5F0uC72R7_I8eEDBg|"타임랩스 넘 예 🤍🥺"|f0BDj0k14nI|none|2|2020-07-11T17:22:15Z|2020-07-11T17:22:15Z
UgzRQM8G-TKxFIksy914AaABAg|"Facts진리의"|https://yt3.ggpht.com/a/AATXAJygXFb9MGGna0gIbwGVWAQun77xMok7tBWqpBIuCQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCGD_tin8uNjhiVgJsoy1xPQ|UCGD_tin8uNjhiVgJsoy1xPQ|"이야 ~ 밤꿀 수확이 한창이네요 맛있는 밤꿀 맛봐야 겠네요"|A1IraeV0YC4|none|2|2020-07-09T18:54:35Z|2020-07-09T18:54:35Z
Ugz-3tUIurdQXwtjeeJ4AaABAg|"청주마녀"|https://yt3.ggpht.com/a/AATXAJyyOt_7egO7o0gsISObSlaItxn9rZpOhtaHFQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCWiSB-RitNy5IRWiOz9QdaA|UCWiSB-RitNy5IRWiOz9QdaA|"세상에 무서울게 없는데 유일하게 무서운게 벌 입니다 ㅠㅠ 벌 침 알레르기가 있어"|A1IraeV0YC4|none|1|2020-07-09T13:05:07Z|2020-07-09T13:05:07Z
UgzL-bdeW9MhIjUt2tV4AaABAg|"청주마녀"|https://yt3.ggpht.com/a/AATXAJyyOt_7egO7o0gsISObSlaItxn9rZpOhtaHFQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCWiSB-RitNy5IRWiOz9QdaA|UCWiSB-RitNy5IRWiOz9QdaA|"소확행 하러 담에 꼬옥 들러 봐야 겠네요"|N-t91dlh3YM|none|0|2020-07-09T13:08:10Z|2020-07-09T13:08:10Z
UgxYlL-Cpm8g9-SfzO94AaABAg|"미술은 미쓰미"|https://yt3.ggpht.com/a/AATXAJwC9gyp7j2jp-DY4sUqwYbLBWksMJd13fgmEN6T=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UC5jC2rseg_xjO3YbqbuF_Qw|UC5jC2rseg_xjO3YbqbuF_Qw|"와 다음에 꼭 한번 방문해보고싶어요 !! 영상잘봤습니다 ~"|N-t91dlh3YM|none|1|2020-07-08T01:08:07Z|2020-07-08T01:08:07Z
UgygXChutv-t3eYsNUx4AaABAg|"ccdream50"|https://yt3.ggpht.com/a/AATXAJy8kxWaGXZscUCFnvruRtSeOdE4SNvxEP9lCg=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCwoYzaIxJ1rY2KG3Arikmcg|UCwoYzaIxJ1rY2KG3Arikmcg|"라돈측정기 대여도 되는군여ㅡ 꿀정보"|ZLcFjoE91W8|none|1|2020-06-30T10:10:14Z|2020-06-30T10:10:14Z
Ugxv3gZpxnlvkoxmLTp4AaABAg|"개소리 ASMR"|https://yt3.ggpht.com/a/AATXAJxP1iVNpGfsuYFbarmEMKW6Y6rdx7qhB2EoLwXmtg=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCeSnXhYmgx8rmapb0vgudGw|UCeSnXhYmgx8rmapb0vgudGw|"정우성 왜우성?"|_kQHFY9csBE|none|0|2020-06-29T07:02:20Z|2020-06-29T07:02:20Z
