id|authorDisplayName|authorProfileImageUrl|authorChannelUrl|authorChannelId|text|videoId|viewerRating|likeCount|publishedAt|updatedAt
UgweWGZHN9qtnbSI8Ul4AaABAg|"이근택"|https://yt3.ggpht.com/a/AATXAJwVZqX0Rzp14MiUzwAe3eEmcy4utGjWlHiXLw=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCRwnIWA9mGsxcVylHmGG5Yg|UCRwnIWA9mGsxcVylHmGG5Yg|"잘봤습니다!  국내 소부장 활성화를 위해 산기평이 많은 일을 하고 있군요..응원합니다!"|9X_F6aJbSwM|none|1|2020-07-20T08:06:07Z|2020-07-20T08:06:07Z
UgzM9Ho6gALAC2Rw2nZ4AaABAg|"오블리주노블레스"|https://yt3.ggpht.com/a/AATXAJz4JD7qqDBtsLqiB9HRIie44AFShLunIp_4Gw=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCln66JBvzHxy8unsxPnNS7Q|UCln66JBvzHxy8unsxPnNS7Q|"선댓  후감상 할께요^^ 항상  응원합니다^^"|9X_F6aJbSwM|none|2|2020-07-20T02:32:52Z|2020-07-20T02:32:52Z
UgxJErOE36lnF_GCabt4AaABAg|"한국산업기술평가관리원[KEIT] Oh-KEIT"|https://yt3.ggpht.com/a/AATXAJy67ffK4ne4B0KlUYEcVPcb2JO99pXpQlbe1-Ntaw=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCzW0FveoY3_sTgBjvpG7Kwg|UCzW0FveoY3_sTgBjvpG7Kwg|"이벤트가 2020년 7월 20일부로 종료되었습니다. 당첨자 분들께는 2주 내로(~2020.8.3.) 개별 연락드리겠습니다. 참여해 주신 모든 분들께 감사합니다!"|2tctCAS0YrI|none|0|2020-07-20T01:31:04Z|2020-07-20T01:31:04Z
UgwD1O-No8x-21yZBWB4AaABAg|"James Lee"|https://yt3.ggpht.com/a/AATXAJyFPuExN9MRiZbdXKUAc4hFMJWms0k0DbWPMw=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCdIouJUxYRq7IVzsvsHDyqQ|UCdIouJUxYRq7IVzsvsHDyqQ|"소부장 산업이 탄탄히 발전하길 응원합니다!!"|2tctCAS0YrI|none|1|2020-07-19T17:55:04Z|2020-07-19T17:55:04Z
UgzO0BYCDt31Ry8l_XR4AaABAg|"여이소희"|https://yt3.ggpht.com/a/AATXAJxS1YIYphbGjZjMqxJl992QFPm-lUZQxpMlmg=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCVyynJOXwz9_3VhdqldOIzg|UCVyynJOXwz9_3VhdqldOIzg|"소부장이란?소재,부품,장비를 줄임말인 소부장 !!하나하나씩 알아가는  재미 굿!!뜨 입니당♡"|2tctCAS0YrI|none|2|2020-07-19T16:55:28Z|2020-07-19T16:55:28Z
Ugwj7emMtNwSUg10m-R4AaABAg|"틱톡"|https://yt3.ggpht.com/a/AATXAJxqP5kTp6VYzZ5A5vHOnj3rlSS7p_PbnVn3xkjy=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCgv0r-1ohsqhOLGWyzKwibQ|UCgv0r-1ohsqhOLGWyzKwibQ|"우리나라 사람이면 봐야된다고해서 보고 있습니다 ㅎㅎ  수급에 맞게 개발을 잘 하면 정말 좋지요^^"|2tctCAS0YrI|none|0|2020-07-19T14:43:28Z|2020-07-19T14:43:28Z
UgyJ2hcvK1OZUBpw8f54AaABAg|"k행복"|https://yt3.ggpht.com/a/AATXAJwjtSSb4DWyCK7KarRCz-1CXypb3FlQp64f_w=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UC5fV82ngXgfmGuzDzAGPJMQ|UC5fV82ngXgfmGuzDzAGPJMQ|"수요와 공급을 서로 목표로 정해지면 정말 윈윈이 되겠네요"|2tctCAS0YrI|none|0|2020-07-19T14:42:00Z|2020-07-19T14:42:00Z
UgxLCF4OqlkVRBUT7gh4AaABAg|"곰사랑"|https://yt3.ggpht.com/a/AATXAJw9_yMf6u4ttFN_QR_YO2Np16RBQ9WtCVtcOw=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCLfOS-Sy3N1UE3Ri4L8WOXg|UCLfOS-Sy3N1UE3Ri4L8WOXg|"구독과 좋아요 잘 완료 했습니다! 소재부품들의 사업규모와 각종 협약 활동들의 지식을 알 수 있어서 감사했습니다! 더 좋은 소식들 기다릴게요~"|2tctCAS0YrI|none|0|2020-07-19T14:40:47Z|2020-07-19T14:40:47Z
Ugx5i2RjcBt6ixvTsvh4AaABAg|"비타민"|https://yt3.ggpht.com/a/AATXAJy5nXYRnjgYcQiotzzDq60HLRxK6fMQLEjpP-Aw=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCftIHtKp4z63BDL9mz96abA|UCftIHtKp4z63BDL9mz96abA|"구독 완료 소부장 산업이 얼마나 중요한지 알 수 있었던 영상이었습니다."|2tctCAS0YrI|none|0|2020-07-19T14:37:33Z|2020-07-19T14:37:33Z
UgzWuwf-G4puWJKEu1F4AaABAg|"홍홍승찬"|https://yt3.ggpht.com/a/AATXAJyHCgHqbQgJbP3xCmPBiSUh33Bc5V9Cm5hAHA=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCiNKLo9wEpcy5DaXQy21qgA|UCiNKLo9wEpcy5DaXQy21qgA|"구독과좋아요 했어요 ^^ 소부장에 대해 몰랐던거 알고 갑니다~ 유익한 정보 앞으로도 많이 올려주세요!!"|2tctCAS0YrI|none|0|2020-07-19T14:33:41Z|2020-07-19T14:34:04Z
