id|authorDisplayName|authorProfileImageUrl|authorChannelUrl|authorChannelId|text|videoId|viewerRating|likeCount|publishedAt|updatedAt
UgxYJpSLXrTEUHoWOf54AaABAg|"인천병방초01"|https://yt3.ggpht.com/a/AATXAJya6T9oTUPfBccbh8sXom18IB9ps21cJVXElg=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCuMNWdIcX8FhZRmDZadLvvA|UCuMNWdIcX8FhZRmDZadLvvA|"여기 아주 재미있어요 강추 카트 타는곳"|PbY_M-Cvp7Y|none|0|2020-06-12T03:06:33Z|2020-06-12T03:06:33Z
Ugw3D2YdssBf-5nqhL94AaABAg|"결루"|https://yt3.ggpht.com/a/AATXAJxr8_EDN_2eOki-2O1LhZuqEHwbdOPtywFLd_Mf=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UC3loo9QzKVJnVrHlgbjYwGg|UC3loo9QzKVJnVrHlgbjYwGg|"강화 많이 갔는데도 몰랐네요"|PbY_M-Cvp7Y|none|1|2020-05-31T08:16:43Z|2020-05-31T08:16:43Z
UgwPCcXymxAfeUOkU-d4AaABAg|"미구리"|https://yt3.ggpht.com/a/AATXAJy8TceDIQBQmtUvuLBO5aNKvTQ41HewOZTtCQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCVR01cvmj7qM6QvBck3UhQQ|UCVR01cvmj7qM6QvBck3UhQQ|"인천에 루지가 있었다니!! 추천 코스가 너무 좋네요!! 😊"|PbY_M-Cvp7Y|none|1|2020-05-26T12:36:48Z|2020-05-26T12:36:48Z
UgxwvbV5aJ8ESgl38Rx4AaABAg|"노용규"|https://yt3.ggpht.com/a/AATXAJwcXXh6V5uZigAf2RdnmQHELO3ktpRRb05cs8LLZg=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCunTV1P38QG3n-i-yS2EW0A|UCunTV1P38QG3n-i-yS2EW0A|"강화도가 놀거리가 많이 늘었네요~신나 보입니다!"|PbY_M-Cvp7Y|none|0|2020-05-26T07:53:10Z|2020-05-26T07:53:10Z
UgyMEnl_6ZPLuyYwa554AaABAg|"설경호"|https://yt3.ggpht.com/a/AATXAJw6kbVQ2a9t365X0uM9IdgVn-wuzQsX2mQTTPyAbA=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UC_3txnaYbFh_8PCaj5pTUvA|UC_3txnaYbFh_8PCaj5pTUvA|"잼있겠네요~"|PbY_M-Cvp7Y|none|0|2020-05-26T07:26:50Z|2020-05-26T07:26:50Z
UgzxGBg6kHkxqqlbbbl4AaABAg|"조호일"|https://yt3.ggpht.com/a/AATXAJy7ZFNb9w8iXgQWIVnb0oOc9SlyCV1a6VgSNw=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCBvAWRRSqJRAA_oQgy314ow|UCBvAWRRSqJRAA_oQgy314ow|"박만규 안녕하세요 경상북도시 군위군 도시 건설공사"|wedTlWgPH9g|none|1|2020-04-07T23:50:08Z|2020-04-07T23:50:08Z
UgxOPkywCGfDYIkwtGF4AaABAg|"KSYUSHA LEE"|https://yt3.ggpht.com/a/AATXAJy13S4f9YhjIwicEU8qP-MOUAIirtBneEMzlAVl=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCu8kZ3uDUTFtFh36-qbs94A|UCu8kZ3uDUTFtFh36-qbs94A|"Good job"|_8R4Q6tgd7s|none|1|2020-04-04T08:38:43Z|2020-04-04T08:38:43Z
Ugy8_ZCJi4XJyYmjOiV4AaABAg|"낭만닥터김사부시즌3나와라 ᅲᅲ"|https://yt3.ggpht.com/a/AATXAJz9ItjKjVe5K8Kbalf8SaRrmLKSwy13E6OntfalZw=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCHTwHeX0W0m0WlXWpmQWsPg|UCHTwHeX0W0m0WlXWpmQWsPg|"사랑해요인천 제가 세계에서 저만큼인천배양심많은사람없을 것이라 생각합니다"|hcRG5Gb-A-U|none|0|2020-07-15T13:27:41Z|2020-07-15T13:27:41Z
UgycHTdCCofLGoAPfVZ4AaABAg|"석정"|https://yt3.ggpht.com/a/AATXAJzO1HrK8akLhET9xgi9N4D7tcNPg9ushrTTeeb0WQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCCamnjx5t2QcpHXn4W558kg|UCCamnjx5t2QcpHXn4W558kg|"와"|hcRG5Gb-A-U|none|0|2020-06-30T02:20:26Z|2020-06-30T02:20:26Z
UgwgDFDGexYedB-Dp4l4AaABAg|"アニメレール캐릭터레일"|https://yt3.ggpht.com/a/AATXAJzU4Zo_Pl1HGhanBE_AjKGu2hZcQH7FbOXQdYmaGw=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCDh_-GggDltRj2bwnK0DMFw|UCDh_-GggDltRj2bwnK0DMFw|"세계를 향해 열린 우리의 인천~"|28qaRLk1dB8|none|0|2020-03-03T02:24:20Z|2020-03-03T02:24:20Z
