id|subscriptionChannelId|publishedAt|title|description|thumbnailUrl|totalItemCount|newItemCount
UC5Iq_s3OuLU8l3h4avHRPTw|UC6oRqb8L9Cv8yOu8hm4E__g|2020-03-23T07:19:17.573000Z|"Koreanet"|"Official Korea.net YouTube Channel"|https://yt3.ggpht.com/-9wAY0g_HbTI/AAAAAAAAAAI/AAAAAAAAAAA/BRqV1Rm9UMg/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|954|0
UC5Iq_s3OuLU8l3h4avHRPTw|UCRsetXyMdNsR4M9KvA-a_fg|2020-02-17T07:31:19.394000Z|"대한민국 보건복지부"|"보건복지부의 다양한 소식을 만나볼 수 있는 따스아리 유튜브입니다. 국민여러분들께 힘이 되는 좋은 소식들로 늘 함께 하겠습니다.^^"|https://yt3.ggpht.com/-Otw119f7whY/AAAAAAAAAAI/AAAAAAAAAAA/_AtsW6Jkndc/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|3178|0
UC5Iq_s3OuLU8l3h4avHRPTw|UCEDPUUcT-hiAO3Crp1Q2MUw|2020-05-06T12:59:19.781000Z|"Arty and Banana아티엔바나나"|"*수상 내역*  2020 경남 도민일보 코로나 극복 영상 대상   2019 서울 관광 홍보 영상 대상   2019 경기도 관광 홍보 영상 대상   2019 제주도 관광 홍보 영상 우수상  2019 경북 관광 홍보 영상 우수상  2019 튜브인사이드 선정 주목할만한 유투버 1위   *Contact*  ☞instagram account : 아티 - artyinkorea                                          바나나- tellmemore_aboutyou  ☞ email : artyandbanana@gmail.com [비지니스 문의]  ☞  팬레터 보내는 웹페이지 :  https:artyandbanana.com       영어& 여행 &상담 묻는 페이지 : https:www.artyandbanana.comcommunity       수업 자료 받는 곳 : https:www.artyandbanana.comdownloads   -  안녕하세요. Arty and Banana 입니다.   Arty and Banana 는 아티와 바나나가   다양한 언어를 공부하고 공유하기 위해 만든 채널입니다.  세계 어디서든지 다양한 언어에 관심 있는 누구나   재미있게 즐기고 배울수 있는 컨텐츠를 생산하기 위해 노오력! 중입니다 :)   영어 프랑스어 한국어 러시아어를 구사하며,  여러 언어와 문화를 배우고 알리는 재미있는 비디오로 찾아뵐게요!  감사합니다 xx  Arty and Banana"|https://yt3.ggpht.com/-wEe0cnRWHj8/AAAAAAAAAAI/AAAAAAAAAAA/WA11VgRFheM/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|174|0
UC5Iq_s3OuLU8l3h4avHRPTw|UCxd36eD_l_kqS-2btgqJIXA|2020-04-21T13:44:51.675000Z|"하림아빠_드론TV"|"전주사는 흔한 30대 딸바보 아재의 좌충우돌 드론 정복기"|https://yt3.ggpht.com/-nmY1fIXbQyo/AAAAAAAAAAI/AAAAAAAAAAA/w2rAu-8V8RI/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|173|0
UC5Iq_s3OuLU8l3h4avHRPTw|UCj3_t5p4L4aFsvdW3uHjnnw|2020-02-27T03:55:16.463000Z|"연합뉴스 Yonhapnews"|""|https://yt3.ggpht.com/-fAmG73q7T7k/AAAAAAAAAAI/AAAAAAAAAAA/mdBfdMi07R8/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|20926|0
UC5Iq_s3OuLU8l3h4avHRPTw|UCa7-3Zvxg-5Rfxgu3RQY_gw|2020-02-24T07:16:41.236000Z|"질병관리본부아프지마TV"|"질병으로부터 자유로운 세상"|https://yt3.ggpht.com/-FexDQC4qpAk/AAAAAAAAAAI/AAAAAAAAAAA/xsGsuxAxudI/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|498|0
UC5Iq_s3OuLU8l3h4avHRPTw|UCNJM6dqu70Qr6VaseiW1Org|2020-05-22T06:19:45.213000Z|"이재명 경기도지사"|"이재명 경기도지사의 공식 계정"|https://yt3.ggpht.com/-pFMC_ccswR4/AAAAAAAAAAI/AAAAAAAAAAA/Imq3Lklf22c/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|502|0
UC5Iq_s3OuLU8l3h4avHRPTw|UCnrPF6de3KuHZy3c2ZkqcMA|2020-03-23T07:37:01.763000Z|"기획재정부"|"기획재정부 유튜브 공식채널입니다."|https://yt3.ggpht.com/-AON8T9iJAw8/AAAAAAAAAAI/AAAAAAAAAAA/cQ19Cw6f3hM/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|878|0
UC5Iq_s3OuLU8l3h4avHRPTw|UC_ltbYzDtsaPF1xfhPD26PA|2020-03-19T08:46:52.742000Z|"박종석"|""|https://yt3.ggpht.com/-bMS15lv5AOM/AAAAAAAAAAI/AAAAAAAAAAA/vj0sRqWscBM/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|3|0
UC5Iq_s3OuLU8l3h4avHRPTw|UCZUPZW5idAxYp-Asj__lVAA|2020-03-30T03:14:23.473000Z|"서울시 · Seoul"|"서울시의 정보를 실시간으로 시민과 + 나누는 ÷  서울시 공식 ♡ 유튜브  페이스북 https:www.facebook.comseoul.kr 인스타그램 http:instagram.comseoul_official 트위터 https:twitter.comseoulmania 카카오스토리 https:story.kakao.comchseoul 라이브서울 http:tv.seoul.go.kr 네이버TV http:tv.naver.comliveseoul"|https://yt3.ggpht.com/-shuy3upwZQA/AAAAAAAAAAI/AAAAAAAAAAA/UiKISpoKRm4/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|3341|0
