id|subscriptionChannelId|publishedAt|title|description|thumbnailUrl|totalItemCount|newItemCount
UCM_0SZaSF2KSxQZiYOIcCfg|UCorTyjVGM-PV5CCKbosONow|2020-02-11T06:10:46.110000Z|"Google Developers Launchpad"|"We’ve moved! For all things new with Google for Startups Accelerator, check out and subscribe to Google for Startups: https:www.youtube.comgoogleforstartups"|https://yt3.ggpht.com/-FB5RMyUe8gg/AAAAAAAAAAI/AAAAAAAAAAA/OB357CuEjVE/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|22|0
UCM_0SZaSF2KSxQZiYOIcCfg|UCgmb6YDBphvs2SJLB96LHyw|2019-08-27T00:21:45.154000Z|"DMZ Peace Forum"|"2018년 평창올림픽의 성공적 개최에 이어 남북 정상회담, 북미 정상회담이 연이어 개최되면서 한반도에서는 평화와 번영을 위한 새로운 여정이 시작되었습니다. 한반도의 평화와 번영 시대를 준비하기 위해 한국과 국제사회의 역할과 협력이 매우 중요한 시점입니다.  경제인문사회연구회와 대외경제정책연구원은 2019년 8월 28-29일 롯데호텔서울에서 “한반도의 미래 : 분단을 넘어 평화의 시대로”라는 주제로 「DMZ 평화경제 국제포럼」을 개최합니다. 본 포럼은 DMZ 트레킹과 “평화경제 국제 세미나”를 연계함으로써 참가자 모두가 남북 분단의 현실과 평화정착의 필요성을 직접 체감하고,  신한반도체제와 평화경제에 대한 종합적인 이해를 통해 한반도의 미래를 공유하는 소중한 시간이 될 것입니다."|https://yt3.ggpht.com/-XbfAevpSXTE/AAAAAAAAAAI/AAAAAAAAAAA/X4EZu8RufNg/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|25|0
UCM_0SZaSF2KSxQZiYOIcCfg|UCr5jq6MC_VCe1c5ciIZtk_w|2020-01-29T01:49:47.182000Z|"Center for Strategic & International Studies"|"For over 50 years, the Center for Strategic and International Studies (CSIS) has developed practical solutions to the world's greatest challenges. Since our founding, CSIS scholars have provided strategic insights and bipartisan policy solutions to help decisionmakers chart a course toward a better world.  CSIS is a bipartisan, nonprofit organization headquartered in Washington, D.C.  The Center's 220 full-time staff and large network of affiliated scholars conduct research and analysis and develop policy initiatives that look to the future and anticipate change."|https://yt3.ggpht.com/-_kQ2m8-qaWM/AAAAAAAAAAI/AAAAAAAAAAA/zT-2iYXasaE/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|4817|0
UCM_0SZaSF2KSxQZiYOIcCfg|UC-YDuZ07xTk9lToRel4tR4g|2020-05-21T06:17:27.663000Z|"한국조세재정연구원"|"대한민국의 조세 및 공공지출 공공기관운영에 관한 정책 수립을 지원하고 국민경제 발전에 기여하고자 설립된 정부출연 연구기관 입니다."|https://yt3.ggpht.com/-Zy-3qomV4wI/AAAAAAAAAAI/AAAAAAAAAAA/LreFJ4Ug9HM/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|32|0
UCM_0SZaSF2KSxQZiYOIcCfg|UCfcIRCpBxK1f6RjWzLBXOHw|2020-06-19T00:39:24.159000Z|"Foreign Policy Association"|"Founded in 1918, the mission of the Foreign Policy Association today, as it has been throughout its 95-year history, is to serve as  a catalyst for developing awareness, understanding, and informed opinion on U.S. foreign policy and global issues. Through its balanced, nonpartisan programs and publications, the FPA encourages citizens to participate in the foreign policy process."|https://yt3.ggpht.com/-wvksSlwhdRk/AAAAAAAAAAI/AAAAAAAAAAA/bKlFJ4w5-R8/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|1494|0
UCM_0SZaSF2KSxQZiYOIcCfg|UCB_yeT6WwVLJjCsZFt2oQfA|2020-04-14T08:58:22.057000Z|"Sustainability Illustrated"|"I create engaging videos about sustainability so everyone can learn & teach for free.   Think it's a good idea?! This channel is yours: Join us, subscribe, become a patron and share with people these videos can help.  Videos are created by Alexandre Magnin using many years of experience drawing and working as a sustainability consultant with businesses and communities. Feedback, ideas, suggestions, questions are always welcome: http:www.alexandremagnin.com"|https://yt3.ggpht.com/-Umf-V24oynk/AAAAAAAAAAI/AAAAAAAAAAA/41WAAscTdfY/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|92|0
UCM_0SZaSF2KSxQZiYOIcCfg|UClqxHMQZneFQ_vXGrmW1cMA|2020-05-22T00:47:18.930000Z|"Chey Institute for Advanced Studies"|""|https://yt3.ggpht.com/-KbYhbTkSVwY/AAAAAAAAAAI/AAAAAAAAAAA/DOQvvSl5ZNw/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|67|0
UCM_0SZaSF2KSxQZiYOIcCfg|UCpS4_lcap-K-x7DkHbUEfbw|2020-06-27T15:36:39.977000Z|"음악 외국: 외국노래"|""|https://yt3.ggpht.com/-P-15wYqHPa4/AAAAAAAAAAI/AAAAAAAAAAA/chAD2wURrDI/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|314|0
UCM_0SZaSF2KSxQZiYOIcCfg|UC7WMB_czX5jF__5kqT4d9Ww|2019-11-26T01:33:06.673000Z|"대한민국청와대"|"청와대 공식 유튜브 채널입니다."|https://yt3.ggpht.com/-Jdnp_IRgVXc/AAAAAAAAAAI/AAAAAAAAAAA/r2wqkkCJrLg/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|953|0
UCM_0SZaSF2KSxQZiYOIcCfg|UCP7jMXSY2xbc3KCAE0MHQ-A|2020-02-11T06:11:10.929000Z|"DeepMind"|"Artificial intelligence could be one of humanity's most useful inventions. DeepMind aims to build advanced AI to expand our knowledge and find new answers. By solving this one thing, we believe we could help people solve thousands of problems.  We’re a team of scientists, engineers, machine learning experts and more, working together to advance the state of the art in artificial intelligence. We use our technologies for widespread public benefit and scientific discovery, and collaborate with others on critical challenges, ensuring safety and ethics are the highest priority.  We have a track record of breakthroughs in fundamental AI research, published in journals like Nature, Science, and more. Our programs have learned to diagnose eye diseases as effectively as the world’s top doctors, to save 30% of the energy used to keep data centres cool, and to predict the complex 3D shapes of proteins - which could one day transform how drugs are invented.   Find out more: deepmind.com"|https://yt3.ggpht.com/-PKsVcQJInbc/AAAAAAAAAAI/AAAAAAAAAAA/Mb8BqUO6WtY/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|133|0
