id|subscriptionChannelId|publishedAt|title|description|thumbnailUrl|totalItemCount|newItemCount
UCUdfvI1KzH1i-0gvhXzEHTA|UCKkLURPBy41GxSQnWUf8e_w|2018-04-13T07:53:04.131000Z|"제주대학교병원"|""|https://yt3.ggpht.com/-uU-p0ShyXt8/AAAAAAAAAAI/AAAAAAAAAAA/xWjzd50Ao4Q/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|2|0
UCUdfvI1KzH1i-0gvhXzEHTA|UCli8R56d2rucoSRqzwT6x-g|2016-05-10T01:12:57Z|"케이블CMB"|"항상 시청자를 먼저 생각합니다. 소통과 공감의 가치를 소중히 합니다."|https://yt3.ggpht.com/-ImMJ2iTHQ7Y/AAAAAAAAAAI/AAAAAAAAAAA/vSdZ-cqVA3w/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|41165|0
UCUdfvI1KzH1i-0gvhXzEHTA|UCO73y3Xo_W4DB_pUImiYheA|2018-04-13T07:53:08.003000Z|"건국대학교병원"|"안녕하십니까. 건국대학교병원 YouTube 채널을 방문하신 여러분을 환영합니다. 다양한 건강정보 콘텐츠를 동영상으로 만나보세요."|https://yt3.ggpht.com/-r_UpP1rmhKY/AAAAAAAAAAI/AAAAAAAAAAA/u4YOWiLoISQ/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|237|0
UCUdfvI1KzH1i-0gvhXzEHTA|UChfcuaBEA0UcVp7D8OcBCPA|2018-04-13T07:43:22.747000Z|"인제대학교 백병원"|"사랑과 정이 넘치는 인제대학교 백병원 YouTube 채널입니다.  전국 5개 백병원(서울, 부산, 상계, 일산, 해운대) 의료진들이 여러분의 주치의로 신뢰할 수 있는 건강정보를 제공하겠습니다."|https://yt3.ggpht.com/-jiyGW8bK87w/AAAAAAAAAAI/AAAAAAAAAAA/MqXAipIrjko/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|260|0
UCUdfvI1KzH1i-0gvhXzEHTA|UCzp_EKglYlon4-hOCF6tdfw|2018-04-13T07:52:47.101000Z|"분당서울대학교병원"|"세계 의료의 표준을 선도하는 국민의 병원, 분당서울대학교병원입니다. Lead the Standard, Build the Trust, Seoul National University Bundang Hospital!"|https://yt3.ggpht.com/-v5TT7LG695o/AAAAAAAAAAI/AAAAAAAAAAA/5NOp14hgqUM/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|123|0
UCUdfvI1KzH1i-0gvhXzEHTA|UCQ-PQXcbNWKM0TDqBPMdC5g|2016-02-02T05:58:46Z|"대전MBC 뉴스Daejeon MBC News"|"새로워진 대전MBC 뉴스 공식 유튜브 채널입니다. 여러분의 제보와 참여로 더 좋은 세상을 만들어 나갑니다.  📱카카오톡 제보: ‘대전MBC뉴스’ http:pf.kakao.com_GxjWxiC ☎️제보: 080-800-3030"|https://yt3.ggpht.com/-kJMZKQh-z0k/AAAAAAAAAAI/AAAAAAAAAAA/TkvVhW6wdB8/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|33940|0
UCUdfvI1KzH1i-0gvhXzEHTA|UCtm_QoN2SIxwCE-59shX7Qg|2019-05-08T11:24:44.252000Z|"SPOTV"|""|https://yt3.ggpht.com/-NrabmvdiLRs/AAAAAAAAAAI/AAAAAAAAAAA/E2UarV2I-zc/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|39008|0
UCUdfvI1KzH1i-0gvhXzEHTA|UCo6xAaulkLgHzmrbd_IUUrg|2018-04-13T07:52:48.467000Z|"양산부산대학교병원"|"환자 안전을 최우선으로 하는 양산부산대학교병원입니다."|https://yt3.ggpht.com/-WylE-H1Uluc/AAAAAAAAAAI/AAAAAAAAAAA/AJ3okEXJ9dc/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|53|0
UCUdfvI1KzH1i-0gvhXzEHTA|UCv8w7es_4gmnpkIM8SolTKg|2018-04-13T07:52:50.109000Z|"전남대병원"|"전남대병원"|https://yt3.ggpht.com/-3nM1tWaGt8I/AAAAAAAAAAI/AAAAAAAAAAA/oUwVbUC-bYk/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|139|0
UCUdfvI1KzH1i-0gvhXzEHTA|UC54EDmmtIumzMPBfwFl5KoA|2018-04-13T07:52:52.252000Z|"인제대학교 일산백병원"|"안녕하세요, 인제대학교 일산백병원 공식 유튜브 채널 입니다. 유익한 건강정보로 찾아 뵙겠습니다!"|https://yt3.ggpht.com/-uktWYs9hJg8/AAAAAAAAAAI/AAAAAAAAAAA/Y5g8pHhWbsE/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|47|0
