id|subscriptionChannelId|publishedAt|title|description|thumbnailUrl|totalItemCount|newItemCount
UCpCtv8fw6egexjhOJpN1IZw|UCp-pqXsizklX3ZHvLxXyhxw|2020-06-03T07:10:17.894000Z|"DAY6"|"DAY6 Official YouTube"|https://yt3.ggpht.com/-wbUgTLxbfBc/AAAAAAAAAAI/AAAAAAAAAAA/2clF-PsytDI/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|247|0
UCpCtv8fw6egexjhOJpN1IZw|UCiBr0bK06imaMbLc8sAEz0A|2013-05-13T04:55:01Z|"MBCentertainment"|"Welcome to the official YouTube page of MBC, MBCentertainment A perfect channel full of entertainment and fun! Enjoy our exclusive content, Subscribe and stay tuned for the latest updates!"|https://yt3.ggpht.com/-ETl6ep3WnbQ/AAAAAAAAAAI/AAAAAAAAAAA/lMRgJfLKEE0/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|77191|0
UCpCtv8fw6egexjhOJpN1IZw|UCEgdi0XIXXZ-qJOFPf4JSKw|2013-05-13T04:55:01Z|"Sports"|"athletics : physical sports and games of any kind"|https://yt3.ggpht.com/-hdAXUbm-7rc/AAAAAAAAAAI/AAAAAAAAAAA/7VKn3I_QT8k/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|0|0
UCpCtv8fw6egexjhOJpN1IZw|UCKp8knO8a6tSI1oaLjfd9XA|2019-05-28T05:11:58.410000Z|"KIA타이거즈 TV"|""|https://yt3.ggpht.com/-2VAisopJqNY/AAAAAAAAAAI/AAAAAAAAAAA/OfzzSa3r90g/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|775|0
UCpCtv8fw6egexjhOJpN1IZw|UCWiS4vemV0wcxuxYPx9Z62g|2019-06-14T04:58:47.819000Z|"충주시"|"충주시 공식 유튜브  ▶매주 (화) 저녁 6시 공개  #충주 #공무원 #홍보맨"|https://yt3.ggpht.com/-3lIBZ7YB1Kg/AAAAAAAAAAI/AAAAAAAAAAA/v5Fm818JXwI/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|71|0
UCpCtv8fw6egexjhOJpN1IZw|UCtQ7Fc7Eny5MfWa9QD6CqcA|2020-02-19T07:06:17.321000Z|"여수시-여수이야기"|"아름다운 여수 행복한 시민 시민과 함께하는 해양관광 휴양도시 여수, 여수시, 여수시청 여수시 공식 유튜브 채널"|https://yt3.ggpht.com/-7oTEU6PMNyk/AAAAAAAAAAI/AAAAAAAAAAA/TUDiKR-MpRE/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|90|0
UCpCtv8fw6egexjhOJpN1IZw|UCboJhXNpjKROxeOsjvkyk9w|2020-05-20T05:38:13.020000Z|"충청남도 Chungnam"|"충청남도 공식 유튜브 채널 입니다. 충청남도의 다양한 영상 소식을 제공합니다."|https://yt3.ggpht.com/-YuH_CRhLzVY/AAAAAAAAAAI/AAAAAAAAAAA/CaauFiympi4/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|3250|0
UCpCtv8fw6egexjhOJpN1IZw|UCLkAepWjdylmXSltofFvsYQ|2019-11-22T02:07:38.354000Z|"BANGTANTV"|"BTS Official YouTube Channel"|https://yt3.ggpht.com/-W0mW5OU8YV0/AAAAAAAAAAI/AAAAAAAAAAA/Pbh3LomrKK4/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|1256|0
UCpCtv8fw6egexjhOJpN1IZw|UCthJmagEe0ylvhyQ5xshcwA|2019-10-14T00:50:36.489000Z|"대전시 DaeJeon"|"대전시인터넷방송 유튜브채널  대전의 명소, 문화, 관광, 축제 등 다양한 소식을 동영상으로 만나보세요.  #대전시 #대전광역시 #대전 #대전시청 #Daejeon #대전시인터넷방송 #이츠대전TV"|https://yt3.ggpht.com/-YcvfvhpA8Ig/AAAAAAAAAAI/AAAAAAAAAAA/CQdRDRbl4YQ/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|284|0
UCpCtv8fw6egexjhOJpN1IZw|UCmhag2BGdyBuQWF0vPuZ5yA|2019-06-14T04:54:46.262000Z|"컬러풀대구TV"|"대구광역시 공식 유튜브 채널입니다. :) 진짜 대구를 만나보세요~  Welcome to our YouTube channel. You'll find videos of interest about the City and beyond. www.daegu.go.kr"|https://yt3.ggpht.com/-d92egEZ1gJI/AAAAAAAAAAI/AAAAAAAAAAA/qBfOys7kLJY/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|839|0
