id|publishedAt|channelId|title|description|thumbnailUrl|tags|category|defaultLanguage|duration|caption|viewCount|likeCount|dislikeCount|commentCount
c6TvMeaIVow|2020-07-14T08:28:56Z|UC5Iq_s3OuLU8l3h4avHRPTw|"#울산 북구 #강동 #오토#캠핑장 개장합니다.(#오토캠핑장, #카라반)"|"울산 북구 강동에 오토 캠핑장이 개장합니다~~~~ 코로나19를 완전히 날려 버릴 환상적인 캠핑장입니다~~~ 위치 : 북구 당사동 87번지 일원 운영기간 : 2020.8.1~9.13, 접수기간 : 2020.7.13~7.17 접수방법 : 북구청 홈페이지 공지를 통한 인터넷(메일) 접수 후 전산 추첨                    구청 홈페이지 공지 "구정소식알림마당알림사항 참조바람 홈페이지 주소 : http:www.bukgu.ulsan.krlay1bbsS1T62C83A1view.do?article_seq=261607"|https://i.ytimg.com/vi/c6TvMeaIVow/default.jpg|"울산북구북구청오토캠핑장캠핑장카라반여행동해바다텐트추억코로나19힐링동해바다"|22|NULL|PT3M38S|false|2670|29|1|6
aOWy8QvUEpU|2020-07-10T08:51:13Z|UC5Iq_s3OuLU8l3h4avHRPTw|"#울산 #북구#육아종합지원센터 #개관"|"#울산 #북구#육아종합지원센터 #개관 주민여러분 많이 기다리셨죠 드디어 북구에도 육아종합지원센터가 개관했습니다 많이 많이 오셔서 행복하고 즐거운 시간 보내세요"|https://i.ytimg.com/vi/aOWy8QvUEpU/default.jpg|"울산북구이동권북구청장육아종합지원센터북구육아종합지원센터육아아이들놀이터"|22|NULL|PT3M6S|false|124|9|0|0
F3z-d1g8d3k|2020-07-10T04:35:40Z|UC5Iq_s3OuLU8l3h4avHRPTw|"#과거있는 남자 #이동권 #꿈은 #이루어진다(#이동권 #북구청장, 40년 꿈을 마침내 실행하다)#반응"|"과거있는 남자 이동권 북구청장의 비밀을 공개합니다. 기대하세요~~~ 구청장님 어릴때 꿈이 뭐였습니까? 하루 먹고 하루 사는게 바빴고 뭐가 되겠다는 것은 상상도 못했죠 하하하 이동권 북구청장의 어린시절 꿈과 중학교도 갈 수 없을 정도로 가난했던 스토리 밀싸리 해 먹기, 동천강 멱감기, 소 먹이다 소 잃어버린 이야기, 기박산성, 관문성, 달천철장 갱도 등 많은 스토리가 펼쳐집니다"|https://i.ytimg.com/vi/F3z-d1g8d3k/default.jpg|"울산북구이동권북구청장청와대꿈북구청동천무룡산동대산기박산성관문성달천철장갱도반응비밀스토리"|22|NULL|PT11M14S|false|322|15|0|5
M_KxU61x6XQ|2020-07-08T06:25:33Z|UC5Iq_s3OuLU8l3h4avHRPTw|"이동권 북구청장 취임 2주년, JCN 대담 영상"|"이동권 북구청장 취임 2주년, JCN 대담 영상"|https://i.ytimg.com/vi/M_KxU61x6XQ/default.jpg|"이동권jcn2주년대담울산북구"|22|NULL|PT29M51S|false|137|7|0|0
Urs9EIwT0XI|2020-07-08T06:25:28Z|UC5Iq_s3OuLU8l3h4avHRPTw|"이동권 북구청장 취임2주년 주민속으로 생생 현장투어"|"이른 새벽부터 환경미화원들과 함께 마을 청소와 재활용품 수거를 동행했습니다 새벽일을 마치고 고생하시는 환경미화원분들께 따뜻한 아침식사를 대접해 드리고 재래시장이며 여름철 태풍 및 폭우 대비를 위해 산 골짜기마다 제방시설을 둘러보고 산사태 위험지역을 철저하게 점검했습니다. 주민여러분 힘내십시요. 북구는 저와 공무원들이 안전하게 지키고 살피겠습니다. 코로나로 많이 힘드신 줄 압니다. 하지만 위기가 기회라고 했습니다. 함께 이 어려운 시기를 잘 헤쳐나가요, 울산 북구 화이팅, 대한민국 화이팅~~~~"|https://i.ytimg.com/vi/Urs9EIwT0XI/default.jpg|"울산 북구울산이동권현장투어2주년북구청코로나극복희망"|22|NULL|PT9M8S|false|156|6|0|2
8ZTSFAz2Grk|2020-06-29T07:47:11Z|UC5Iq_s3OuLU8l3h4avHRPTw|"사실 "나" 많이 삭았어!"|"과거있는 남자 이동권 북구청장의 비밀을 공개해 드립니다 앞으로 계속해서 비밀 이야기를 올려드리겠습니다 많은 관심과 구독 부탁드립니다."|https://i.ytimg.com/vi/8ZTSFAz2Grk/default.jpg|"울산북구이동권구청장고향북구청울산북구청북구청장매곡치맥어렸을적동대산이야기공무원"|22|NULL|PT6M32S|false|376|23|1|2
wnMcYx4i0rM|2020-06-17T05:30:57Z|UC5Iq_s3OuLU8l3h4avHRPTw|"※국민찰떡송 탄생※ 지원금 써 #주라주라 #다비이모 긴급재난지원금 착한소비 송 드디어 떴다!!! #갓띵곡 #갓띵작"|"다비이모 국민재난지원금 노래  #긴급재난지원금 #김다비#주라주라  다비이모 가 부르는 긴급재난지원금송 '써' 주라주라! 찰떡궁합 아닌가요!!??  국민 웃음 #주라주라 지역상인 활짝 웃게 해 #주라주라 긴급재난지원금 8월까지 꼭 써 #주라주라  다비이모의 주라주라 쏭이 국민응원 쏭으로 대변신! 지금 바로 확인하세요~!"|https://i.ytimg.com/vi/wnMcYx4i0rM/default.jpg|NULL|22|NULL|PT3M3S|false|217|9|0|2
y-ptjZ2J3ig|2020-06-11T13:52:30Z|UC5Iq_s3OuLU8l3h4avHRPTw|"#울산 북구 명소 - #무룡산 정상(360도 영상) #동해바다와 #울산대교, #현대자동차, #화학단지, #태화강을 한눈에 볼수 있습니다."|"울산 북구에는 울산을 한눈에 담을수 있는 무룡산 정상이 있습니다. 야간에는 울산시내의 멋진 야경을 감상할수 있고, 낮에는 동해바다와 울산대교, 현대자동차 울산공장, 화학단지, 태화강, 울산 공항 등 을 마음껏 감상 할 수 있습니다. 이번 주말에는 가족과 함께 무룡산으로 등산하러 오세요~~~"|https://i.ytimg.com/vi/y-ptjZ2J3ig/default.jpg|"무룡산울산북구여행코로나정상산힐링북구청"|22|NULL|PT1M55S|false|278|8|1|0
CxbLr6NXPTY|2020-06-11T13:46:25Z|UC5Iq_s3OuLU8l3h4avHRPTw|"#울산 북구 #관광 명소  #사랑길 #금실정(360도 영상)북구에는 소나무 부부가 살고있어요^^"|"금실 좋은 부부가 된다는 전설의 소나무 연인들이 자주 찾는 명소, 이번 주말은 연인과 함께 가족과 함께 강동 사랑길 금실정에서 아름다운 추억을 만들어 보세요"|https://i.ytimg.com/vi/CxbLr6NXPTY/default.jpg|"울산북구사랑길힐링여행바다금실정코로나희망챌린지"|22|NULL|PT1M59S|false|145|6|0|0
f8h09G-fOjw|2020-06-10T09:20:24Z|UC5Iq_s3OuLU8l3h4avHRPTw|"#울산 북구 관광명소 -#우가항 전망대(360도 영상)울산 북구에 오시면 행복이 있습니다."|"울산 북구 관광명소 중 우가항 전망대는 아름다운 해안을 눈 앞에서 볼 수있는 곳입니다. 시원한 바닷바람, 파도소리를 느끼며 해안가를 걸어보세요. 코로나로 지친 심신을 쉬어갈 수 있습니다."|https://i.ytimg.com/vi/f8h09G-fOjw/default.jpg|"울산북구우가바다동해해안파도코로나"|22|NULL|PT2M8S|false|102|8|0|3
