id|publishedAt|channelId|title|description|thumbnailUrl|tags|category|defaultLanguage|duration|caption|viewCount|likeCount|dislikeCount|commentCount
03jIlww3Utg|2020-07-16T05:00:00Z|UC5rNAdQWDhaw_Z4PEK7TPJw|"인천공항 문화예술공연[ON-TACT 2탄] 두 번째 뮤지션: 클래식 성악의 대표 앙상블그룹 스텔라루체"|"코로나 19로 달라진 일상 속 안방1열에서 즐기는 문화생활! 인천공항의 비대면 문화예술공연 온택트(ON-TACT)의 두 번째 이야기,  두 번째 주자는 아름다운 하모니가 인상적인 크로스오버 앙상블그룹 ‘스텔라루체’입니다!  멋진 성악가 네 명의 웅장하고 아름다운 목소리를 현장에서 듣는 것처럼 생생하게 안방으로 배달해드립니다.  인천공항의 온택트 공연은 계속됩니다 :)"|https://i.ytimg.com/vi/03jIlww3Utg/default.jpg|NULL|19|en|PT11M|false|514|71|1|7
2fmqhn11wA0|2020-07-14T06:22:18Z|UC5rNAdQWDhaw_Z4PEK7TPJw|"인천공항 문화예술공연[ON-TACT 2탄] 첫 번째 뮤지션: 독보적 음악 세계를 가진 래퍼 비와이"|"코로나 19로 달라진 일상 속 안방1열에서 즐기는 문화생활! 인천공항의 비대면 문화예술공연 온택트(ON-TACT)의 두 번째 이야기,  첫 번째 주자는 독보적인 음악 세계를 가진 래퍼 ‘비와이’입니다!    쇼미더머니5 우승자 비와이의 독특한 스타일의 랩을 현장에서 듣는 것처럼 생생하게 안방으로 배달해드립니다.    온택트 공연과 함께 매일매일 좋은 Day Day 되세요!    인천공항의 온택트 공연은 계속됩니다 :)"|https://i.ytimg.com/vi/2fmqhn11wA0/default.jpg|NULL|19|en|PT10M41S|false|2638|32|0|5
M182BiQ_97M|2020-07-10T00:23:56Z|UC5rNAdQWDhaw_Z4PEK7TPJw|"안방1열에서 즐기는 인천공항 문화예술공연[ON-TACT] 제2탄"|"코로나19로 달라진 일상 속 안방1열에서 즐기는 문화생활! 인천공항의 비대면 문화예술공연 온택트(ON-TACT)의 두 번째 이야기가 7월 여러분을 찾아갑니다.  비와이, 윤하, 박재정, 홍이삭, 이예준, 스텔라루체, 미스터브라스, 스케르쪼, 미스엘, 민트리오, 비토, 뮤지스 등 멋진 아티스트들의 공연을 즐겨보세요!    7월에도 계속되는 인천공항의 온택트 공연! 여러분의 많은 기대 부탁드립니다 :)"|https://i.ytimg.com/vi/M182BiQ_97M/default.jpg|NULL|19|en|PT33S|false|690|28|0|2
UTVCdIRcrsY|2020-06-30T05:01:26Z|UC5rNAdQWDhaw_Z4PEK7TPJw|"인천공항 문화예술공연[ON-TACT] 제8탄: 실력파 싱어송라이터 적재"|"코로나19로 달라진 일상 속 안방1열에서 즐기는 문화생활!  인천공항의 비대면 문화예술공연 온택트(ON-TACT)의  여덟 번째 주자는 실력파 기타리스트이자 싱어송라이터 ‘적재’ 입니다!  ‘뮤지션의 뮤지션’ 꾸밈없이 담담하게 노래하는  섬세한 실력파 싱어송라이터 적재의 달달한 목소리를 안방으로 배달해드립니다 인천공항의 온택트 공연은 계속됩니다 :)"|https://i.ytimg.com/vi/UTVCdIRcrsY/default.jpg|"인천국제공항인천공항incheonairport제2여객터미널T2온택트Ontact온라인온라인공연공연코로나극복인순이적재펀치조명섭초묘뮤럽코리아챔버앙상블레트로트왱클래식실내악앙상블음악콘서트방구석콘서트방구석공연생활속거리두기손씻기마스크착용뮤지션k-popkpop케이팝인디밴드밴드어쿠스틱발라드시티팝citypopjazz재즈musiccovid19응원덕분에힘내라대한민국2020코로나코로나19"|19|en|PT12M25S|false|5186|146|0|36
OfKw5fSUuj0|2020-06-23T05:00:04Z|UC5rNAdQWDhaw_Z4PEK7TPJw|"인천공항 문화예술공연[ON-TACT] 제7탄: 혼성 재즈밴드 레트로트왱"|"코로나19로 달라진 일상 속 안방1열에서 즐기는 문화생활!  인천공항의 비대면 문화예술공연 온택트(ON-TACT)의  일곱 번째 주자는 혼성 재즈밴드 ‘레트로트왱’입니다!  Electronic 한 synth 사운드에 끈적한 그루브를 얹은 음악으로 방 안에서도 에너지를 느낄 수 있는 공연에 여러분을 초대합니다!  인천공항의 온택트 공연은 계속됩니다 :)"|https://i.ytimg.com/vi/OfKw5fSUuj0/default.jpg|"인천국제공항인천공항incheonairport제2여객터미널T2온택트ontact온라인온라인공연공연코로나극복인순이적재펀치조명섭초묘뮤럽코리아챔버앙상블레트로트왱방구석콘서트방구석공연생활속거리두기손씻기마스크착용재즈그루브뮤지션k-popkpop케이팝인디밴드밴드어쿠스틱발라드시티팝citypopjazz음악musiccovid19응원덕분에힘내라대한민국2020코로나코로나19"|19|en|PT12M18S|false|333|28|2|4
EklwqpXnkjY|2020-06-18T05:00:03Z|UC5rNAdQWDhaw_Z4PEK7TPJw|"인천공항 문화예술공연[ON-TACT] 제6탄: 실내악 클래식그룹 코리아챔버앙상블"|"코로나19로 달라진 일상 속 안방1열에서 즐기는 문화생활!  인천공항의 비대면 문화예술공연 온택트(ON-TACT)의  여섯 번째 주자는 실내악 앙상블 그룹 ‘코리아챔버앙상블’ 입니다!  실내악 클래식의 진수를 들려주는 코리아챔버앙상블이  힐링이 되는 음악과 응원의 메시지를 안방으로 배달해드립니다 인천공항의 온택트 공연은 계속됩니다 :)"|https://i.ytimg.com/vi/EklwqpXnkjY/default.jpg|"인천국제공항인천공항incheonairport제2여객터미널t2온택트ontact온라인온라인공연공연코로나극복인순이적재펀치조명섭초묘뮤럽코리아챔버앙상블레트로트왱클래식실내악앙상블음악콘서트방구석콘서트방구석공연생활속거리두기손씻기마스크착용뮤지션k-popkpop케이팝인디밴드밴드어쿠스틱발라드시티팝citypopjazz재즈musiccovid19응원덕분에힘내라대한민국2020코로나코로나19"|19|en|PT14M14S|false|485|31|2|4
HkztuydaHNg|2020-06-17T07:02:04Z|UC5rNAdQWDhaw_Z4PEK7TPJw|"[Incheon Airport] 더욱 안전한 항공 운항을 위한 새로운 LVP & TCP 도입!"|"조종사들이 보다 안전한 항공 운항을 할 수 있도록 든든하게 뒷받침 해주는 인천공항의 저시정절차 LVP(Low Visibility Procedure) 이동 동선 및 무선통신이양지점 TCP(Transfer of Control Point)의 새로운 변경 내용을 영상으로 확인해 보세요!  * 새로운 저시정절차 LVP(Low Visibility Procedure) 이동 동선 및 무선통신이양지점 TCP(Transfer of Control Point) 정보는 국제표준시(UTC) 기준 2020년 6월 17일 16시부터 시행됩니다. 자세한 내용은 AIRAC AIP AMDT 520_RKSI를 참조해 주세요.  Please check informaion of Incheon Airport’s new LVP(Low Visibility Procedure) & TCP(Transfer of Control Point) which support pilots to practice safe flight!  *The new Low Visibility Procedure(LVP) & Transfer of Control Point(TCP) information of Incheon Airport becomes effective as of 1600 UTC 17 June 2020. Please refer to AIRAC AIP AMDT 520_RKSI for details."|https://i.ytimg.com/vi/HkztuydaHNg/default.jpg|NULL|19|en|PT2M7S|false|509|22|1|5
FC40552x3Dw|2020-06-16T05:00:02Z|UC5rNAdQWDhaw_Z4PEK7TPJw|"인천공항 문화예술공연[ON-TACT] 제5탄: 떠오르는 OST 강자 펀치"|"코로나19로 달라진 일상 속 안방1열에서 즐기는 문화생활!  인천공항의 비대면 문화예술공연 온택트(ON-TACT)의  다섯 번째 주자는 떠오르는 OST 강자 ‘펀치’입니다!  매력적이고 아름다운 음색을 지닌 펀치가 코로나19로 지친 모든 분들에게 위로의 메시지와 힐 링이 되는 음악을 들려드립니다!!  인천공항의 온택트 공연은 계속됩니다 :)"|https://i.ytimg.com/vi/FC40552x3Dw/default.jpg|"인천국제공항인천공항incheonairport제2여객터미널t2온택트ontact온라인온라인공연공연코로나극복인순이적재펀치조명섭초묘뮤럽코리아챔버앙상블레트로트왱안부영화속에나오는주인공처럼ost여왕방구석콘서트방구석공연생활속거리두기손씻기마스크착용뮤지션k-popkpop케이팝인디밴드밴드어쿠스틱발라드시티팝citypopjazz재즈음악musiccovid19응원덕분에힘내라대한민국2020코로나코로나19"|19|en|PT10M24S|false|6638|48|2|10
HLLp9rXY4fA|2020-06-12T05:36:50Z|UC5rNAdQWDhaw_Z4PEK7TPJw|"인천공항 문화예술공연[ON-TACT] 제4탄: 아름다운 하모니 뮤지컬 혼성듀오 뮤럽"|"코로나19로 달라진 일상 속 안방1열에서 즐기는 문화생활!  인천공항의 비대면 문화예술공연 온택트(ON-TACT)의  네 번째 주자는 혼성 뮤지컬 듀오 ‘뮤럽’입니다!  방 안에서도 멋진 뮤지컬 한 편을 보는 것 같은 화려하고 열정적인 그들의 무대에 여러분을 초대합니다!  인천공항의 온택트 공연은 계속됩니다 :)"|https://i.ytimg.com/vi/HLLp9rXY4fA/default.jpg|"인천국제공항인천공항incheonairport제2여객터미널T2온택트ontact온라인온라인공연공연코로나극복인순이적재펀치조명섭초묘뮤럽코리아챔버앙상블레트로트왱방구석콘서트방구석공연생활속거리두기손씻기마스크착용뮤지션k-popkpop케이팝인디밴드밴드어쿠스틱발라드시티팝citypopjazz재즈음악musiccovid19응원덕분에힘내라대한민국2020코로나코로나19"|19|en|PT12M28S|false|592|29|1|10
6rhZfvFT-dU|2020-06-09T05:00:00Z|UC5rNAdQWDhaw_Z4PEK7TPJw|"인천공항 문화예술공연[ON-TACT] 제3탄: 전통가요지킴이 조명섭"|"코로나19로 달라진 일상 속 안방1열에서 즐기는 문화생활!  인천공항의 비대면 문화예술공연 온택트(ON-TACT)의  세 번째 주자는 전통가요지킴이 ‘조명섭' 입니다.   50년대 축음기에서 들려올 것만 같은 맑고 구성진 목소리로  여러분께 웃음과 희망의 무대를 선사합니다!  인천공항의 온택트 공연은 계속됩니다 :)"|https://i.ytimg.com/vi/6rhZfvFT-dU/default.jpg|"인천국제공항인천공항incheonairport제2여객터미널t2온택트ontact온라인온라인공연공연코로나극복인순이적재펀치조명섭초묘뮤럽코리아챔버앙상블레트로트왱방구석콘서트방구석공연생활속거리두기손씻기마스크착용뮤지션k-popkpop케이팝트로트인디밴드밴드어쿠스틱발라드시티팝citypopjazz재즈음악musiccovid19응원덕분에힘내라대한민국2020"|19|en|PT12M36S|false|64163|2605|26|930
