id|publishedAt|channelId|title|description|thumbnailUrl|tags|category|defaultLanguage|duration|caption|viewCount|likeCount|dislikeCount|commentCount
CdEI-Ipw6wo|2020-07-13T01:26:50Z|UCJ_3L5ElVq7fI0AAB91tfng|"[전체영상 다시보기] 코로나 팬데믹, 한국의 대응과 과제 II"|"서울대학교 국가전략위원회 제2차 코로나19 포럼 코로나 팬데믹, 한국의 대응과 과제Ⅱ 일시: 2020.06.24.(수) 13:30  개회사 ㅣ 홍준형 (SNU 국가전략위원회 위원장)  환영사 ㅣ 오세정 (서울대학교 총장)  사  회 ㅣ  장덕진 (서울대학교 사회학과 교수 · 서울대학교 국가전략위원회 위원)   ===[세션1] 코로나19와 과학기반 정책===  ★좌장 장덕진 ㅣ 서울대학교 사회학과 교수 · 서울대학교 국가전략위원회 위원  [발표1] 코로나19 대응 : 평가와 과제 김강립 ㅣ 중대본 제1총괄조정관 · 보건복지부 차관  [발표2] 데이터과학 기반 출구전략 : 감염주기 예측 역량과 세계위기대응 전영일 ㅣ 통계개발원 원장   [토론]ㅣ 발표자 2인+토론자 2인 차상균 ㅣ 서울대학교 데이터사이언스대학원 원장 이현숙 ㅣ 서울대학교 생명과학부 교수 · 서울대학교 국가전략위원회 위원  [청중과의 대화시간1]   ===[세션2] 코로나19 이후의 국가===  ★좌장 장덕진 ㅣ 서울대학교 사회학과 교수 · 서울대학교 국가전략위원회 위원  [발표1] 포스트코로나 시대, 한국형 뉴딜 : 위기를 넘어 주인공이 되는 길 이광재 ㅣ 국회의원 · 더불어민주당 코로나19국난극복대책위포스트코로나 본부장  [발표2] 코로나19 시대의 사회정책 방향 김미곤 ㅣ 한국보건사회연구원 명예연구위원   [토론] 발표자 2인+토론자 2인 박원호 ㅣ 서울대학교 정치외교학부 교수 구인회 ㅣ 서울대학교 사회복지학과 교수  [청중과의 대화시간]   ===[세션3] 코로나19와 교육, 기술, 윤리===  ★좌장 이석재 ㅣ 서울대학교 철학과 교수 · 서울대학교 국가전략위원회 위원 [발표1] 코로나19가 던져 준 교육의 의미와 과제 김진숙 ㅣ 한국교육학술정보원 교육서비스본부장 · 국가교육회의 중장기교육정책전문위원                 [발표2] 코로나19와 과학혁신적 포용사상 교육 박종화 ㅣ UNIST 생명과학부 교수 · ㈜클리노믹스 대표   [토론] 발표자2인+토론자2인 신종호 ㅣ 서울대학교 교육학과 교수 · 서울대학교 국가전략위원회 위원 홍성욱 ㅣ 서울대학교 생명과학부 교수  [청중과의 대화시간]  #COVID19 #서울대학교 #SNU #서울대학교국가전략위원회 #SNUresopondstoCOVID19"|https://i.ytimg.com/vi/CdEI-Ipw6wo/default.jpg|"COVID19서울대학교SNU서울대학교국가전략위원회SNUrespondstoCOVID19"|27|NULL|PT5H5M22S|false|64|3|1|0
OVTaU5x_GdA|2020-07-10T06:15:36Z|UCJ_3L5ElVq7fI0AAB91tfng|"[SNU국가전략위원회 코로나19 사회연구팀, 코로나19 인터뷰] 코로나19, 우리만 극복하면 될까? 한 나라를 넘어 큰 지역 단위의 문제 - 고길곤 교수(서울대학교 행정대학원)"|"최고의 전문가들에게 길을 묻다! 코로나19 시대 정보 방역! 최고의 전문가들에게 길을 묻다!   ∮데이터x어벤져스 SNU 국가전략위원회 ‘코로나19 사회연구팀’  [코로나19 인터뷰] 코로나19, 우리만 극복하면 될까? 한 나라를 넘어 큰 지역 단위의 문제 └ 고길곤 서울대학교 행정대학원 교수    코로나19 사회연구팀  COVID-19 interview ∮data X Avengers   The COVID-19 Society Research Team SNU National Strategy Commission The COVID-19 Society Research Team   #COVID-19 #서울대학교 #SNU #SNU국가전략위원회 #코로나19사회연구팀 #SNUresopondstoCOVID19"|https://i.ytimg.com/vi/OVTaU5x_GdA/default.jpg|NULL|27|NULL|PT6M59S|false|74|6|0|0
zMq8OoIbUOc|2020-07-10T06:11:58Z|UCJ_3L5ElVq7fI0AAB91tfng|"[SNU국가전략위원회 코로나19 사회연구팀, 코로나19 Talk] 코로나19 K-방역의 핵심은 RT-PCR? - 이현숙 교수(서울대학교 생명과학부)"|"최고의 전문가들에게 길을 묻다! 코로나19 시대 정보 방역! 최고의 전문가들에게 길을 묻다!   ∮데이터x어벤져스 SNU 국가전략위원회 ‘코로나19 사회연구팀’  [코로나19 Talk] 코로나19 K-방역의 핵심은 RT-PCR? Unsung Hero, 코로나 방역의 일등공신, 보이지 않는 손들 └ 이현숙 서울대학교 생명과학부 교수    코로나19 사회연구팀  COVID-19 interview ∮data X Avengers   The COVID-19 Society Research Team SNU National Strategy Commission The COVID-19 Society Research Team   #COVID-19 #서울대학교 #SNU #SNU국가전략위원회 #코로나19사회연구팀 #SNUresopondstoCOVID19"|https://i.ytimg.com/vi/zMq8OoIbUOc/default.jpg|NULL|27|NULL|PT56M47S|false|50|1|0|0
UwTQRufwx4o|2020-07-02T06:32:05Z|UCJ_3L5ElVq7fI0AAB91tfng|"[ENG] Nudging Data Science-Based Exit Policycrafting : Lessons of Pandemic"|"The COVID-19 Pandemic: Korea’s Response and Challenges Ⅱ    === [Session 1-2] === "Nudging Data Science-Based Exit Policycrafting : Lessons of Pandemic Nearcasting from the Crucible of Crisis"  ◎ Chun, ASAPH Y ◎ ㅣDirector-General, Statistics Research Institute  A platform for learning from the top experts on how to respond to today’s global human disaster!  Seoul National University National Strategy Committee  #COVID-19 #SNU #서울대학교 #SNU국가전략위원회 #서울대학교국가전략위원회 #COVID19포럼 #K-quarantine #korea-quarantine  #K-방역 #K방역  #한국 #방역 #covid-19 #covid19 #corona #COVID19 pandemic #pandemic #virus #southkorea #코로나팬데믹   #코로나19 #코로나 #코로나바이러스"|https://i.ytimg.com/vi/UwTQRufwx4o/default.jpg|NULL|27|NULL|PT22M32S|false|32|1|0|1
9uqmLG8AvuY|2020-07-02T06:30:07Z|UCJ_3L5ElVq7fI0AAB91tfng|"[ENG] 3rd Discussion_The COVID-19 Pandemic: Korea’s Response and Challenges Ⅱ"|"The COVID-19 Pandemic: Korea’s Response and Challenges Ⅱ    === [Session 3-3] === (1) Panel Discussion (2) Q&A Session : Questions from the Audience  [Panel] ◎Shin, Jong Ho ㅣ Professor, Department of Education, College of Education, Seoul National University ◎Hong, Sung Ook ㅣ Professor, School of Biological Science, College of Natural Science, Seoul National University  [Speaker] ◎Kim, Jin Sook ㅣ Director of the Education Service Division, Korea Education and Research Information Service (KERIS) ◎Bhak, Jong Hwa  l  Professor, Biomedical Engineering UNIST, Korea  [Moderator] ◎Lee, Suk Jaeㅣ Professor, Department of Philosophy, College of Humanities, Seoul National University   A platform for learning from the top experts on how to respond to today’s global human disaster!  Seoul National University National Strategy Committee  #COVID-19 #SNU #서울대학교 #SNU국가전략위원회 #서울대학교국가전략위원회 #COVID19포럼 #K-quarantine #korea-quarantine  #K-방역 #K방역  #한국 #방역 #covid-19 #covid19 #corona #COVID19 pandemic #pandemic #virus #southkorea #코로나팬데믹   #코로나19 #코로나 #코로나바이러스"|https://i.ytimg.com/vi/9uqmLG8AvuY/default.jpg|NULL|27|NULL|PT51M33S|false|44|1|0|0
nmLVzjl5DKg|2020-07-02T06:27:02Z|UCJ_3L5ElVq7fI0AAB91tfng|"[ENG] COVID-19 & Education of Inclusion Ideology driven by Science Innovation"|"The COVID-19 Pandemic: Korea’s Response and Challenges Ⅱ    === [Session 3-2] === "COVID-19 & Education of Inclusion Ideology driven by Science Innovation"  ◎ Bhak, Jong Hwa ◎ ㅣProfessor, Biomedical Engineering UNIST, Korea  A platform for learning from the top experts on how to respond to today’s global human disaster!  Seoul National University National Strategy Committee  #COVID-19 #SNU #서울대학교 #SNU국가전략위원회 #서울대학교국가전략위원회 #COVID19포럼 #K-quarantine #korea-quarantine  #K-방역 #K방역  #한국 #방역 #covid-19 #covid19 #corona #COVID19 pandemic #pandemic #virus #southkorea #코로나팬데믹   #코로나19 #코로나 #코로나바이러스"|https://i.ytimg.com/vi/nmLVzjl5DKg/default.jpg|NULL|27|NULL|PT20M55S|false|12|1|0|0
KTLhlnoEBu0|2020-07-02T06:23:46Z|UCJ_3L5ElVq7fI0AAB91tfng|"[ENG] The Meaning and Tasks of Education that COVID-19 Left Behind"|"The COVID-19 Pandemic: Korea’s Response and Challenges Ⅱ    === [Session 3-1] === "The Meaning and Tasks of Education that COVID-19 Left Behind"  ◎ Kim, Jin Sook ◎ ㅣDirector of the Education Service Division, Korea Education and Research Information Service (KERIS)  A platform for learning from the top experts on how to respond to today’s global human disaster!  Seoul National University National Strategy Committee Emergency Forum  #COVID-19 #SNU #서울대학교 #SNU국가전략위원회 #서울대학교국가전략위원회 #COVID19포럼 #K-quarantine #korea-quarantine  #K-방역 #K방역  #한국 #방역 #covid-19 #covid19 #corona #COVID19 pandemic #pandemic #virus #southkorea #코로나팬데믹   #코로나19 #코로나 #코로나바이러스"|https://i.ytimg.com/vi/KTLhlnoEBu0/default.jpg|NULL|27|NULL|PT21M1S|false|16|0|0|0
kzZ2t8dhZPU|2020-07-02T06:20:43Z|UCJ_3L5ElVq7fI0AAB91tfng|"[ENG] 2nd Discussion_The COVID-19 Pandemic: Korea’s Response and Challenges Ⅱ"|"The COVID-19 Pandemic: Korea’s Response and Challenges Ⅱ    === [Session 2-3] === (1) Panel Discussion (2) Q&A Session : Questions from the Audience  [Panel] ◎Park, Won Ho ㅣ Professor, Department of Political Science and International Relations, College of Social Sciences, Seoul National University ◎Ku, In Hoe  ㅣ Professor, Department of Social Welfare, College of Social Sciences, Seoul National University  [Speaker] ◎Lee, Kwang Jae  ㅣ Member of the National Assembly Republic of KoreaHead of Post-Corona Office, Committee on Overcoming COVID 19, Democratic Party of Korea ◎Kim, Mee Gon  ㅣ Emeritus Research Fellow, Korea Institute for Health and Social Affairs  [Moderator] ◎Chang, Duk Jin  ㅣ Professor, Department of Sociology, College of Social Sciences, Seoul National University  A platform for learning from the top experts on how to respond to today’s global human disaster!  Seoul National University National Strategy Committee  #COVID-19 #SNU #서울대학교 #SNU국가전략위원회 #서울대학교국가전략위원회 #COVID19포럼 #K-quarantine #korea-quarantine  #K-방역 #K방역  #한국 #방역 #covid-19 #covid19 #corona #COVID19 pandemic #pandemic #virus #southkorea #코로나팬데믹   #코로나19 #코로나 #코로나바이러스"|https://i.ytimg.com/vi/kzZ2t8dhZPU/default.jpg|NULL|27|NULL|PT49M26S|false|15|0|0|0
v9xTROMl_Yk|2020-07-02T06:17:38Z|UCJ_3L5ElVq7fI0AAB91tfng|"[ENG] Social Policy Directions in the COVID-19 Era"|"The COVID-19 Pandemic: Korea’s Response and Challenges Ⅱ    === [Session 2-2] === "Social Policy Directions in the COVID-19 Era"  ◎ Kim, Mee Gon ◎ ㅣVice Minister, Divison of Planning and Coordination, Ministry of Health and Welfare  A platform for learning from the top experts on how to respond to today’s global human disaster!  Seoul National University, National Strategy Committee Emergency Forum  #COVID-19 #SNU #서울대학교 #SNU국가전략위원회 #서울대학교국가전략위원회 #COVID19포럼 #K-quarantine #korea-quarantine  #K-방역 #K방역  #한국 #방역 #covid-19 #covid19 #corona #COVID19 pandemic #pandemic #virus #southkorea #코로나팬데믹   #코로나19 #코로나 #코로나바이러스"|https://i.ytimg.com/vi/v9xTROMl_Yk/default.jpg|NULL|27|NULL|PT21M17S|false|14|0|0|0
kSpNKV4Z2Wo|2020-07-02T06:14:33Z|UCJ_3L5ElVq7fI0AAB91tfng|"[ENG] Post COVID-19: Platform City_The Way to Take Center Stage Beyond Overcoming the Crisis"|"The COVID-19 Pandemic: Korea’s Response and Challenges Ⅱ    === [Session 2-1] === "Post COVID-19: Platform City___The Way to Take Center Stage Beyond Overcoming the Crisis"  ◎ Lee, Kwang Jae ◎ ㅣMember of the National Assembly Republic of KoreaHead of Post-Corona Office, Committee on Overcoming COVID 19, Democratic Party of Korea  A platform for learning from the top experts on how to respond to today’s global human disaster!  Seoul National University National Strategy Committee  #COVID-19 #SNU #서울대학교 #SNU국가전략위원회 #서울대학교국가전략위원회 #COVID19포럼 #K-quarantine #korea-quarantine  #K-방역 #K방역  #한국 #방역 #covid-19 #covid19 #corona #COVID19 pandemic #pandemic #virus #southkorea #코로나팬데믹   #코로나19 #코로나 #코로나바이러스"|https://i.ytimg.com/vi/kSpNKV4Z2Wo/default.jpg|NULL|27|NULL|PT22M20S|false|13|0|0|0
