id|publishedAt|channelId|title|description|thumbnailUrl|tags|category|defaultLanguage|duration|caption|viewCount|likeCount|dislikeCount|commentCount
ZQN4WmC6U4c|2020-07-20T05:44:23Z|UCKJBCbIjSLLjtyG_aiSof1w|"주간브리핑 2020년 7월 넷째주"|"울산 중구청 2020년 7월 넷째주 주간브리핑"|https://i.ytimg.com/vi/ZQN4WmC6U4c/default.jpg|NULL|22|NULL|PT6M14S|false|5|0|0|0
xL7aw0cj4Hc|2020-07-13T05:24:00Z|UCKJBCbIjSLLjtyG_aiSof1w|"UBC모닝와이드, 박태완 중구청장에게 듣는다"|""|https://i.ytimg.com/vi/xL7aw0cj4Hc/default.jpg|NULL|22|NULL|PT3M29S|false|16|1|0|1
gUaL-KehSLk|2020-07-13T05:17:21Z|UCKJBCbIjSLLjtyG_aiSof1w|"주간브리핑 2020년 7월 셋째주"|"울산 중구청 2020년 7월 셋째주 주간브리핑"|https://i.ytimg.com/vi/gUaL-KehSLk/default.jpg|NULL|22|NULL|PT4M24S|false|19|3|0|1
SlZbovl6q6k|2020-07-13T01:44:22Z|UCKJBCbIjSLLjtyG_aiSof1w|"MBC 뉴스투데이, 구청장님 취임 2주년 녹화 계획"|""|https://i.ytimg.com/vi/SlZbovl6q6k/default.jpg|NULL|22|NULL|PT5M35S|false|61|1|0|0
z0XXlwfWIJo|2020-07-06T07:48:49Z|UCKJBCbIjSLLjtyG_aiSof1w|"주간브리핑 2020년 7월 둘째주"|"울산 중구청 2020년 7월 둘째주 주간브리핑"|https://i.ytimg.com/vi/z0XXlwfWIJo/default.jpg|NULL|22|NULL|PT5M5S|false|29|4|0|1
X4Zt4daJNNE|2020-06-29T04:43:19Z|UCKJBCbIjSLLjtyG_aiSof1w|"주간브리핑 2020년 7월 첫째주"|"울산 중구청 2020년 7월 첫째주 주간브리핑"|https://i.ytimg.com/vi/X4Zt4daJNNE/default.jpg|NULL|22|NULL|PT4M54S|false|29|2|0|1
r00saOrpQmQ|2020-06-22T07:20:18Z|UCKJBCbIjSLLjtyG_aiSof1w|"주간브리핑 2020년 6월 넷째주"|"울산 중구청 2020년 6월 넷째주 주간브리핑"|https://i.ytimg.com/vi/r00saOrpQmQ/default.jpg|NULL|22|NULL|PT5M32S|false|22|1|0|1
kjwv4rSsA4g|2020-06-15T09:13:47Z|UCKJBCbIjSLLjtyG_aiSof1w|"주간브리핑 2020년 6월 셋째주"|"울산 중구청 2020년 6월 셋째주 주간브리핑"|https://i.ytimg.com/vi/kjwv4rSsA4g/default.jpg|NULL|22|NULL|PT5M58S|false|17|1|0|1
pDPlPgI1B1U|2020-06-08T07:37:07Z|UCKJBCbIjSLLjtyG_aiSof1w|"주간브리핑 2020년 6월 둘째주"|"울산 중구청 2020년 6월 둘째주 주간브리핑"|https://i.ytimg.com/vi/pDPlPgI1B1U/default.jpg|NULL|22|NULL|PT5M3S|false|15|1|0|1
cDPu0-OXXkA|2020-06-01T04:43:58Z|UCKJBCbIjSLLjtyG_aiSof1w|"주간브리핑 2020년 6월 첫째주"|"울산 중구청 2020년 6월 첫째주 주간브리핑"|https://i.ytimg.com/vi/cDPu0-OXXkA/default.jpg|NULL|22|NULL|PT5M24S|false|20|2|0|0
qTXsPkba4R8|2020-05-25T06:18:35Z|UCKJBCbIjSLLjtyG_aiSof1w|"주간브리핑 2020년 5월 넷째주"|"울산 중구청 2020년 5월 넷째주 주간브리핑"|https://i.ytimg.com/vi/qTXsPkba4R8/default.jpg|NULL|22|NULL|PT4M40S|false|23|0|0|0
Jbu2LodNINs|2020-05-18T05:06:12Z|UCKJBCbIjSLLjtyG_aiSof1w|"주간브리핑 2020년 5월 셋째주"|"울산 중구청 2020년 5월 셋째주 주간브리핑"|https://i.ytimg.com/vi/Jbu2LodNINs/default.jpg|NULL|22|NULL|PT5M15S|false|46|2|0|0
p4UWgIrEM3A|2020-05-11T07:36:07Z|UCKJBCbIjSLLjtyG_aiSof1w|"주간브리핑 2020년 5월 둘째주"|"울산 중구청 2020년 5월 둘째주 주간브리핑"|https://i.ytimg.com/vi/p4UWgIrEM3A/default.jpg|NULL|22|NULL|PT4M54S|false|31|2|0|0
e7DUtgptDWA|2020-05-05T02:27:42Z|UCKJBCbIjSLLjtyG_aiSof1w|"주간브리핑 2020년 5월 첫째주"|"울산 중구청 2020년 5월 첫째주 주간브리핑"|https://i.ytimg.com/vi/e7DUtgptDWA/default.jpg|NULL|22|NULL|PT4M57S|false|18|2|0|0
OU47725Oqio|2020-04-27T04:52:31Z|UCKJBCbIjSLLjtyG_aiSof1w|"주간브리핑 2020년 4월 넷째주"|"울산 중구청 2020년 4월 넷째주 주간브리핑"|https://i.ytimg.com/vi/OU47725Oqio/default.jpg|NULL|22|NULL|PT4M50S|false|25|1|0|0
z3xs-r5iwsQ|2020-04-20T06:52:48Z|UCKJBCbIjSLLjtyG_aiSof1w|"주간브리핑 2020년 4월 셋째주"|"울산 중구청 2020년 4월 셋째주 주간브리핑"|https://i.ytimg.com/vi/z3xs-r5iwsQ/default.jpg|NULL|22|NULL|PT4M33S|false|10|0|0|0
1RAyFO9tnSw|2020-04-13T05:45:10Z|UCKJBCbIjSLLjtyG_aiSof1w|"주간브리핑 2020년 4월 둘째주"|"울산 중구청 2020년 4월 둘째주 주간브리핑"|https://i.ytimg.com/vi/1RAyFO9tnSw/default.jpg|NULL|22|NULL|PT5M|false|10|1|0|0
hRX_AV0ZiV0|2020-04-06T03:43:24Z|UCKJBCbIjSLLjtyG_aiSof1w|"주간브리핑 2020년 4월 첫째주"|"울산 중구청 2020년 4월 첫째주 주간브리핑"|https://i.ytimg.com/vi/hRX_AV0ZiV0/default.jpg|NULL|22|NULL|PT4M57S|false|20|0|0|0
KpQQm5fTXGo|2020-03-30T23:40:22Z|UCKJBCbIjSLLjtyG_aiSof1w|"주간브리핑 2020년 3월 다섯째주"|"울산 중구청 2020년 3월 다섯째주 주간브리핑"|https://i.ytimg.com/vi/KpQQm5fTXGo/default.jpg|NULL|22|NULL|PT5M22S|false|14|2|0|0
vVnAabFx2rk|2020-03-23T04:12:51Z|UCKJBCbIjSLLjtyG_aiSof1w|"주간브리핑 2020년 3월 넷째주"|"울산 중구청 2020년 3월 넷째주 주간브리핑"|https://i.ytimg.com/vi/vVnAabFx2rk/default.jpg|NULL|22|NULL|PT5M12S|false|12|0|0|0
WLgbhTW-q7k|2020-03-16T06:53:59Z|UCKJBCbIjSLLjtyG_aiSof1w|"주간브리핑 2020년 3월 셋째주"|"울산 중구청 2020년 3월 셋째주 주간브리핑"|https://i.ytimg.com/vi/WLgbhTW-q7k/default.jpg|NULL|22|NULL|PT4M46S|false|13|0|0|0
AI88Oc-k2lM|2020-03-09T08:28:26Z|UCKJBCbIjSLLjtyG_aiSof1w|"주간브리핑 2020년 3월 둘째주"|"울산 중구청 2020년 3월 둘째주 주간브리핑"|https://i.ytimg.com/vi/AI88Oc-k2lM/default.jpg|NULL|22|NULL|PT4M48S|false|36|0|0|0
xVfO30qytUs|2020-03-02T07:23:45Z|UCKJBCbIjSLLjtyG_aiSof1w|"주간브리핑 2020년 3월 첫째주"|"울산 중구청 2020년 3월 첫째주 주간브리핑"|https://i.ytimg.com/vi/xVfO30qytUs/default.jpg|NULL|22|NULL|PT4M44S|false|16|0|0|0
QoarzZDGv78|2020-02-24T07:50:28Z|UCKJBCbIjSLLjtyG_aiSof1w|"주간브리핑 2020년 2월 넷째주"|"울산 중구청 2020년 2월 넷째주 주간브리핑"|https://i.ytimg.com/vi/QoarzZDGv78/default.jpg|NULL|22|NULL|PT5M15S|false|16|0|0|0
