id|publishedAt|channelId|title|description|thumbnailUrl|tags|category|defaultLanguage|duration|caption|viewCount|likeCount|dislikeCount|commentCount
8z5KqSbVB8M|2020-07-16T01:31:40Z|UCKfDOknt5Ia7wjWCYbQwefQ|"※주의: 취업꿀팁 포함※ 차량직 신입사원이 알려주는 서교공의 모든 것!"|"※주의: 이 영상은 신입사원이 알려주는 취업꿀팁이 포함되어 있습니다※  차량직렬 신입사원이 알려주는  서울교통공사의 모.든.것.😲  취업성공후기부터, 공사의 장단점까지 필터없이 싹쓰리 공개!  영상이 마음에 드셨다면, 구독👍 좋아요💕 눌러주세요🥰  #서울교통공사  #신입사원  #채용 #새내기 #취업 #꿀팁 #합격#서울 #지하철 #서울지하철 #공기업"|https://i.ytimg.com/vi/8z5KqSbVB8M/default.jpg|NULL|2|ko|PT6M23S|false|1251|66|2|14
cXXbmNR4Ccc|2020-07-13T07:11:55Z|UCKfDOknt5Ia7wjWCYbQwefQ|"또타! 어디가?_차량사업소편_[차량정비 신입사원 브이로그]"|"서울지하철 2호선 정비 어떻게 하는지 궁금하셨나요?🤷‍♀️ 2019년 12월 입사한 신입사원이 직접! 알려드립니다😊  차량 정비 모습부터, 신정차량사업소 구내식당, 취업준비팁 까지 브이로그로 최.초.공.개!  영상이 마음에 드셨다면 구독💕 좋아요👍 눌러주세요  #서울교통공사 #신입사원 #브이로그 #2호선 #차량사업소 #공기업 #서울 #지하철 #서울지하철  #구내식당 #취업 #최초공개 #철덕 #취준생 #주목하세요"|https://i.ytimg.com/vi/cXXbmNR4Ccc/default.jpg|NULL|2|ko|PT13M8S|false|3046|154|4|17
AkvKktiJuKg|2020-07-06T02:22:54Z|UCKfDOknt5Ia7wjWCYbQwefQ|"당신이 내린 사이에 :  코로나19 극복·응원 콘텐츠 글로벌 공모전 수상작 [입선]"|"코로나19 극복·응원 콘텐츠 글로벌 공모전 [입선 ]수상작 입니다.  공사 직원이 개인적인 노력을 통해 받은 작품이라   더욱 뜻깊은 작품이 아닐까 싶습니다.  공사 직원들의 이러한 관심이 코로나19 극복의 밑거름이 되길 바라며..  #코로나19 #서울교통공사 #공모전 #수상작 #입선 #극복 #응원 #콘텐츠"|https://i.ytimg.com/vi/AkvKktiJuKg/default.jpg|NULL|2|ko|PT4M37S|false|680|36|1|13
eN0tfFwYa8Y|2020-06-18T00:12:48Z|UCKfDOknt5Ia7wjWCYbQwefQ|"브레드가 지하철을 못 탄 이유는? "지하철 에티켓_음식물 STOP!""|"지하철을 타려던 브레드(빵), 윌크(우유), 초코, 치즈! 그런데! 또타는 왜 지하철을 못 타게 했을까요?🙄  서로를 지키고 배려하는 지하철 에티켓! 먹던 음식물, 개봉된 음료수, 냄새나는 음식물을 들고는 지하철에 탈 수 없어요! 모두 지켜 주실꺼죠?😊  * 화질 조정을 위해 재 업로드 하였습니다.   #서울 #지하철 #서울지하철 #서울교통공사 #또타 #SeoulMetro #TTOTA #브레드이발소 #브레드 #윌크 #초코 #치즈 #에티켓 #약속 #음식물STOP!"|https://i.ytimg.com/vi/eN0tfFwYa8Y/default.jpg|NULL|2|ko|PT48S|false|4139|72|8|28
qccK97mojeY|2020-06-11T02:16:53Z|UCKfDOknt5Ia7wjWCYbQwefQ|"브레드 이발소와 함께 코로나19 싹쓰리!"|"끝날 듯 끝나지 않는 #코로나19 로 많이 지치고 힘드시죠? #브레드이발소와 함께 #코로나19 이겨내요!  #서울교통공사 #브레드이발소 #서울 #지하철 #서울지하철 #KOREA #SEOUL #SeoulMetro  #COVID19 #코로나19 #응원"|https://i.ytimg.com/vi/qccK97mojeY/default.jpg|NULL|2|ko|PT41S|false|4187|76|3|19
WhYsUTvLNVc|2020-06-09T00:49:33Z|UCKfDOknt5Ia7wjWCYbQwefQ|"또타 어디가?_ 충무로유실물센터편"|"또타 어디가? 두번째 이야기 '충무로유실물센터' 편입니다 한번쯤 이용해 보셨을 아님 앞으로 이용하게 될지도 모르는 유실물에 관한 이야기입니다 #또타어디가? #또타 #충무로유실물센터 #지하철 #서울교통공사 #seoulmetro #충무로역 #지하철3호선 #서울지하철"|https://i.ytimg.com/vi/WhYsUTvLNVc/default.jpg|NULL|2|ko|PT10M11S|false|2534|68|1|43
MoQ8ZvZcTjM|2020-05-20T05:46:22Z|UCKfDOknt5Ia7wjWCYbQwefQ|"［5분 다큐］다시, 하루 - 서울 지하철 24시간"|"당신이 몰랐던 시간 하지만 당신을 위한 시간   서울교통공사 그 하루.  #서울교통공사 #지하철   #KOREA #SEOUL #SeoulMetro #COVID19 #코로나19 #비켜 #착한 #마스크  #방역 #소독  #안내방송"|https://i.ytimg.com/vi/MoQ8ZvZcTjM/default.jpg|NULL|2|ko|PT4M59S|false|3286|192|3|23
_5737VNCZ28|2020-05-20T00:47:03Z|UCKfDOknt5Ia7wjWCYbQwefQ|"일상이 다시 꽃처럼 만발할 때까지"|"매일 아침 세상 가장 덤덤한 얼굴로 만나지만 변함없이 당신의 하루를 응원합니다.  새벽부터 늦은 밤까지 당신의 삶터를 오가는 익숙하고 편한 신발이 되길 원합니다.  우리 힘내요! 일상이 다시 꽃처럼 만발할 때까지 오늘도, 그리고 내일도 서울교통공사가 함께할께요  #힘내라대한민국#힘내세요#코로나19#서울교통공사"|https://i.ytimg.com/vi/_5737VNCZ28/default.jpg|"우리힘내요코로나19극복서울교통공사코로나19극복체험글로벌콘텐츠공모전"|2|ko|PT4M5S|false|1722|66|2|14
Y2jXDCz1wdw|2020-05-12T02:19:11Z|UCKfDOknt5Ia7wjWCYbQwefQ|"몰랑이와 함께 지키는 스마트폰 사용예절"|"열차내에서 큰소리로 통화하지 않기 스마트폰 보면서 걷지 않기 벨소리는 진동으로 우리모두 함께 지켜요~  #몰랑 #지하철 #예절 #서울교통공사"|https://i.ytimg.com/vi/Y2jXDCz1wdw/default.jpg|"몰랑스마트폰예절서울교통공사"|2|ko|PT38S|false|2054|72|5|13
zKqkfaUJcqg|2020-05-06T04:39:01Z|UCKfDOknt5Ia7wjWCYbQwefQ|"또타! 어디가?_지하철 최초전동차편"|"1974년 1호선 개통으로 시작된 서울지하철의 역사, 그 역사의 산증인 지하철 최초전동차를 소개합니다  #또타 #최초 #전동차 #지하철 #1호선 #서울교통공사"|https://i.ytimg.com/vi/zKqkfaUJcqg/default.jpg|"지하철최초전동차101편성서울교통공사신정차량사업소"|2|ko|PT13M7S|false|6000|213|8|67
