id|publishedAt|channelId|title|description|thumbnailUrl|tags|category|defaultLanguage|duration|caption|viewCount|likeCount|dislikeCount|commentCount
EAsgI7VoizU|2020-07-16T08:12:10Z|UCM_0SZaSF2KSxQZiYOIcCfg|"[⏯️KIE-Play] 원청-하청 간 거래관행이 '혁신'에 미치는 영향?!💡"|"자동차 한 대🚘에 들어가는 부품은 2만 여개!✨  이렇게, 수많은 부품들로 구성되는 자동차산업은 부품을 공급하는 '부품기업'과   그 부품을 조립하여 완성하는 '완성차기업', 이들 사이의 '원청-하청의 관계'로 이루어집니다.  완성차기업과 부품기업 사이의 거래는 '일회'성이거나, '장기적인 반복거래'이거나, 완성차기업이 부품기업을 '합병'하는 형태를 띱니다. 한국의 주력산업이자 혁신성장의 주축인 자동차산업에서  이러한 거래관행은 하청 부품기업의 혁신에 어떤 영향을 미칠까요?  🔎원청-하청 간 거래관행이 '혁신'에 미치는 영향?! ⏯️영상보고서로 시청하세요! ✔️00:44 독일 사례🏎️ ✔️01:50 미국 사례🚗 ✔️04:28 우리나라에게 주는 시사점😊 ✔️05:19 조동희 유럽팀장 인터뷰👨‍🎓  👉보다 자세한 내용이 궁금하시다면? 📝KIEP 연구보고서로 확인하세요! ⭕http:bitly.krNAS75Z13iD9 (원청-하청 간 거래관행이 혁신에 미치는 영향: 독일ㆍ미국의 자동차산업을 중심으로)   #KIEP #영상보고서 #대외경제정책연구원 #자동차산업에서 #원청-하청 #거래관행이 #혁신에 #미치는 #영향 #독일 #미국 #자동차산업 #중심으로 #연구보고서를 #영상으로 #편히 #감상하세요!"|https://i.ytimg.com/vi/EAsgI7VoizU/default.jpg|NULL|27|en|PT6M3S|false|139|12|0|0
nUOChjN0fSI|2020-07-10T08:12:23Z|UCM_0SZaSF2KSxQZiYOIcCfg|"[Vol.32]막힌 하늘길 속에 항공산업 체질 개선될까?  중남미 20개국, IMF 문 두드려"|"[Vol.32]막힌 하늘길 속에 항공산업 체질 개선될까? 유럽 항공사, 환경과 경제성에 눈길 돌려  중남미 20개국, IMF 문 두드렸다... 최악침체 속 금융지원으로 출구 찾아   KIEP는 "글로벌 이슈브리핑 코너"를 통해🌍  KIEP 연구진 자료📃를 토대로 글로벌 경제이슈를 전하고 있습니다.💡 금주 살펴볼 곳은 "유럽"과 "중남미" 입니다.😃  ✔️막힌 하늘길 속에 항공산업 체질 개선될까? 유럽 항공사, 환경과 경제성에 눈길 돌려(00:07~02:10) ✔️중남미 20개국, IMF 문 두드렸다... 최악침체 속 금융지원으로 출구 찾아(02:10~04:00) ✔️그 외 해외이슈(04:00~04:25)  ☑️유럽 막힌 하늘길 속에 항공산업 체질 개선될까?  유럽 항공사, 환경과 경제성에 눈길 돌려(00:07~02:10)  코로나19 이후 유럽에서 발표된 항공사 대상 지원은  약 300억 유로 규모로,  각 정부는 온실가스 배출 감소 목표 이행,  구조조정을 통한 경쟁력 확보 등을 조건으로  경영 참여를 강화하는 추세입니다.  유럽 각국의 항공산업 지원책은  단순한 유동성 공급이 아닌  산업 전반의 장기적인 구조 재편을 예고하고 있으며,  항공산업 전반에서 EU차원의 환경규제가 강화될 전망이므로 이에 대한 대비도 필요합니다.   ☑️중남미 중남미 20개국, IMF 문 두드렸다...  최악침체 속 금융지원으로 출구 찾아(02:10~04:00)  20개국 중남미 국가들이 IMF에 금융지원을 요청했습니다.  코로나19 대응에 필요한 재원을 마련하기 위해서입니다.  코로나19 대유행으로  중남미 국가의 공공부문 재정조달 여력은  더욱 악화되는 추세입니다.   중남미 정부들은 선진국보다는 제한적이나,  다양한 수단을 동원해 확장적 재정정책을 시행하며  출구를 찾고 있습니다.   그럼에도 불구하고 칠레, 멕시코 등  일부를 제외한 중남미 국가 대부분은  경기부양 수단으로 재정을 활용할 여력이 부족한 상황입니다.  📌자세한 내용은 영상을 통해 확인하세요!  #대외경제정책연구원 #KIEP #글로벌이슈브리핑 #유럽 #항공사 #지원 #코로나19 #환경 #경제성 #건드릴듯 #중남미 #20개국 #IMF #문두드려"|https://i.ytimg.com/vi/nUOChjN0fSI/default.jpg|NULL|27|en|PT4M33S|false|159|11|0|1
-85mJwkwybM|2020-06-26T16:32:47Z|UCM_0SZaSF2KSxQZiYOIcCfg|"[Vol.31]코끼리와 용의 어떤 싸움? 인도-중국 분쟁지역 유혈충돌!  EU 정상, 코로나19 기금 지원방식 정한다... EU 다년간지출예산 7월 합의 추진!"|"[Vol.31]코끼리와 용의 어떤 싸움? 인도-중국 분쟁지역 유혈충돌!  EU 정상, 코로나19 기금 지원방식 정한다... EU 다년간지출예산 7월 합의 추진!  KIEP는 "글로벌 이슈브리핑 코너"를 통해🌍  KIEP 연구진 자료📃를 토대로 글로벌 경제이슈를 전하고 있습니다.💡 금주 살펴볼 곳은 "인도-중국"과 "EU" 입니다.😃  ✔️코끼리와 용의 어떤 싸움? 인도-중국 분쟁지역 유혈충돌!(00:07~02:55) ✔️EU 정상, 코로나19 기금 지원방식 정한다... EU 다년간지출예산 7월 합의 추진!(02:58~04:45) ✔️그 외 해외이슈(04:46~05:07)  ☑️인도-중국 코끼리와 용의 어떤 싸움? 인도-중국 분쟁지역 유혈충돌!(00:07~02:55)  6월 15일, 인도와 중국이 국경을 맞댄 갈완계곡에서  양국 군인 간 유혈충돌이 발생해  인도군 20명이 사망하는 사태가 발생했습니다.  이번 분쟁의 중심지인 갈완계곡은  과거 지속적으로 접경지역 충돌이 있어왔는데요, 바로 갈완지역이  중국과 인도가 서로 영유권을 주장하는  악사이친 지역 들어가는 문고리이기 때문입니다.  양국 모두 코로나19 피해에 직면해있어 전면적인 군사충돌 가능성은 적을 것으로 전망되나,  인도 내 반중정서가 확대되면서  양국간 경제 및 정치, 외교적 갈등이  당분간 심화될것으로 예상됩니다.  ☑️EU EU 정상, 코로나19 기금 지원방식 정한다... EU 다년간지출예산 7월 합의 추진!(02:58~04:45)  EU 정상들이 7월에 모여,  다년간지출예산을 다시 협의합니다.   다년간지출예산은 EU의 행정부격인 EU 집행위가 1988년 도입해 운영하는 제도로,  EU 장기지출예산을 7년 단위의 중장기성으로 계획해 예산집행의 규모와 일관성을 담보하고 있습니다.  EU 집행위가 지난 5월 제안한 지출예산은  1조 8,500억원 유로 규모입니다.  여기에는 코로나19 피해대응을 위한  약 7,500유로 규모의 경제회복기금도 포함돼있는데요,  경제회복기금의 경우, EU회원국들이  '보조금'과 '대출'이라는 상이한 지원방식을 두고  이견을 보이고 있어 정치적 합의에 진통이 예상됩니다.  📌자세한 내용은 영상을 통해 확인하세요!  #대외경제정책연구원 #KIEP #글로벌이슈브리핑 #인도 #중국 #접경지역 #충돌 #갈완계곡 #악사이친 #양국모두에게 #전략적요충지? #EU #다년간지출예산 #7월에 #합의한다 #경제회복기금 #사용방식두고 #보조금이냐 #대출이냐 #회원국간 #이견갈려"|https://i.ytimg.com/vi/-85mJwkwybM/default.jpg|NULL|27|en|PT5M16S|false|356|17|0|5
lepVsrapVfU|2020-06-23T10:19:58Z|UCM_0SZaSF2KSxQZiYOIcCfg|"[⏯️KIE-Play] G2(미·중)무역전쟁에 "신보호무역주의"란 꼬리표가 붙은 이유는? 보호무역주의 vs 신보호무역주의?"|"🌐지난 2018년 이후 수년째  통상분쟁을 이어오고 있는 G2(미국, 중국).💵💴 이 두 국가 사이의 갈등엔   ‘신보호무역주의🔒’라는 꼬리표가 붙어있습니다.   최근의 G2 전쟁은 과거의 ‘보호무역주의’와 무엇이 다르기에  ‘신’ 보호무역주의’라는 말로 불릴까요?📊  ⏩KIEP가 준비한 "신보호무역주의"의 모든 것, 영상보고서로 확인하세요!👁️‍🗨️ 📝영상만으로 아쉽다면? 연구보고서 보러 오세요!  🔸http:bitly.kr7kVgdzpO1I  #KIEP #영상보고서 #대외경제정책연구원 #보호무역주의 #신보호무역주의 #무엇이 #같고 #무엇이 #다를까요 #우리에게는 #어떤영향이 #올까요 #연구보고서를 #영상으로 #편히 #감상하세요!"|https://i.ytimg.com/vi/lepVsrapVfU/default.jpg|NULL|27|en|PT3M42S|false|192|15|0|1
5ERQr1EbFW0|2020-06-18T15:18:39Z|UCM_0SZaSF2KSxQZiYOIcCfg|"[Web-seminar]2020년 한반도신경제포럼: Post-코로나 시대 한반도 정세와 남북협력의 대안적 모색(6.18 목 9:30~12:00)"|"⭐본 세미나는 홈페이지에서 행사자료를 다운받으실 수 있습니다⭐ 📝자료집 링크: http:bitly.krqDgv9g1pkV  위 링크 클릭, 게시글 첨부파일에서 확인하실 수 있습니다😄   대북 제재와 코로나19로 북한이 국경을 폐쇄하였고  동시에 미중 비핵화 협상, 남한이 제안하는 남북 교류협력도 모두 중단된 상황입니다.   KIEP는 민주평화통일자문회의(민주평통)과 함께,  6.15 공동선언 20주년과 6.25 한국전쟁 발발 70주년을 기념하여  전문가분들을 모시고 포럼을 개최해 현 국면을 타개하기 위한 방안을 모색하였습니다.  본 세미나는 6월 18일(목) 9시 30분 ~ 12시까지 (세션1: 한반도 정세평가와 남북 협력의 대안적 모색) 유튜브 생중계로 진행되었습니다.  바쁘신 분들은 아래에서 필요한 강연내용을 클릭하세요! ✔️행사시작 22:50 ✔️개회사(김흥종 KIEP 원장) 24:20 ✔️기조연설(정세현 민주평통 수석부의장) 31:53 ✔️본행사 시작 (사회: 이승환 민주평통 사무처장) 01:17:05  ✔️패널1(조성렬 국가안보전략연구원 자문연구위원) 01:19:25 ✔️패널2(양문수 북한대학교대학원 부총장) 01:33:00 ✔️패널3(엄주현 어린이의약품지원본부 사무처장) 01:41:20 ✔️Q&A패널 01:46:35"|https://i.ytimg.com/vi/5ERQr1EbFW0/default.jpg|NULL|27|NULL|PT2H48M36S|false|1050|86|0|4
9VvNZsbeHU8|2020-06-15T01:47:50Z|UCM_0SZaSF2KSxQZiYOIcCfg|"[Vol.30] G2의 신냉전 본격화? 트럼프, 대중국 전략보고서 발표!  정부 믿고 투자할까? 러시아, 투자촉진법 발표!"|"[Vol.30] G2의 신냉전 본격화? 트럼프, 대중국 전략보고서 발표!  정부 믿고 투자할까? 러시아, 투자촉진법 발표!  KIEP는 "글로벌 이슈브리핑 코너"를 통해🌍  KIEP 연구진 자료📃를 토대로 글로벌 경제이슈를 전하고 있습니다.💡 금주 살펴볼 곳은 "미국-중국"과 "러시아" 입니다.😃  ✔️미국-중국 G2의 신냉전 본격화? 트럼프, 대중국 전략보고서 발표!(00:07~01:50) ✔️러시아 정부 믿고 투자할까? 러시아, 투자촉진법 발표!(01:56~03:39) ✔️그 외 해외이슈(03:40~04:05)  ☑️미국-중국 G2의 신냉전 본격화? 트럼프, 대중국 전략보고서 발표  트럼프 행정부는 5월 20일, ‘중국에 대한 미국의 전략적 접근’ 보고서를 발표했습니다.  주요 내용은 중국이 경제, 안보, 가치관 등  전방위적인 차원에서 미국의 국익을 위협하고 있어,  우방국과 협력해 중국의 도전에 대응하겠다는 방침입니다.   보고서의 발표에 대해 중국 정부는  그동안 미국의 대중정책은  냉전적 사고와 이데올로기적 편견을 갖고  추진되었다고 비판했습니다.   향후 미중 갈등이 전방위적으로 확대될 것으로 예상되며,  특히 ’인도·태평양 지역‘ 내 우방국의  동참요구 가능성이 높아질 것으로 보입니다.  ☑️러시아 정부 믿고 투자할까? 러시아, 투자촉진법 발표!  4월 1일, 러시아에서 ‘투자 보호 및 촉진법’이 발효됐습니다.  해당 법안은 러시아 내 인프라, 혁신, 제조업, 농업 등  다양한 분야에서 투자를 촉진하기 위해 만들어진 법안입니다.  이번 투자촉진법은 푸틴 대통령의 GDP 대비 투자비중 확대 고민과 맞물려 진행됐으며, 러시아 정부는 새 투자법이  코로나19로 인한 경기둔화에도 불구하고  신규 사업에 대한 투자를 촉진시킬 것으로 기대하고 있습니다.  📌자세한 내용은 영상을 통해 확인하세요!  #대외경제정책연구원 #KIEP #글로벌이슈브리핑 #미국 #중국 #G2 #대중국전략보고서 #발표 #미국입장과 #중국입장은? #러시아 #투자촉진법 #발효 #투자촉진 #목표"|https://i.ytimg.com/vi/9VvNZsbeHU8/default.jpg|NULL|27|en|PT4M11S|false|245|13|0|2
Ol92pDs80hM|2020-06-10T09:36:40Z|UCM_0SZaSF2KSxQZiYOIcCfg|"[⏯️KIE-Play] 선진국의 '혁신'을 둘러싼 오해, 그리고 우리가 배워야 할 것들💡"|"‘혁신’.💡   1883년 오스트리아에서 태어난 경제학자,  👨‍🏫조지프 슘페터가 처음 정립한 이 개념은  21세기 오늘날 세계경제에서 가장 많이 회자되는 단어가 됐습니다.   이 ‘혁신’이라는 단어를 주도하는 건 물론 선진국입니다.🌐 이들을 통해 우리가 나아가야 할 ‘혁신 성장✨’의 지혜를 배우는 건  당연하고 필요한 일입니다.👍  그런데, 선진국의 ‘혁신’에도 몇 가지 오해가 존재합니다. 🙋❓ 그 오해가 무엇일까요?  그리고, 이 오해들을 통해 우리가 배워야 할 건 또 무엇일까요?   🔎선진국의 '혁신'을 둘러싼 오해, 그리고 우리가 배워야 할 것들!  ⏯️영상보고서로 시청하세요! ✔️00:45 미국 혁신성장 바로가기🗽 ✔️02:55 유럽 혁신성장 바로가기🏛 ✔️04:45 일본 혁신성장 바로가기🗾 ✔️06:15 김규판 일본팀 선임연구위원 인터뷰👨‍🎓  👉미국, 유럽, 일본의 혁신성장과 관련해 더 자세한 내용이 궁금하시다면? 📝KIEP 연구보고서로 확인하세요! ⭕https:bit.ly2AUl1bG  (주요국 혁신성장 정책편: 미국, 유럽, 일본을 중심으로) ⭕https:bit.ly2XT0M7n  (주요국 혁신성장 제도편: 미국, 유럽, 일본을 중심으로)   #KIEP #영상보고서 #대외경제정책연구원 #선진국 #혁신성장 #정책 #제도 #미국 #유럽 #일본 #혁신을 #둘러싼 #오해는? #우리가 #배울것은? #연구보고서를 #영상으로 #편히 #감상하세요!"|https://i.ytimg.com/vi/Ol92pDs80hM/default.jpg|NULL|27|en|PT7M21S|false|580|22|0|3
ujmrEaHjlKw|2020-06-05T01:41:11Z|UCM_0SZaSF2KSxQZiYOIcCfg|"KIEP 2020년 상반기 기자간담회 개최"|"대외경제정책연구원(KIEP)은 5월 12일(화), 정부세종청사 기획재정부 3층 브리핑실에서  기재부 출입기자들을 대상으로  ‘2020 상반기 기자간담회’를 개최하고 올해 세계경제 전망(업데이트)를 발표했습니다.  정부포탈 e-브리핑을 통해서도 온라인 생중계된  이번 간담회는 KIEP 연구진들이 참석하여  2020년도 세계경제 성장률을 비롯해   최근 코로나19 사태 등 글로벌 주요 현안에 대해 브리핑하고 언론 질의에 응답하는 자리였습니다.  ▶️자세한 내용은 영상을 통해 확인하세요!"|https://i.ytimg.com/vi/ujmrEaHjlKw/default.jpg|NULL|27|en|PT27M30S|false|210|11|0|2
Po0vxmp7aEc|2020-05-29T07:13:11Z|UCM_0SZaSF2KSxQZiYOIcCfg|"[Vol.29] 중국, 산업 빅데이터 규범화 초석··· 제조업 혁신까지 활용 목표?  일본, 국가안보 위해 외국인투자규제 강화? ‘의약품’ 핵심업종 추가한 이유는?"|"[Vol.29] 중국, 산업 빅데이터 규범화 초석··· 제조업 혁신까지 활용 목표?  일본, 국가안보 위해 외국인투자규제 강화? ‘의약품’ 핵심업종 추가한 이유는?  KIEP는 "글로벌 이슈브리핑 코너"를 통해🌍  KIEP 연구진 자료📃를 토대로 글로벌 경제이슈를 전하고 있습니다.💡 금주 살펴볼 곳은 "중국"과 "일본" 입니다.😃  ✔️중국, 산업 빅데이터 규범화 초석··· 제조업 혁신까지 활용 목표?(00:07~01:45) ✔️일본, 국가안보 위해 외국인투자규제 강화? ‘의약품’ 핵심업종 추가한 이유는?(01:47~03:10) ✔️그 외 해외이슈(03:14~03:40)  ☑️중국 산업 빅데이터 규범화 초석··· 제조업 혁신까지 활용 목표?  5월 13일, 중국 공업정보화부는  ‘산업 빅데이터 발전 지도의견’을 발표했습니다.  이번 발표는 ‘중국제조 2025’ 국가전략을 추진하기 위한 일환으로,  중국 정부는 해당 정책을 통해  중국 빅데이터를 체계적으로 수집·활용하는 생태계를 구축하고, 장기적으로는 이를 제조업 혁신에 활용하는 것까지  목표로 하고 있습니다.  ☑️일본 국가안보 위해 외국인투자규제 강화? ‘의약품’ 핵심업종 추가한 이유는?  일본은 국가안보와 관련된 기업에 대한  외국자본의 출자규제를 강화하는,  ‘외국환 및 외국무역법(외환법)’ 개정안을  6월 7일부터 전면 시행할 예정입니다.  일본 뿐 아니라, 코로나19를 계기로  유럽 등 선진국에서  자국 전략기업과 자산에 대한  외국인투자 사전심사 강화조치를 도입하는 추세입니다.  📌자세한 내용은 영상을 통해 확인하세요!  #대외경제정책연구원 #KIEP #글로벌이슈브리핑 #중국 #산업빅데이터 #규범화 #초석 #제조업혁신까지 #활용목표 #일본 #국가안보 #위해 #외국인투자규제 #강화 #의약품 #핵심업종 #추가"|https://i.ytimg.com/vi/Po0vxmp7aEc/default.jpg|NULL|27|en|PT3M45S|false|247|15|0|2
o5vnrSiyAF0|2020-05-18T02:34:57Z|UCM_0SZaSF2KSxQZiYOIcCfg|"😷KIEP 2020 세계경제전망  코로나19 팬데믹, 세계경제의 면역 시스템을 뒤흔들다🦠"|"🔍KIEP가 예측하는 2020년 세계경제 전망 업데이트,  ⏩8분 영상보고서로 확인하세요!  “인류의 모든 문제는 혼자서 방에  조용히 앉아있을 수 없다는 데에서 발생한다.”🤔    17세기 프랑스 철학자 ‘블레즈 파스칼’이  이 말을 한 지 300여년이 흐른 2020년,  전 세계는 ‘혼자서 방에 조용히 앉아있어야 하는 문제’로 골머리를 앓고 있습니다.💧  코로나바이러스감염증-19가  인간의 활동을 강제 격리시키면서,🧍↔️🧍 세계 경제의 면역 시스템 전체를  뒤흔들고 있기 때문입니다.  🌏미국·유럽·일본 등 주요국부터  중국·인도·아세안·러시아·브라질 등 신흥국까지, 코로나19의 영향으로 하향조정된  각 나라별 경제성장률 전망치를 영상으로 확인하세요.  환율, 금리, 유가전망 등  금융시장과 실물시장 예측내용도 담겨있습니다!📊  👀더욱 자세한 내용은 KIEP 연구보고서를 통해 확인하세요!📄👀 ✨http:bitly.krA96tZ0AvD  #KIEP #대외경제정책연구원 #2020년 #코로나바이러스감염증-19 #COVID19 #코로나19확산이 반영된 #세계경제전망 #주요국부터 #신흥국까지 #전세계 #경제전망 #영상보고서로 #확인하세요!"|https://i.ytimg.com/vi/o5vnrSiyAF0/default.jpg|NULL|27|en|PT8M16S|false|1851|29|1|3
