id|publishedAt|channelId|title|description|thumbnailUrl|tags|category|defaultLanguage|duration|caption|viewCount|likeCount|dislikeCount|commentCount
oE0tsGLyT1s|2020-07-15T09:50:27Z|UCOrpBi5ETj7EyDhoT7utAiw|"상어후드(Shark Hood) 적용한 터널 미기압파 저감 후드 기술"|"고속열차가 터널에 진입할 때  소음을 발생시키는 미기압파(micro pressure wave, sonic-boom)  폭발음, 환경소음, 강한 저주파 진동을 발생시킬 수 있어 문제였는데요.    터널 미기압파 저감 후드 기술은 이런 소음과 진동을 줄여주는 장치입니다.  상어 생체모사공학 '상어후드(shark hood)를  적용해 폭발음 저감 성능이 84%까지 가능합니다.  #고속철도 #미기압파 #상어후드"|https://i.ytimg.com/vi/oE0tsGLyT1s/default.jpg|"high speed railwayhigh speed railroadhigh speed railmicro pressure wavesonic boomhigh speed trainexplosive soundexplosive noisetunnel entrance hoodtunnel hoodtunnel portalhigh speed tunnelrail tunnelKRRIkorea railroad research instituteaerodynamicsnoisevibrationnoise and vibrationshark hood고속철도철도미기압파고속열차소닉 붐폭발음터널 입구 후드터널 갱문터널 갱구철도 터널터널철도기술연구원한국철도기술연구원철도연철기연철도 공기역학터널 공기역학공기역학소음진동상어 후드"|28|NULL|PT3M12S|false|24|10|0|0
lYbtbxCNqRI|2020-07-14T08:12:58Z|UCOrpBi5ETj7EyDhoT7utAiw|"[KAIA 서포터즈] 세계은행 중남미 16개국 대상 웹세미나 현장을 가다!"|"지난 6월 18일부터 이틀간 용산에서 '세계은행 중남미 16개국 대상 웹세미나'가 개최되었습니다.  웹세미나에서는 코로나-19 대응 자문과 도시·임대주택 정책에 대한 방안도   함께 논의 됐습니다.  중남미 국가에서는 유독  코로나-19 역학조사 지원시스템에  관심을 보였는데요.   최대 24시간이 걸렸던  코로나-19 역학조사 시간을 단 10분으로 단축할 수 있었던  K-방역의 비밀이 밝혀집니다!  KAIA 서포터즈가 취재한 웹세미나의 생생한 후기를 확인해보세요.    #코로나19역학조사시스템 #스마트시티 #KAIA"|https://i.ytimg.com/vi/lYbtbxCNqRI/default.jpg|NULL|28|NULL|PT7M2S|false|1872|13|0|2
tiQZFNc70kM|2020-07-03T05:46:15Z|UCOrpBi5ETj7EyDhoT7utAiw|"[KAIA 뉴스] 신한옥형 교육시설 상량식 현장에 가다!"|"지난 7월 1일 서울 정수초등학교에서 '신한옥형 교육시설 실증구축' 상량식이 열렸습니다.   신한옥형 교육시설은  독서교육과 특별교육에 사용할 수 있는 다목적 한옥교실로 운영될 예정이에요!  R&D 기술을 접목한 신한옥형 교육시설이  무엇인지 확인해보세요.   #한옥 #교육 #국토교통과학기술진흥원"|https://i.ytimg.com/vi/tiQZFNc70kM/default.jpg|"과학기술국토교통연구개발R&D한옥상량식신한옥교육학교"|28|NULL|PT2M59S|false|3566|13|0|6
JuGpXCgR_SI|2020-06-26T05:53:15Z|UCOrpBi5ETj7EyDhoT7utAiw|"[KAIA EDU 3회] PART2. 연구비 관리 및 사용"|"KAIA EDU 3회 PART2.   연구비를 관리하고 사용하는 방법에 대해  알아보겠습니다."|https://i.ytimg.com/vi/JuGpXCgR_SI/default.jpg|"KAIA국토교통과학기술진흥원국토교통연구비연구개발R&D"|28|NULL|PT31M59S|false|147|6|0|0
BVf83ejkXQM|2020-06-26T05:43:22Z|UCOrpBi5ETj7EyDhoT7utAiw|"[KAIA EDU 3회] PART1. 건설신기술 제도 소개, 신청서 작성 안내"|"KAIA EDU 3회 PART1.  건설신기술 제도가 무엇인지, 신청서 작성는 어떻게 하는지 알아보아요!  #KAIA #국토교통과학기술진흥원 #건설"|https://i.ytimg.com/vi/BVf83ejkXQM/default.jpg|"KAIA국토교통과학기술진흥원건설신기술교육"|28|NULL|PT36M31S|false|96|7|0|0
qN79HCfOh8w|2020-06-23T06:20:53Z|UCOrpBi5ETj7EyDhoT7utAiw|"유류비 부담을 덜어주는 저비용 디젤-전기 하이브리드 트럭 개조기술 개발!"|"5년이 되면 잔고장이 많이 나고 매연도 심해지는 디젤 택배 트럭.  트럭 교체에 대한 택배기사님들의  고충이 많은데요.   새로운 기술이 있다면 이런 고민들을 해결할 수 있다고 합니다.   연비효율은 높이고, 온실가스는 줄일 수 있는 택배차량용 디젤트럭의  하이브리드 개조 기술을 소개합니다.   #택배 #디젤 #하이브리드"|https://i.ytimg.com/vi/qN79HCfOh8w/default.jpg|"택배트럭하이브리드전기차디젤기술R&D연구개발"|28|NULL|PT4M40S|false|2734|19|0|15
hh7yvuGgu1g|2020-06-12T09:53:42Z|UCOrpBi5ETj7EyDhoT7utAiw|""미세먼지는 광촉매로 해결했다구!" - 광촉매 활용 미세먼지 저감기술"|"어느새 우리의 일상이 되어버린 미세먼지...  맑은 하늘을 되찾을 수 있는 방법은?  작은 기술의 차이 하나가 세상을 바꿉니다.  “저비용 광촉매를 활용한 미세먼지 저감 건설기술 개발"  광촉매 활용 건설기술로  미세먼지 원인물질을 제거하고  푸르고 깨끗한 도시를 만들겠습니다!  #미세먼지 #건설기술 #광촉매"|https://i.ytimg.com/vi/hh7yvuGgu1g/default.jpg|"국토교통KAIA국토교통과학기술진흥원미세먼지광촉매미세먼지저감건설기술연구개발R&D"|28|NULL|PT3M26S|false|2498|17|0|14
mtN7-5h_bUk|2020-06-05T07:10:31Z|UCOrpBi5ETj7EyDhoT7utAiw|"[제2기 KAIA 서포터즈] OT 현장에 가다! (Feat. 유현수 서포터즈)"|"국토교통과학기술진흥원 KAIA의 두 번째 서포터즈  제2기 KAIA 서포터즈가  드디어 본격적인 활동을 시작합니다.  시작하기에 앞서 진행된 오리엔테이션~  KAIA 서포터즈에 뽑힌 유현수 서포터즈의 영상으로 현장의 분위기를 담아보았어요!  서포터즈 교육을 비롯해  OT에 참여한 학생들과 나눈 인터뷰까지!  어떤 내용이 있었는지 만나보세요!  #KAIA #서포터즈 #Vlog"|https://i.ytimg.com/vi/mtN7-5h_bUk/default.jpg|"KAIA국토교통과학기술진흥원서포터즈대외화동인싸OT오리엔테이션국토교통과학연구개발건축건설교통"|28|NULL|PT5M55S|false|4257|14|0|15
o91Rsrku9Bk|2020-05-22T07:36:23Z|UCOrpBi5ETj7EyDhoT7utAiw|"한국형 자동 물류 로봇이 등장했다!"|"#물류 #자동화 #로봇  최근 급성장하고 있는 대량 다품종 물류 시장!   자동화 기술은 필수인데요.  한국형 자동 물류 로봇이 등장했다고 해요~  앞으로의 상용화가 기대되는 기술입니다!  . . . YTN 사이언스,  ‘황금나침판 기술자들 : 비접촉 생체 인증 시스템과 자동 물류 로봇’, 2020.05.16 방영  [YTN 사이언스 기사원문] https:science.ytn.co.krgoldencompassprogram_view.php?key=202005161303189223"|https://i.ytimg.com/vi/o91Rsrku9Bk/default.jpg|"R&D연구개발물류자동화자동물류시스템자동물류로봇로봇과학기술국토교통과학기술진흥원KAIA"|28|NULL|PT6M52S|false|1281|17|0|4
Ft9e1hepOq4|2020-05-13T05:26:47Z|UCOrpBi5ETj7EyDhoT7utAiw|"[국토교통 2050 미래기술]공상이 아니라 찐미래다!"|"찐! 미래 공상이 아니라 현실이 된다!  SF 영화에서 보거나  상상만 해왔던 미래기술이 진짜, '찐'이 되는 미래를 소개합니다!  00:52 MECA 혁명이 뭐지? 02:04 이제는 AI 시대 03:22 공간의 확장  국토교통 2050 미래기술를 기대해주세요!  #국토교통과학기술진흥원 #KAIA #미래기술  #MECA_혁명 #인공지능 #공간 #국토교통부"|https://i.ytimg.com/vi/Ft9e1hepOq4/default.jpg|"국토교통과학기술진흥원KAIA국토교통부국토교통미래기술찐미래MECA인공지능우주인프라공간"|28|NULL|PT4M49S|false|3189|31|0|5
