id|publishedAt|channelId|title|description|thumbnailUrl|tags|category|defaultLanguage|duration|caption|viewCount|likeCount|dislikeCount|commentCount
pOeoCwTG9L8|2020-07-08T07:01:40Z|UCShWZtIBep5wwGmxYhD15TQ|"2020년 7월 2째주 구정뉴스"|"[헤드라인] -  "금샘도서관" 건립공사 본격 추진  [포토뉴스]  - 금정구, 대우금사아파트 7월 1일 자로 해운대구로 일원화 - 「업사이클 전문인력 양성과정:잇츠 업(It's up) 프로젝트」 개강 - 금정구, 폭염예방물품 지원  [알림마당] - 대형폐기물 비대면 간편배출 서비스 시행 - 금정국민체육센터 단계적 운영 재개 - 금정구 정책 아이디어 공모  ▼금정구청 SNS를 구독하고 금정구의 소식을 빠르게 받아보세요!▼ 금정구 유튜브 : http:www.youtube.comcgeumjeonggu 금정구 페이스북 : https:www.facebook.comgeumjeonggu 금정구 인스타그램 : https:www.instagram.comsmile_geumjeong 금정구 블로그 : https:blog.naver.comgeumjeonggu 금정구 트위터 : https:twitter.comgeumjeonggu . . #금샘도서관 #복합문화공관 #랜드마크 #폭염예방물품지원 #금정구 #해운대구  #비대면_간편배출_서비스 #금정국민체육센터_단계적_운영 #금정구_정책_아이디어_공모 #업사이클_전문인력_양성과정  [음원] Audionautix의 News Theme 2은(는) Creative Commons Attribution 라이선스(https:creativecommons.orglicenses... 따라 라이선스가 부여됩니다."|https://i.ytimg.com/vi/pOeoCwTG9L8/default.jpg|"금정구도서관금샘도서관복합문화공간랜드마크폭염예방물품지원해운대구업사이클전문인력양성과정"|24|NULL|PT2M33S|false|161|7|0|0
xX7nK-EUdQ0|2020-07-07T13:54:30Z|UCShWZtIBep5wwGmxYhD15TQ|"휴식과 건강이 함께하는 곳, 금정구 스포원파크(SNS서포터즈 전미소님 이야기)"|"아이와 함께, 친구와 함께 여가시간을 보내기 좋은 스포원파크에 SNS 서포터즈가 다녀왔습니다! 휴식도 하고 건강도 챙길 수 있는 다양한 시설이 있다고 하는데요, 같이 보실까요?"|https://i.ytimg.com/vi/xX7nK-EUdQ0/default.jpg|NULL|24|NULL|PT2M34S|false|48|3|0|1
RJvNaj4eEXs|2020-07-03T05:10:09Z|UCShWZtIBep5wwGmxYhD15TQ|"오늘 금정구 여행은 (회동수원지)로 정했다. (@같이가쟈)"|"오늘 금정구 여행은 (회동수원지)로 정했다! . "회동수원지 여행 스팟4"에서 힐링하고 인생샷 찍어보자! #회동수원지, #생태탐방로, #땅뫼산_황토숲길 #포토존 . ★금정구 유튜브 구독 꾸욱! 해주세요★ . . ▼금정구청 SNS를 구독하고 금정구의 소식을 빠르게 받아보세요!▼ 금정구 유튜브 : http:www.youtube.comcgeumjeonggu 금정구 페이스북 : https:www.facebook.comgeumjeonggu 금정구 인스타그램 : https:www.instagram.comsmile_geumjeong 금정구 블로그 : https:blog.naver.comgeumjeonggu 금정구 트위터 : https:twitter.comgeumjeonggu"|https://i.ytimg.com/vi/RJvNaj4eEXs/default.jpg|"금정구회동수원지생태탐방로대숲길인생샷힐링명소부산관광부산관광여행Travel"|24|NULL|PT2M47S|false|38627|8|0|3
eLU7CKRU_Bk|2020-07-03T01:00:13Z|UCShWZtIBep5wwGmxYhD15TQ|"[영상으로 보는 금정소식] 2020년 7월의 금정"|"[영상으로 보는 금정소식 ] 2020년 7월의 금정  - 금정구가 운영하는 즐겁고 안전한 '다함께돌봄센터'  ▼E-Book으로 금정소식 보기▼ http:www.geumjeong.go.krebookmobilenews357index.html  ▼모바일로 금정소식 받아보기▼ 금정구청 공식 카카오플러스친구 플친 맺고 매월 모바일 소식지를 받아보세요! . . #다함께돌봄센터 #초등돌봄 #작은도서관 #소정아이꿈마당 #금샘아이꿈마당  ▼금정구청 SNS를 구독하고 금정구의 소식을 빠르게 받아보세요!▼ 금정구 유튜브 : http:www.youtube.comcgeumjeonggu 금정구 페이스북 : https:www.facebook.comgeumjeonggu 금정구 인스타그램 : https:www.instagram.comsmile_geumjeong 금정구 블로그 : https:blog.naver.comgeumjeonggu 금정구 트위터 : https:twitter.comgeumjeonggu"|https://i.ytimg.com/vi/eLU7CKRU_Bk/default.jpg|"다함께돌봄센터소정아이꿈마당금샘아이꿈마당작은도서관금정구초등돌봄"|24|NULL|PT2M11S|false|270|6|0|0
jq0z3-vq7Xw|2020-06-29T06:29:53Z|UCShWZtIBep5wwGmxYhD15TQ|"서동 책마을보드랑 작은도서관에 놀러오세요~(SNS서포터즈 김필종님 이야기)"|"글,영상 금정구 서포터즈 김필종 음원 : Make it happen(공유마당 무료음원김성원기증저작물자유이용)  서동 책마을보드랑을 영상으로 만나보고,  사서 선생님의 소개도 들어보세요~"|https://i.ytimg.com/vi/jq0z3-vq7Xw/default.jpg|NULL|24|NULL|PT2M15S|false|66|6|0|0
QnWT-RvGHaQ|2020-06-29T02:05:19Z|UCShWZtIBep5wwGmxYhD15TQ|"[영상으로 보는 금정소식] 2020년 3월의 금정"|"[영상으로 보는 금정소식 ] 2020년 6월의 금정  - "당신을 기억합니다"_금정구 내 3·1운동 유공비  ▼E-Book으로 금정소식 보기▼ http:www.geumjeong.go.krebookmobi...  ▼모바일로 금정소식 받아보기▼ 금정구청 공식 카카오플러스친구 플친 맺고 매월 모바일 소식지를 받아보세요! . . #작은도서관 #회동수원지_생태탐방로 #아르코공연연습센터  ▼금정구청 SNS를 구독하고 금정구의 소식을 빠르게 받아보세요!▼ 금정구 유튜브 : http:www.youtube.comcgeumjeonggu 금정구 페이스북 : https:www.facebook.comgeumjeonggu 금정구 인스타그램 : https:www.instagram.comsmile_geumj... 금정구 블로그 : https:blog.naver.comgeumjeonggu 금정구 트위터 : https:twitter.comgeumjeonggu"|https://i.ytimg.com/vi/QnWT-RvGHaQ/default.jpg|NULL|24|NULL|PT1M15S|false|30|5|0|0
YP0rX5kl_Bw|2020-06-25T06:05:24Z|UCShWZtIBep5wwGmxYhD15TQ|"생생문화재 금정산성 수호대 다녀왔어요(SNS서포터즈 김필종님 이야기)"|"글,영상 금정구 서포터즈 김필종 음원 : colors of life(공유마당 무료음원기증저작물자유이용)  금정구청에서 주최하고 문화재청에서 후원하는 "2020년 생생문화재 금정산성 수호대" 행사가 6월 13일 금정산성마을 일원에서 개최 되었습니다. 금정산성 서문에서는 해설사의 설명과 수문장 교대식을 관람하고, 허브랑 야생화에서는 천연 염색체험, 마지막으로 산성문화체험장에서는 술빵만들기 체험을 할 수 있었는데요. 코스별로 다채로웠던 행사 모습을 영상으로 함께 보시죠!"|https://i.ytimg.com/vi/YP0rX5kl_Bw/default.jpg|NULL|24|NULL|PT2M19S|false|53|5|0|0
JXza8xJljQ4|2020-06-24T01:15:02Z|UCShWZtIBep5wwGmxYhD15TQ|"2020년 6월 4째주 구정뉴스"|"[헤드라인] - 서동미로시장 공영주차장 준공 - 회동수원지 생태탐방로 새단장 - 금정구 선동 상현마을~기장경계간 도로 개통  [포토뉴스]  - 폭염대응 스마트 그늘막 설치 - 동 자율방역단 하절기 방역 활동 본격 전개 - ‘Exciting! 역사여행, 금정산성 수호대’ 함께 떠나요!  [알림마당] - 부산대학교와 함께하는 2020년 작은도서관 방과 후 독서돌봄 교실 아동 모집 - 주민세(재산분) 신고·납부 - 2021년 예산편성 관련 주민참여예산 주민제안사업 접수  ▼금정구청 SNS를 구독하고 금정구의 소식을 빠르게 받아보세요!▼ 금정구 유튜브 : http:www.youtube.comcgeumjeonggu 금정구 페이스북 : https:www.facebook.comgeumjeonggu 금정구 인스타그램 : https:www.instagram.comsmile_geumj... 금정구 블로그 : https:blog.naver.comgeumjeonggu 금정구 트위터 : https:twitter.comgeumjeonggu . . #서동미로시장 #공영주차장 #준공 #회동수원지 #생태탐방로 #새단장 #금정구 #도로개통 #폭염 #스마트_그늘막 #역사여행 #금정산성 #수호대 #알림  [음원] Audionautix의 News Theme 2은(는) Creative Commons Attribution 라이선스(https:creativecommons.orglicenses... 따라 라이선스가 부여됩니다."|https://i.ytimg.com/vi/JXza8xJljQ4/default.jpg|"서동미로시장회동수원지생태탐방로폭염대응방역"|24|en-US|PT3M17S|false|109|8|0|0
swjzaE-XD1o|2020-06-10T04:30:06Z|UCShWZtIBep5wwGmxYhD15TQ|"2020년 6월 2째주 구정뉴스"|"[헤드라인] - 아르코공연연습센터@금정 개관 - 다중이용시설 유관기관 합동 캠페인 전개  [포토뉴스 ] - 성폭력예방 교육단 개강식 - 마을공동체 역량강화사업 협약식  [알림마당] - 금정구 재난 긴급생활지원금 확대 지급(★내용수정)   ▶ ※ 2020. 5. 7. ∼ 8. 31. 기간 중 출생신고 아동   (단, 신청일까지 금정구에 주민등록을 두고 있어야 함)  - 2021 공동주택 주차장 설치 지원사업 신청 - 지.금.여.기 관광후기 6월 이벤트 - 2020 금정구 구석구석 스탬프투어 - 6월은 자동차세 납부의 달  ▼금정구청 SNS를 구독하고 금정구의 소식을 빠르게 받아보세요!▼ 금정구 유튜브 : http:www.youtube.comcgeumjeonggu 금정구 페이스북 : https:www.facebook.comgeumjeonggu 금정구 인스타그램 : https:www.instagram.comsmile_geumjeong 금정구 블로그 : https:blog.naver.comgeumjeonggu 금정구 트위터 : https:twitter.comgeumjeonggu . . #아르코공연연습센터 #공연예술연습공간 #금정문화재단 #아르코 #구정뉴스 #부산 #금정구 #다중이용시설_유관기관_합동_캠페인_전개 #pc방 #코인노래방 #노래연습장 #코로나19 #생활속거리두기  [음원] Audionautix의 News Theme 2은(는) Creative Commons Attribution 라이선스(https:creativecommons.orglicenses... 따라 라이선스가 부여됩니다."|https://i.ytimg.com/vi/swjzaE-XD1o/default.jpg|"금정문화재단아르코아르코공연연습센터공연예술연습공간pc방코인노래방노래연습장코로나19생활속거리두기금정구구정뉴스부산"|24|NULL|PT2M48S|false|172|9|0|1
RTOF_2wJtSA|2020-06-04T12:39:43Z|UCShWZtIBep5wwGmxYhD15TQ|"일상의 휴식 그리고 에너지, 범어사 등나무군락(SNS서포터즈 전미소님 이야기)"|"범어사 등나무군락지를 산책하고 일상의 휴식감과 에너지를 느껴보세요!  글,영상 금정구 서포터즈 전미소 제작어플 : 멸치앱, 키네마스터"|https://i.ytimg.com/vi/RTOF_2wJtSA/default.jpg|NULL|24|NULL|PT2M33S|false|86|8|0|0
