id|publishedAt|channelId|title|description|thumbnailUrl|tags|category|defaultLanguage|duration|caption|viewCount|likeCount|dislikeCount|commentCount
KbZM1lr4IcQ|2020-07-20T04:30:21Z|UCUdfvI1KzH1i-0gvhXzEHTA|"『CNUH NEWS』 세종충남대학교병원 7월 16일 개원 진료시작"|"[충남대학교병원]  세종특별자치시 최초 국립대병원인 세종충남대학교병원이 7월 16일 개원했습니다.  세종충남대학교병원은 신도시 도담동 일원에 지하 3층, 지상 11층에 연면적 8만3,258㎡ 규모로 건립되었으며, 218병상 규모로 개원해 내년 말 500병상으로 확대할 예정입니다. 또한 신종코로나바이러스 감염증 같은 감염병의 병원 내 차단에 중점을 두어 중환자실을 1인실로 구축하였고, 음압격리병실도 37개 확보해 유사시 42개의 음압병상을 가동할 수 있습니다.  10개의 특성화센터와 31개 진료과가 다학제 협진을 바탕으로 하루에 검사와 결과를 확인할 수 있는 ‘원데이 원스톱’ 진료를 운영하며, 응급의료센터는 소아와 성인을 구분해 모두 16명의 응급의학 전문의가 365일, 24시간 진료하며, 24시간 소아 응급진료는 대전과 세종지역에서 최초로 운영됩니다.  최첨단 방사선치료기 ‘뷰레이메르디안’는 자기공명영상과 방사선치료 시스템을 결합한 치료기로 MRI를 이용해 종양과 정상 장기의 위치를 파악하고, 이에 맞춰 치료 부위에만 정확하게 방사선을 조사하는 장비이며, 현재 아시아권 국가 중 5번째이며 한강 이남 지역에서는 최초로 도입했습니다."|https://i.ytimg.com/vi/KbZM1lr4IcQ/default.jpg|"충남대학교병원충남대병원세종충남대학교병원세종충남대병원세종충남대학교병원개원세종충남대병원개원7월16일세종시세종특별자치시세종개원병원개원국립대학교병원국립대병원"|29|ko|PT1M32S|false|38|2|0|0
yz5bEeAePcg|2020-07-20T02:14:12Z|UCUdfvI1KzH1i-0gvhXzEHTA|"[충남대학교병원] 2020년 7월 병원보[행복지기]"|"[충남대학교병원] 안녕하세요. 충남대학교병원입니다. 2020년 7월 병원보[행복지기]가 발행되었습니다. 행복지기를 보고 싶으신 분들은 아래 행복지기 웹진 주소를 클릭하시면 보다 편리하게 보실 수 있습니다. 그리고 한가지 더!! 충남대학교병원 홈페이지에 방문하시면 과거에 발행되거나 앞으로 발행이 되는 행복지기를 보실 수 있습니다. 많은 관심과 사랑 부탁드려용~ ^^  충남대학교병원 홈페이지 바로가기 ▶ https:www.cnuh.co.kr 병원보[행복지기] 웹진 바로가기 ▶ http:webzine.cnuh.co.kr202007"|https://i.ytimg.com/vi/yz5bEeAePcg/default.jpg|"충남대학교병원충남대병원세종충남대학교병원세종충남대병원병원보행복지기충남대학교병원개원48주년개원기념일개원기념병원보행복지기2020년7월7월2020년"|29|ko|PT35S|false|35|4|0|0
Fzh0wCGK1BM|2020-07-07T02:44:41Z|UCUdfvI1KzH1i-0gvhXzEHTA|"[충남대학교병원] 건강로드 - 조혈모세포이식"|"[충남대학교병원]  건강로드 여덟번째 조혈모세포이식입니다. 혈액종양내과 송익찬 교수님께서 직접 출연을 도와주셨는데요. 우리 모두 조혈모세포이식에 대해 알아보실까요? . . 충남대학교병원에서는 유튜브 채널을 이용하여 환자 및 고객들에게 건강정보 또는 병원소식 등 다양한 이야기들을  제공하고 있습니다."|https://i.ytimg.com/vi/Fzh0wCGK1BM/default.jpg|"충남대학교병원충남대병원충대병원조혈모세포조혈모세포이식골수이식혈액종양내과조혈모백혈병송익찬송익찬교수충남대학교병원송익찬충남대학교병원송익찬교수충남대병원송익찬충남대병원송익찬교수"|29|ko|PT5M26S|false|100|7|0|1
3EEngD1VNhs|2020-07-03T08:08:15Z|UCUdfvI1KzH1i-0gvhXzEHTA|"『충남대학교병원』 코로나19 #진심어린 #후원 #감사합니다"|"[충남대학교병원]  코로나19 사태로 인해 전국 각지에서 많은 구호물품들을 보내주셨습니다. 후원해 주신 분들에게 진심 어린 감사인사를 드립니다.  ★ 코로나19 후원 관련 문의 충남대학교병원 대외협력팀 042)280-8980~2"|https://i.ytimg.com/vi/3EEngD1VNhs/default.jpg|"충남대학교병원충남대병원대외협력팀후원기부나눔봉사코로나구호기증충남대학교병원대외협력팀충남대병원대외협력팀물품"|29|ko|PT2M51S|false|137|8|0|0
AKuP3MMH6t4|2020-07-02T05:14:55Z|UCUdfvI1KzH1i-0gvhXzEHTA|"『CNUH NEWS』 충남대학교병원 새로운 미션·비전 선포"|"[충남대학교병원]  충남대학교병원은 7월 1일 ‘개원 48주년 기념’을 맞이하여 새로운 미션·비전을 선포 했습니다.  새로운 미션·비전은 전 직원을 대상으로 가치체계 공모, 선호도조사 등을 통해, ‘우리는 사람중심의료와 생명존중의 정신으로 최고의 진료, 교육, 연구, 공공보건의료를 통하여 국민의 건강과 행복을 실현한[다’ 는 미션으로 지역의료를 넘어, 세계 의료의 역사를 쓰는 병원 이라는 슬로건 아래  ‘최상의 환자 중심 진료를 제공하는 국민병원’, ‘최고의 바이오 헬스케어 산업화를 선도하는 세계적 병원’, ‘최적의 공공의료를 선도하는 책임병원’을 만들고자 고객공감, 혁신, 융합, 조화와 협력, 전문성의 핵심가치를 선포했습니다.  이를 통하여 의료역량과 의료서비스의 전문성을 향상시키고 연구활성화와 산업화 등 기능별 지원을 강화하여 세계 최대 산업인 바이오헬스케어와 관련된 연구기관과의 연구협력 체계를 강화하여 병원이 중심이 되는 광역 바이오 클러스터 사업을 추진할 예정입니다."|https://i.ytimg.com/vi/AKuP3MMH6t4/default.jpg|"충남대학교병원충남대병원세종충남대학교병원세종충남대병원미션비전비전미션미션비전missionvision바이오헬스케어의료서비스광역바이오클러스터선포"|29|ko|PT1M17S|false|245|10|0|0
GQYimTE-3aY|2020-06-24T06:13:04Z|UCUdfvI1KzH1i-0gvhXzEHTA|"『CNUH NEWS』 6월28일 입원예정환자부터 코로나19 전수 검사 시행"|"[충남대학교병원]  충남대학교병원에서는 본관 전면 주차공간에서 입원예정환자 대상으로 입원 전일 병원을 방문해 코로나19 전수조사 시행합니다.   검사방식은 드라이브스루와 워킹스루 방식으로 오전 9시부터 오후 4시까지 시행합니다.   최근 대전·충청권에서 코로나19 확진자가 지속적으로 발생함에 따라 병원내 코로나19 확산방지와 감염 가능성을 차단하고자 시행하기로 하였습니다."|https://i.ytimg.com/vi/GQYimTE-3aY/default.jpg|"충남대학교병원충남대병원코로나19코로나COVID-19COVID19드라이브스루워킹스루전수조사CNUHCNUHNEWS"|29|ko|PT39S|false|272|6|0|0
7UAt31KrRuw|2020-06-24T04:34:27Z|UCUdfvI1KzH1i-0gvhXzEHTA|"[충남대학교병원] 장애인 연주단 제1회 연주회 Full ver."|"[충남대학교병원]  공연·예술이 중단된 코로나19 시대에 충남대학교병원 장애인연주단 하람이 불안한 시대 고립을 넘어 잔잔한 마음과 평안을 찾게하는 연주를 시작했습니다. 많은 관심과 사랑 부탁드립니다~^^"|https://i.ytimg.com/vi/7UAt31KrRuw/default.jpg|"충남대학교병원충남대병원장애인연주단장애인연주회클래식바이올린비올라클라리넷코로나19COVID19코로나공연예술"|29|ko|PT16M10S|false|154|8|0|1
WOXh7JsdWgU|2020-06-17T00:59:50Z|UCUdfvI1KzH1i-0gvhXzEHTA|"『CNUH NEWS』(내원객용) 코로나19 충남대학교병원 건물별 입구 위치 및 출입 절차 Ver. 2020.06.17."|"[충남대학교병원]  병원 출입 시 많은 불편을 초래하게 되었습니다. 환자, 보호자 및 의료인의 안전과 코로나19 확산 방지를 위해 적극적으로 협조와 양해 부탁드립니다. 아울러, 충남대학교병원 직원 여러분들께서는 출입 절차를 꼭 지켜주시기 바랍니다."|https://i.ytimg.com/vi/WOXh7JsdWgU/default.jpg|"충남대학교병원충남대병원코로나19출입안내충남대학교병원출입안내충남대병원출입안내출입절차COVID19"|29|ko|PT1M29S|false|9078|47|4|3
Md2TjtfBotE|2020-06-16T08:11:27Z|UCUdfvI1KzH1i-0gvhXzEHTA|"『CNUH NEWS』 충남대학교병원 장애인연주단 첫 연주회"|"[충남대학교병원]  공연·예술이 중단된 코로나19 시대에 충남대학교병원 장애인연주단이 불안한 시대 고립을 넘어 잔잔한 마음과평안을 찾게하는 연주를 시작했습니다. 짧은 시간의 공연은 비록 관객이 아닌 환자와 보호자들이지만 장애를 극복하고 많은 이들에게 아름다운 연주를 선사하므로 대한민국도 그들처럼 코로나19를 극복하기 바랍니다."|https://i.ytimg.com/vi/Md2TjtfBotE/default.jpg|"충남대학교병원충남대병원충대병원장애인연주단연주회관현악연주단비올라바이올린클라리넷장애인음악회"|29|ko|PT52S|false|292|12|0|1
gfR5YS9FY10|2020-06-16T05:45:12Z|UCUdfvI1KzH1i-0gvhXzEHTA|"[충남대학교병원] 2020년 6월 병원보[행복지기]"|"[충남대학교병원] 안녕하세요. 충남대학교병원입니다. 2020년 6월 병원보[행복지기]가 발행되었습니다. 행복지기를 보고 싶으신 분들은 아래 행복지기 웹진 주소를 클릭하시면 보다 편리하게 보실 수 있습니다. 그리고 한가지 더!! 충남대학교병원 홈페이지에 방문하시면 과거에 발행되거나 앞으로 발행이 되는 행복지기를 보실 수 있습니다. 많은 관심과 사랑 부탁드려용~ ^^  충남대학교병원 홈페이지 바로가기 ▶ https:www.cnuh.co.kr 병원보[행복지기] 웹진 바로가기 ▶ http:webzine.cnuh.co.kr202006"|https://i.ytimg.com/vi/gfR5YS9FY10/default.jpg|"충남대학교병원충남대병원충남대학교병원병원보충남대병원병원보행복지기2020년6월2020년6월병원보병원보행복지기"|29|ko|PT31S|false|88|4|0|0
