id|publishedAt|channelId|title|description|thumbnailUrl|tags|category|defaultLanguage|duration|caption|viewCount|likeCount|dislikeCount|commentCount
usjSxvlM2RA|2020-07-03T11:44:36Z|UC_5XN2j6hPH1AXcAtwipODg|"완도군 담화문"|"코로나19는 있어도 완도군에 확진자는 없다! 완도군 담화문입니다."|https://i.ytimg.com/vi/usjSxvlM2RA/default.jpg|NULL|19|ko|PT4M20S|false|920|31|0|1
QCQ6WNSXAqs|2020-06-25T07:57:43Z|UC_5XN2j6hPH1AXcAtwipODg|"완도 다시마 flex"|"최근 한 방송에서 백종원씨가 완도 다시마 소비촉진을 위해 라면회사, 다시마 칼국수등을 했었는데요 저희도 한번 따라해 봤습니다. 완도 다시마 많이 사랑해 주세요 참고로 출연자 주무관의 요구로 모자이크를 했습니다"|https://i.ytimg.com/vi/QCQ6WNSXAqs/default.jpg|NULL|19|ko|PT2M16S|false|108|10|1|2
aMxTA6MWqfA|2020-06-10T01:01:07Z|UC_5XN2j6hPH1AXcAtwipODg|"청산도 찾아가는 해양치유 프로그램"|"청정한 해양자원을 활용한 #해양치유 프로그램이 느림의 섬 #청산도 를 찾아 갔습니다!  청산도 주민들과 #청산중학교 전교생이 참여하여 #노르딕워킹 운동도 하고,  맛있는 #해양치유음식도 먹고 #힐링 하는 시간이었습니다.  6월 19일(금)에는 보길도를 찾아갑니다!"|https://i.ytimg.com/vi/aMxTA6MWqfA/default.jpg|"완도해양치유청산도힐링노르딕워킹"|19|ko|PT2M15S|false|367|17|1|0
2POw5156Si4|2020-06-03T07:46:13Z|UC_5XN2j6hPH1AXcAtwipODg|"완도군 해양치유 프로그램"|"완도군에서는 국내 유일 블루플래그 재인증 해수욕장에서 펼쳐지는 해양치유프로그램을  운영하고 있습니다. 바닷바람과 함께 힐링의 시간을 보내보세요"|https://i.ytimg.com/vi/2POw5156Si4/default.jpg|NULL|26|ko|PT1M35S|false|119|10|0|1
_f7kKleOl_o|2020-05-15T06:24:46Z|UC_5XN2j6hPH1AXcAtwipODg|"광어 맛있게 먹기 - 광어세비체 브루스케타"|"광어 회만 먹긴 식상하시죠? 세비체 브루스케타 한번 드셔보세요 #광어 #광어요리 #세비체 #JMT"|https://i.ytimg.com/vi/_f7kKleOl_o/default.jpg|NULL|26|ko|PT1M36S|false|88|4|0|0
2JrXkJpoZJo|2020-05-14T08:54:46Z|UC_5XN2j6hPH1AXcAtwipODg|"해양치유완도 #집콕운동 - 필라테스 3화 : 머메이드 동작"|"#해양치유 #완도 에서 알려드리는 #집콕운동 입니다. 지난 #필라테스 2화에 이어 3화를 준비했습니다. 이번 운동은 골반교정 및 옆구리 살빼기에 도움이 된다고 하니, 시간 날때마다 따라해 주시면 좋습니다. 해양치유완도에도 많은 관심 가져주세요!  ★공지사항★ 완도군에서 5월 15일부터 6월말까지 금·토요일에 걸쳐 해양치유 체험객을 모집하고 있습니다. 많은 참여 바랄게요!"|https://i.ytimg.com/vi/2JrXkJpoZJo/default.jpg|"완도해양치유집콕운동필라테스"|26|ko|PT3M30S|false|157|13|0|0
UwucGYCG5Hw|2020-02-21T08:08:06Z|UC_5XN2j6hPH1AXcAtwipODg|"완도 해양치유산업 홍보영상"|"청정바다 수도 완도의 해양치유산업입니다."|https://i.ytimg.com/vi/UwucGYCG5Hw/default.jpg|NULL|19|ko|PT3M48S|false|403|20|0|0
59WYlCCMIBE|2020-05-04T04:45:15Z|UC_5XN2j6hPH1AXcAtwipODg|"광어거탑 feat. 수산물 드라이브 스루"|"완도산 수산물을 간편하게 드라이브 스루로 만나보세요 완도 고금 휴게소와 경기도 북수원 아울렛에서 판매가 이루어집니다 고금휴게소 : 5. 1~ 5. 9  북수원아울렛 : 5. 9 ~ 5. 10"|https://i.ytimg.com/vi/59WYlCCMIBE/default.jpg|NULL|26|ko|PT1M32S|false|334|13|1|2
BbSEissoqZk|2020-05-04T02:26:01Z|UC_5XN2j6hPH1AXcAtwipODg|"해양치유완도 #집콕운동 - 필라테스 2화 : 스파인 트위스트 동작"|"#해양치유 #완도 에서 알려드리는 #집콕운동 입니다. 지난 #필라테스 1화에 이어 2화를 준비했습니다. 이번 운동은 골반과 허리 통증 완화에 도움이 된다고 하니, 시간 날때마다 따라해 주시면 좋습니다. 해양치유완도에도 많은 관심 가져주세요!"|https://i.ytimg.com/vi/BbSEissoqZk/default.jpg|"완도해양치유집콕운동필라테스스파인트위스트"|26|ko|PT4M16S|false|184|16|0|1
ZnLyQ6E6uew|2020-05-01T00:28:25Z|UC_5XN2j6hPH1AXcAtwipODg|"해양치유완도 #집콕운동 - 필라테스 1화 : 호흡법"|"#해양치유 완도에서 알려드리는 #집콕운동입니다. 완도군에서 미래 역점사업으로 추진중인 해양치유산업에 대해서 많은 관심가져 주시고,  집에만 있기 답답하실때 따라해 보시면 좋습니다."|https://i.ytimg.com/vi/ZnLyQ6E6uew/default.jpg|"완도해양치유집콕운동필라테스호흡법신지명사십리해수욕장"|26|ko|PT4M16S|false|645|31|0|1
fKXazbR-xjM|2020-04-23T07:49:15Z|UC_5XN2j6hPH1AXcAtwipODg|"힐링, 느림의 섬 청산도(ASMR)"|"코로나19로 인해 나들이 많이 못가셨죠?? 청산도 모습과 소리를 들어보며 힐링해 보세요"|https://i.ytimg.com/vi/fKXazbR-xjM/default.jpg|NULL|26|ko|PT1M56S|false|362|14|0|1
_xkPKGu2Ch8|2020-04-22T01:45:27Z|UC_5XN2j6hPH1AXcAtwipODg|"완도군 4차 담화문"|"코로나19 대응 완도군 담화문입니다."|https://i.ytimg.com/vi/_xkPKGu2Ch8/default.jpg|NULL|26|ko|PT5M24S|false|438|10|0|1
FnlzR08j1Nk|2020-04-07T02:31:11Z|UC_5XN2j6hPH1AXcAtwipODg|"[공무원 Vlog]#2 광어를 색다르게 먹어보자"|"먹고남은 광어회,  처리방법이 고민이신가요? 광어회를 색다르게 먹는 방법을 소개합니다."|https://i.ytimg.com/vi/FnlzR08j1Nk/default.jpg|"광어vlog광어요리광어세비체파스타jmt쿡방요리"|26|ko|PT4M35S|false|264|12|0|3
krSzMa_M1Mg|2020-04-07T02:17:38Z|UC_5XN2j6hPH1AXcAtwipODg|"완도 광어 드라이브 쓰루"|"완도에서는 광어회를 드라이브 스루형식으로 판매를 했습니다. 감칠맛이 풍부하고 탄력있는 광어회였습니다 완도 광어 많이 사랑해주세요"|https://i.ytimg.com/vi/krSzMa_M1Mg/default.jpg|"완도광어드라이브스루광어회"|19|ko|PT2M53S|false|522|14|0|1
iZBScJpnIus|2020-03-27T23:32:47Z|UC_5XN2j6hPH1AXcAtwipODg|"코로나19 담화문"|"완도군에서는 코로나19 극복을 위해 '고강도 사회적 거리두기'와  3월 28일, 29일, 4월 4일, 5일 청산도, 노화도, 보길도, 소안도 관광객 입도 통제를 하고 있습니다."|https://i.ytimg.com/vi/iZBScJpnIus/default.jpg|NULL|19|ko|PT6M1S|false|1118|10|2|0
uLGp2WvwXyI|2020-03-26T03:45:50Z|UC_5XN2j6hPH1AXcAtwipODg|"사회적 거리두기 캠페인"|"코로나 19 극복을 위해 군민, 국민 모두의 동참 부탁드립니다."|https://i.ytimg.com/vi/uLGp2WvwXyI/default.jpg|"완도군코로나코로나19사회적 거리두기"|19|ko|PT1M1S|false|127|7|0|0
7Czn3PcUAdw|2020-03-19T04:22:11Z|UC_5XN2j6hPH1AXcAtwipODg|"코로나 19 극복 완도군이 응원하겠습니다!"|"코로나19극복 완도군이 응원하겠습니다."|https://i.ytimg.com/vi/7Czn3PcUAdw/default.jpg|NULL|19|ko|PT3M6S|false|436|21|0|0
k8Emull0XeE|2020-03-17T06:37:37Z|UC_5XN2j6hPH1AXcAtwipODg|"코로나19 완도군 2차 담화문"|"코로나 19 완도군 2차 담화문입니다."|https://i.ytimg.com/vi/k8Emull0XeE/default.jpg|NULL|19|ko|PT5M14S|false|1387|27|0|0
