id|publishedAt|channelId|title|description|thumbnailUrl|tags|category|defaultLanguage|duration|caption|viewCount|likeCount|dislikeCount|commentCount
VQm6X4Z2m0Y|2020-07-20T04:29:17Z|UCe2uTc_-pSGDoZ8dmZlJHWw|"KIGAM 지질나들길"|"한국지질자원연구원 지질나들길"|https://i.ytimg.com/vi/VQm6X4Z2m0Y/default.jpg|NULL|28|ko|PT1M40S|false|1|0|0|0
PPpd2OaXFiM|2020-07-20T00:23:59Z|UCe2uTc_-pSGDoZ8dmZlJHWw|"01 1 산사태 모니터링시스템지리산"|"지리산(천왕봉)을 중심으로 설치된 KIGAM의 산사태 조기경보시스템 소개"|https://i.ytimg.com/vi/PPpd2OaXFiM/default.jpg|"산사태KIGAM산사태조기경보시스템지리산기상정보연동"|28|ko|PT2M20S|false|0|0|0|0
6lJvlVFJDk4|2020-04-23T01:07:33Z|UCe2uTc_-pSGDoZ8dmZlJHWw|"데이노케이루스의 복원(Part1-발견과 발굴)"|"2019년 말, 지질박물관에 전시된 데이노케이루스 골격 복원모형이 제작된 비하인드 스토리의 첫 편.  2009년 한-몽 국제 공룡탐사에서 어떻게 데이노케이루스가 발견되고 또 발굴되었을까?"|https://i.ytimg.com/vi/6lJvlVFJDk4/default.jpg|"데이노케이루스몽골고비사막공룡탐사복원DeinocheirusMongolGobiDinosaurExpeditionRestoration지질박물관Geological MuseumKIGAM"|28|ko|PT5M25S|false|126|8|0|0
JuiYDqh8plI|2020-04-20T04:15:45Z|UCe2uTc_-pSGDoZ8dmZlJHWw|"티라노사우루스와 에드몬토니아 조립 타임랩스"|"티라노사우루스와 에드몬토니아 뜯어만들기 조립과정 타임랩스"|https://i.ytimg.com/vi/JuiYDqh8plI/default.jpg|"티라노사우루스에드몬토니아공룡뜯어만들기지질박물관KIGAMT-rexEdmontonia3D퍼즐"|28|ko|PT2M|false|64|2|0|0
PS-kNJ_aAus|2020-04-20T04:06:36Z|UCe2uTc_-pSGDoZ8dmZlJHWw|"티라노사우루스와 에드몬토니아 뜯어만들기 조립과정"|"지질박물관에서 개발한 티라노사우루스와 에드몬토니아 공룡 뜯어만들기의 조립과정 설명 영상"|https://i.ytimg.com/vi/PS-kNJ_aAus/default.jpg|"티라노사우루스에드몬토니아지질박물관KIGAM뜯어만들기조립T-rexEdmontonia3D퍼즐"|28|ko|PT20M19S|false|71|4|0|0
1W1n0B8ykPo|2019-12-30T07:27:42Z|UCe2uTc_-pSGDoZ8dmZlJHWw|"2019년 한국지질자원연구원KIGAM 조직문화활동"|"Adieu 2019,  지난 1년 간의 한국지질자원연구원(KIGAM) 조직문화활동"|https://i.ytimg.com/vi/1W1n0B8ykPo/default.jpg|NULL|28|ko|PT1M41S|false|216|3|0|0
iUphPkTO2g8|2019-10-22T01:54:51Z|UCe2uTc_-pSGDoZ8dmZlJHWw|"미스터리 데이노케이루스 복원 성공"|"지질자원연구원(KIGAM), 미스터리 공룡 데이노케이루스 발굴 50년 만에 복원 성공!  ▶ 1970년 최초 발견 이후 데이노케이루스 전신 골격의 완벽한 복원 성공 ▶ 과학적 연구 자료와 비교해부학적 지식을 활용한 전신 골격의 디지털 복원과 데이노케이루스의 실체 입체모형 완성, 지질박물관에 전시  #데이노케이루스 #공룡 #무서운손 #화석 #오리주둥이 #낙타 #위석 #초식공룡 #잡식성공룡 #한국지질자원연구원 #KIGAM #지질박물관 #한국-몽공 #국제공룡탐사 #화석발굴 #화석복원 #전시모형"|https://i.ytimg.com/vi/iUphPkTO2g8/default.jpg|"Deinocheirus데이노케이루스데니캐시데이노케이루스 전신 골격 복원지질박물관한국지질자원연구원KIGAM미스터리공룡무서운 손"|28|ko|PT2M47S|false|1751|20|1|0
MY-zu2rA0B0|2019-10-11T01:25:47Z|UCe2uTc_-pSGDoZ8dmZlJHWw|"KIGAM다움 핵심가치"|"‘19년 3월부터 8월까지 전직원이 자발적으로 참여한 ‘세대가치 공감세미나’와 ‘더 좋은 키감 만들기 모임’ 등을 통해 ‘KIGAM다움 핵심가치’의 의견 반영과 선정 과정을 담아낸 영상입니다.  ‘KIGAM다움 핵심가치’는 전직원 의견을 수렴해 연구원의 존재이유와 목적을 담아 전문성ㆍ존중ㆍ소통 3개의 핵심가치와 행동약속 9개로 구성되어 있습니다."|https://i.ytimg.com/vi/MY-zu2rA0B0/default.jpg|"#KIGAM #한국지질자원연구원 #KIGAM다움 #핵심가치 #전문성 #존중 #소통 #조직문화 #조직문화혁신"|28|NULL|PT4M18S|false|261|2|0|0
a2qLjRvFuz8|2019-06-13T01:35:34Z|UCe2uTc_-pSGDoZ8dmZlJHWw|"3회 KIGAM 지구사랑 미술대회 스케치영상"|"제3회 KIGAM 지구사랑 미술대회 영상입니다. KIGAM의 대표적 사회공헌 프로그램으로 미래 지구과학자인 어린이들의 지구사랑과 환경보호의 인식 제고를 위해 정례적으로 개최하고 있습니다."|https://i.ytimg.com/vi/a2qLjRvFuz8/default.jpg|"지구의날4월22일지구사랑환경보호지질자원KIGAM플라스틱프리한국지질자원연구원홍보실"|28|NULL|PT8M29S|false|246|4|1|1
dTlhhg0DNkE|2019-04-22T06:35:30Z|UCe2uTc_-pSGDoZ8dmZlJHWw|"2019 독도 탐해3호 드론"|"2019년 4월 독도 드론 촬영"|https://i.ytimg.com/vi/dTlhhg0DNkE/default.jpg|NULL|28|NULL|PT2M59S|false|474|4|0|4
HI_W-R_daik|2019-02-26T07:15:33Z|UCe2uTc_-pSGDoZ8dmZlJHWw|"탈질 폐촉매 재활용 기술"|"발전소에서 연소로 발생되는 미세먼지의 주요 원인인 질소산화물(NOx)을 저감시킨 후 버려지는 탈질 폐촉매를  친환경 공정으로 재활용하고 고부가가치화하여 90%이상의 고순도의 자원(텅스텐, 타이타늄, 바나듐)으로 재생산 제품화 하는 기술입니다.  가격이 비교적 비싼 탈질촉매의 교체 주기가 짧아지는 효과로 미세먼지 저감에도 긍정적인 영향이 기대됩니다."|https://i.ytimg.com/vi/HI_W-R_daik/default.jpg|"탈질촉매미세먼지NOx질소산화물탈질폐촉매"|28|NULL|PT2M47S|false|308|2|0|0
y-FiSL1RueQ|2019-02-11T08:13:35Z|UCe2uTc_-pSGDoZ8dmZlJHWw|"2019 KIGAM PR VOD (English)"|"For the last 100 years, KIGAM has developed the value of land usages in Korea. KIGAM researches on Geology of the Korean Peninsula and finds new resources from the land and the ocean. KIGAM’s research dedicates to protect the people and guards the nation against natural geo-hazards. We provide solutions for globally concerned geological and environmental issues. Today, KIGAM dreams for the new Geoscience values."|https://i.ytimg.com/vi/y-FiSL1RueQ/default.jpg|"KIGAMGeologyMineralResourcesPetroleumMarineOilGasGashydrateGeoplatformGeo-ICTBigdataR&DDMRCO2CarbonizationTamhaeGroundwaterLandslideEarthquakeGeoanalysisGeoscienceCoalEnergyEarthGeoenvironment"|28|NULL|PT6M15S|false|252|2|0|0
uATP_w0-OF8|2019-02-11T08:03:41Z|UCe2uTc_-pSGDoZ8dmZlJHWw|"2019 KIGAM 홍보영상 (국문)"|"2019년도 한국지질자원연구원을 소개합니다."|https://i.ytimg.com/vi/uATP_w0-OF8/default.jpg|"한국지질자원연구원KIGAM국토지질광물자원석유해저지질환경지오플랫폼DMR북한광물기술사업화지질도지하수산사태Geo-ICT데이터센터지구과학지질박물관과학교육정부출연연연구원대전"|28|ko|PT6M15S|false|343|6|0|0
UicP_7l0BWM|2018-10-22T08:00:19Z|UCe2uTc_-pSGDoZ8dmZlJHWw|"매장량 및 경제성 평가 규정 교육영상"|"한국지질자원연구원 북방지질자원전략센터 https:mici.kigam.re.krPortal_335main.html"|https://i.ytimg.com/vi/UicP_7l0BWM/default.jpg|NULL|28|NULL|PT3M51S|false|57|0|0|0
VIZT1WpZtlA|2018-09-21T05:33:40Z|UCe2uTc_-pSGDoZ8dmZlJHWw|"한국지질자원연구원 지하자원평가"|"한국지질자원연구원에서는 산학과 함께 국제수준에 부합하는  매장량평가, 갱도설계, 경제성평가 기준을 마련하고 있습니다. 이제 우리도 지하자원개발에 있어서 국제수준의 평가 기준이 필요한 때 입니다."|https://i.ytimg.com/vi/VIZT1WpZtlA/default.jpg|"한국지질자원연구원매장량평가자원경제"|28|NULL|PT1M49S|false|113|1|0|0
rbacM3hX77Y|2018-09-18T07:22:41Z|UCe2uTc_-pSGDoZ8dmZlJHWw|"창립70주년 기원100년 기념 영상"|"Promotional Video of Centennial KIGAM"|https://i.ytimg.com/vi/rbacM3hX77Y/default.jpg|"Centennial KIGAM100th AnniversaryKIGAM한국지질자원연구원창립70주년 기원100년"|28|NULL|PT7M35S|false|149|0|0|0
mxVAE0g4InU|2018-08-20T06:16:42Z|UCe2uTc_-pSGDoZ8dmZlJHWw|"메디컬점토 의약품 제조 공정"|""|https://i.ytimg.com/vi/mxVAE0g4InU/default.jpg|"점토광물먹는광물메디컬점토포항지질자원실증연구센터지질신소재연구실의약품원료한국지질자원연구원 미래지향적 기술"|28|NULL|PT44S|false|437|1|0|0
PHyv-qcM_jc|2018-08-20T04:37:44Z|UCe2uTc_-pSGDoZ8dmZlJHWw|"먹는 광물?!! 포항 구룡포 제올라이트 광산"|"자원의 보고, 포항의 먹는 광물?!! 벤토나이느제올라이트, 포항 구룡포 제올라이트 광산"|https://i.ytimg.com/vi/PHyv-qcM_jc/default.jpg|"먹는 광물벤토나이트포항구룡포한국지질자원연구원포항지질자원실증연구센터지질신소재연구실의약품 원료"|28|NULL|PT7M1S|false|843|8|0|0
BFWbXQWd_I8|2018-03-19T08:19:46Z|UCe2uTc_-pSGDoZ8dmZlJHWw|"탐해3호 탐사선건조사업단"|"국내 최초 4차원물리탐사선 탐해3호 건조를 위해 노력하는 한국지질자원연구원 탐사선조사업단을 소개합니다."|https://i.ytimg.com/vi/BFWbXQWd_I8/default.jpg|"탐해3호탐사선건조단한국지질자원연구원"|28|NULL|PT4M34S|false|910|4|0|0
dNbYYLFFMrw|2018-02-26T05:24:16Z|UCe2uTc_-pSGDoZ8dmZlJHWw|"In situ PCC 카본머니시스템 동영상"|"In site PCC(복합탄산염) 기술의 결정체인 카본머니시스템 동영상"|https://i.ytimg.com/vi/dNbYYLFFMrw/default.jpg|"평창동계올림픽한국지질자원연구원카본머니시스템한국형 탄소광물화 기술과학기술정보통신부탄소자원화 국가전략프로젝트 탄소광물플래그십 사업"|28|NULL|PT2M16S|false|123|1|0|0
VvrOLPqJtTM|2018-02-26T01:29:00Z|UCe2uTc_-pSGDoZ8dmZlJHWw|"아사히TV  - 도쿄응원선언, 평창 동계올림픽 카본머니시스템 소개 180218"|"번역 자막 - 이번 주 마츠키씨와 시미즈씨가 평창에 취재 다녀왔습니다. - 안녕하세요 - 안녕하세요. 여기는 평창 스튜디오입니다. 지금 밖은 영하 11도로 여전히 춥습니다. 어제는 저도 피겨스케이팅을 보았습니다만 정말로 역사적인 순간 마음이 벅찼습니다. - 정말 감동했습니다. 그런데 마츠키씨가 없네요 - 사실은 마츠키씨가 이번 올림픽을 계기로 나라에서 준비했다고 하는 어떤 시스템을 소개하 겠습니다. - 네. 여기는 같은 건물의 한 장소 인데요 여기를 봐주세요. 그 획기적인 것이 이 기계입니다. 카본머니시스템이라는 것입니다. 세계의 미디어가 모이는 이곳에는 엄청난 양의 종이를 사 용하고 있는데요 그것을 재활용해서 돈으로 돌려받을 수 있는 것입니다. 이쪽을 봐주세요. 자신의 아이디를 사전에 입력하고 종이를 넣습니다. 그러면 화면에 이것으로 이산화탄소가 어느 정도 감소되는지 등이 나옵니다. 넣은 만큼 포인트로 합산됩니다. 현재 쌓인 포인트는 환경보호나 스포츠단체에 환원되지만 앞으로는 개인에게도 환원되어 현금으로 돌려받을 수 있을 것 같습니다. - 대단한 기계군요. 2020년 도쿄 올림픽에도 꼭 도입되었으면 좋겠네요."|https://i.ytimg.com/vi/VvrOLPqJtTM/default.jpg|"평창 동계올림픽카본머니시스템한국지질자원연구원탄소광물화기술"|28|NULL|PT2M6S|false|244|3|0|0
gjP-XjE12UQ|2018-01-23T02:10:21Z|UCe2uTc_-pSGDoZ8dmZlJHWw|"지질박물관 닥터G"|"전시 중심의 박물관에서 관람객과 상호작용을 할 수 있는 체험 중심의 박물관으로 변화하기 위해 지질박물관에서는  지질학 선생님 APP “닥터 G” 를 개발하였습니다. 비콘으로 만나는 공룡 스탬프 체험, 지질학 카드, 3D 공룡 홀로그램, 운석 트릭아트 존을 이용하여 관람객분들에게 지질과학에 대한 흥미와 관심을 이끌어 낼 수 있을 것이라 기대해 봅니다.    많은 관심 부탁드립니다♥  * 박물관을 관람하시기 전에 앱을 다운받아서 오시면 훨씬 편리하게 이용하실 수 있고, 공룡 스탬프 투어를 성공하시면 3D 홀로그램을 하실 수 있는 키트가 안내데스크에서 제공됩니다. 키트는 가족당 1개씩 제공됩니다."|https://i.ytimg.com/vi/gjP-XjE12UQ/default.jpg|NULL|28|NULL|PT2M59S|false|305|0|0|0
xmqmzC8jkIc|2018-01-17T09:14:01Z|UCe2uTc_-pSGDoZ8dmZlJHWw|"DMR융합연구단 홍보동영상"|"DMR(한반도 광물자원개발) 융합연구단은 이런 통일시대에 대비하여 자원, 인프라 융합기술을 확보하기 위해 출범하였습니다. 한국지질자원연구원, 재료연구소와 13개의 위탁기관, 5개의 참여기업의 협업으로 북한 광물 자원의 탐사, 부존량 평가, 활용기술 및 소재화 기술 개발을 통한 미래 핵심 광물자원의 안정적 공급체계 구축을 목표로 하고 있습니다.   연구단은 북한 광물자원 탐사 및 개발기술 확보를 위한 광물자원기술연구팀, 선광 및 제련공정 기술 개발을 위한 전략광물활용기술연구팀, 북한 비철금속 광물자원의 고부가가치화 소재화 기술 개발을 위한 금속소재기술연구팀 등 북한 광물자원 개발을 위한 맞춤형 핵심기술을 개발합니다.   기술 부족, 재원 부족, 열악한 인프라 등으로 제대로 개발되지 못한 북한의 광물 자원을 연구단이 보유하고 있는 첨단 장비와 맞춤형 기술개발로 대한민국을 자원빈국에서 자원기술강국이 되도록DMR연구단이 앞장서겠습니다."|https://i.ytimg.com/vi/xmqmzC8jkIc/default.jpg|"DMR융합연구단한반도 광물자원개발"|28|NULL|PT5M24S|false|232|3|0|0
hC1c5jk3KTI|2017-12-29T01:16:22Z|UCe2uTc_-pSGDoZ8dmZlJHWw|"KIGAM 새해인사"|"2017년 감사 및 2018년 새해 인사! 출연진: 원장님부원장님글로벌협력부장님기획조정부장님경영지원부장님"|https://i.ytimg.com/vi/hC1c5jk3KTI/default.jpg|"새해인사"|28|NULL|PT2M29S|false|414|0|0|0
8YZE9jbpMmA|2017-11-13T09:21:40Z|UCe2uTc_-pSGDoZ8dmZlJHWw|"KIGAM 혁신워크숍"|"2017.11.9 KIGAM 혁신워크숍, 변산 대명리조트"|https://i.ytimg.com/vi/8YZE9jbpMmA/default.jpg|"#전직원#혁신워크숍"|28|NULL|PT48S|false|122|0|0|0
QLgvDghlna0|2017-09-08T00:09:38Z|UCe2uTc_-pSGDoZ8dmZlJHWw|"KIGAM Geological Museum Infographics Video"|""|https://i.ytimg.com/vi/QLgvDghlna0/default.jpg|NULL|28|NULL|PT2M42S|false|208|3|0|1
1M0FBPcWsog|2017-09-04T02:25:17Z|UCe2uTc_-pSGDoZ8dmZlJHWw|"KIGAM 지질박물관 인포그래픽스 영상(국문)"|""|https://i.ytimg.com/vi/1M0FBPcWsog/default.jpg|NULL|28|NULL|PT2M42S|false|1794|2|0|0
