id|publishedAt|channelId|title|description|thumbnailUrl|tags|category|defaultLanguage|duration|caption|viewCount|likeCount|dislikeCount|commentCount
7g4xCpFbXes|2020-07-17T02:45:00Z|UCh5Omyx2PP57p12BAZHUvfQ|"[창업맛집 신보👩‍🍳] 스타트업 네스트"|"창업이 비싸고 어렵다, 생각하시는 분들! 창업이 처음이신 분들! 걱정마세요, 신보가 함께 합니다😁 - 창업맛집 #1. 스타트업 네스트: 유망 창업기업이 본격적인 성장궤도로 진입할 때까지 4단계 지원체계를 통한 맞춤형 패키지 지원을 제공하는 융·복합 지원 플랫폼  #신보 #신용보증기금 #스타트업네스트 #Startup #창업지원 #스타트업지원 #창업 #스타트업 #투자 #컨설팅 #예비창업자"|https://i.ytimg.com/vi/7g4xCpFbXes/default.jpg|NULL|25|NULL|PT1M26S|false|31|7|0|0
T5zulPFT1m8|2020-07-10T02:06:58Z|UCh5Omyx2PP57p12BAZHUvfQ|"[신보사이다] 소상공인 2차 금융지원 프로그램(위탁보증)"|"안녕하세요, 신용보증기금입니다! ⠀ 막힌 속을 뚫어주는 [신보 사이다] ⠀ 소상공인 1차 프로그램을 놓치셨다고요? 걱정하지 마세요! 소상공인 2차 금융지원 프로그램(위탁보증)이 있습니다! ⠀ 코로나19로 인한 유례없던 경제 위기! 조속한 경영안정을 위해 신용보증기금이 함께 합니다. 자세한 내용은 홈페이지를 통해 확인해주세요.  [신보EVENT]에 참여해주세요! 7월 청렴퀴즈:  https:blog.naver.comhopekodit222025905892 신보콜센타:https:blog.naver.comhopekodit222016910798  #신용보증기금 #신보 #신보사이다 #금융지원프로그램 #위탁보증 #소상공인지원 #소상공인"|https://i.ytimg.com/vi/T5zulPFT1m8/default.jpg|NULL|25|NULL|PT40S|false|83|7|0|0
hhSdKeDH7Qs|2020-07-09T06:31:13Z|UCh5Omyx2PP57p12BAZHUvfQ|"[신용보증기금] 7월 이벤트, 청렴퀴즈!"|"안녕하세요, 신보입니다! 😉 7월 이벤트로 돌아온 청렴퀴즈 풀기!  이벤트 참여하고 시원한 아이스크림 받아가세요! 👇 하단 링크를 통해 참여 부탁드립니다! 👇 https:blog.naver.comhopekodit222025905892  많은 참여와 홍보 부탁드립니다 :-)  #신용보증기금 #신보 #신보이벤트 #7월이벤트 #이벤트 #기프티콘"|https://i.ytimg.com/vi/hhSdKeDH7Qs/default.jpg|NULL|25|NULL|PT28S|false|267|31|0|18
ku6Nyk1hFh0|2020-07-03T06:40:06Z|UCh5Omyx2PP57p12BAZHUvfQ|"[신용보증기금] 편리하고 안전한 우리의 인프라"|"안녕하세요, 신보입니다!  도로, 철도, 교량, 항만, 체육, 문화관광, 환경 그리고 교육까지 없어서는 안 될 사회기반시설을 산업기반신용보증이 책임지고 있다는 사실! 알고 계신가요?  사회기반시설에 대한 민간투자법에 따라 국내 유일의 민자사업 보증기관 산업기반신용보증기금이 지원하는 산업기반신용보증을 소개합니다."|https://i.ytimg.com/vi/ku6Nyk1hFh0/default.jpg|NULL|25|NULL|PT2M22S|false|159|6|0|0
IatQK9g4wqw|2020-07-03T05:02:32Z|UCh5Omyx2PP57p12BAZHUvfQ|"[신용보증기금] '제55회 발명의날' 기념식 유공 대통령표창 수상!"|"안녕하세요, 신용보증기금입니다!😊  2020년 6월 24일 개최된 '제55회 발명의날' 기념식에서 신보가 지식재산 금융활성화 공로를 인정받아 [발명장려유공 단체부문 대통령 표창]을 수상했습니다.🎉  앞으로도 지식재산 금융 활성화에 적극적으로 기여하고, 나아가 유망기술기업에 대한 금융지원을 통해 국가산업 발전에 선도적 역할을 계속해 나가겠습니다.  자세한 내용은 신용보증기금 홈페이지에서 확인 부탁드립니다. 👉 https:www.kodit.co.krindex.jsp"|https://i.ytimg.com/vi/IatQK9g4wqw/default.jpg|NULL|25|NULL|PT31S|false|64|2|1|1
h8ErBvA1ACs|2020-06-26T04:51:02Z|UCh5Omyx2PP57p12BAZHUvfQ|"[신용보증기금] 슬기로운 신보생활 6월"|"월간 신보 6월호가 슬기로운 신보생활로 돌아왔습니다.  신용보증기금의 6월의 소식을 모아서 전해드려요!  1. 창립 44주년 기념식 개최 2. 국내 최초 상거래 신용지수 개발 3. 코로나19 위기극복 성금 기부 4. 유럽상호보증기관연합과 공동 웨비나 개최 5. 7월, 8월 1.6조 원 이상 유동화증권 발행 6. 신보, 서울시와 매출채권보험 업무협약 체결  앞으로 슬기로운 신보생활 많은 기대 부탁드립니다!!"|https://i.ytimg.com/vi/h8ErBvA1ACs/default.jpg|NULL|25|NULL|PT1M23S|false|111|3|1|0
methuIcwfoA|2020-06-25T06:56:33Z|UCh5Omyx2PP57p12BAZHUvfQ|"신용보증기금, 유럽상호보증기관연합과 공동 웨비나 개최"|"신용보증기금은 유럽 30개국 48개 보증기관의 연합체인 유럽상호보증기관연합(AECM)과 함께 '디지털 변화 시대를 맞이하는 한국의 현식금융 사례'를 주제로 공동 웨비나를 개최했습니다."|https://i.ytimg.com/vi/methuIcwfoA/default.jpg|NULL|25|NULL|PT30S|false|42|0|0|0
2VUOPiwRWvw|2020-06-22T08:56:20Z|UCh5Omyx2PP57p12BAZHUvfQ|"신용보증기금 청렴퀴즈풀기, 6월 이벤트!"|"안녕하세요, 신용보증기금입니다. 새로운 이벤트로 찾아왔습니다.😁  이벤트 참여하고 시원한 스타벅스 커피 받아가세요~  하단의 링크를 통해 참여하실 수 있습니다.👇 https:blog.naver.comhopekodit222008888304  우리모두 신보와 친해져요~  #신보 #신용보증기금 #이벤트 #스타벅스 #기프티콘 #6월이벤트"|https://i.ytimg.com/vi/2VUOPiwRWvw/default.jpg|NULL|25|NULL|PT28S|false|270|42|0|12
LlNR8ZBYHdc|2020-06-15T06:29:23Z|UCh5Omyx2PP57p12BAZHUvfQ|"코로나19 피해극복을 위한 '민생·금융안정 패키지 프로그램&기간산업안정기금 홍보영상"|""|https://i.ytimg.com/vi/LlNR8ZBYHdc/default.jpg|NULL|25|NULL|PT21S|false|52|2|0|0
cdyFUCZPJNk|2020-06-15T05:24:03Z|UCh5Omyx2PP57p12BAZHUvfQ|"여성가족부 디지털성범죄 근절 안전캠페인"|"​디지털 성착취 범죄에서 우리는 무엇을 보았습니까?  우리가 바뀌지 않으면 아무것도 바뀌지 않습니다. ​ 그래서 우리는 해야 합니다.  ​ 보지 않겠습니다. 디지털 성범죄영상, 보는 것도 범죄입니다. ​ 신고하겠습니다. 방관하면 결국, 피해자는 우리입니다.  잊지 않겠습니다. 대한민국 국민 모두는 안전할 권리가 있습니다. ​  안전이 일상이 되는 내일에 누구도 소외되지 않도록 지금 안전할 권리 캠페인에 함께해주세요.  #디지털성범죄 #근절캠페인 #안전 #신용보증기금 #여성가족부 #함께해요"|https://i.ytimg.com/vi/cdyFUCZPJNk/default.jpg|NULL|25|NULL|PT21S|false|33|1|0|0
