id|publishedAt|channelId|title|description|thumbnailUrl|tags|category|defaultLanguage|duration|caption|viewCount|likeCount|dislikeCount|commentCount
OChj6J-W5Y0|2020-07-17T04:15:01Z|UCosgR0a4guwZ_BwiV-c5U8w|"아이랑 함께 곰 먹이주러 갑니다 _베어트리파크"|"사진찍을 곳도 많고 산책로도 잘 되어있고 곰 뿐만 아니라  동물, 식물들도 많이 있어서  아이랑 함께 가기 좋은  세종시 베어트리파크입니다 :)  주말나들이 어떠세요~?   * 세종시 베어트리파크 - 세종 전동면 신송로 217 http:naver.mexPw5BoCv   📢BGM ✔️Track - PerituneMaterial - Positive Happy ✔️Soundcloud - https:soundcloud.comsei_peridot ✔️나눔뮤직 - https:tv.naver.comv11875627  ✔️Track - Carefree - Kevin MacLeod ✔️Soundcloud - https:soundcloud.comkevin-9-1 ✔️나눔뮤직 - https:tv.naver.comv9521605  #베어트리파크 #아이랑함께 #세종주말여행 #곰 #곰먹이주기 #동물원 #세종시동물원 #세종동물원 #세종여행 #주말나들이 #세종시주말 #주말여행 #아이랑 #식물원   ✔︎ 제2기 시민VJ 서승현 기자"|https://i.ytimg.com/vi/OChj6J-W5Y0/default.jpg|"세종시세종세종특별자치시세종볼거리대한민국세종sejong세종주말나들이세종시주말세종시여행세종시아이랑함께아이랑함께사진찍기좋은곳세종여행베어트리파크세종시동물원식물원주말나들이곰먹이주기먹이달라고손드는곰주말세종시주말여행"|22|NULL|PT4M57S|false|94|6|0|4
Jhhu50cQSZw|2020-07-15T09:36:54Z|UCosgR0a4guwZ_BwiV-c5U8w|"비 내리는 연꽃공원 ASMR  빗소리  비오는소리  백색소음"|"연꽃은 대부분  새벽 혹은 아침에 피고  오후에는 꽃잎을 다무는 꽃들이여서   활짝 피어있는 연꽃을 보기위해서는  아침 일찍 가시는 것이 꿀 팁!   7-8월에 예쁘게 피는  연꽃은 지금이 절정이니,  세종 조천연꽃공원 구경오세요~!    * 조천연꽃공원 http:naver.meFMxju7zi 세종특별자치시 조치원읍 번암리 39-6   #연꽃은아침에활짝핀대요 #나만몰랐음 #지금이절정꼭보러가세요  #조치원연꽃 #연꽃공원 #조치원 #연꽃  #비오는소리 #빗소리 #ASMR #빗소리ASMR #백색소음 #집중력높이는소리 #잠잘오는소리 #마음이편안해지는소리 #공부할때듣기좋은소리  #수면유도 #숙면ASMR #비오는연꽃공원 #연꽃피는시기 #조천연꽃공원"|https://i.ytimg.com/vi/Jhhu50cQSZw/default.jpg|"세종시세종세종특별자치시세종볼거리대한민국세종sejong조천연꽃공원연꽃공원세종시연꽃조치원연꽃공원조치원연꽃조천변산책세종연꽃빗소리비오는소리빗소리AMSRASMR백색소음백색소음asmr수면유도숙면asmr공부할때듣는asmr집중도높이는asmr마음이편안해지는소리비오는연꽃공원잠잘오는소리수면유도asmr세종시핫플언택트관광지100선언택트관광지언택트언택트관광언택트힐링여행"|25|NULL|PT13M19S|false|284|11|1|3
bmL1-Jz-igI|2020-07-15T09:01:55Z|UCosgR0a4guwZ_BwiV-c5U8w|"세종특별자치시 학교운영위원연합회 간담회"|"세종특별자치시 학교운영위원연합회 간담회"|https://i.ytimg.com/vi/bmL1-Jz-igI/default.jpg|NULL|22|en-US|PT2H4M16S|false|274|7|0|0
R_spgY3w7dk|2020-07-15T01:12:51Z|UCosgR0a4guwZ_BwiV-c5U8w|"직능사회단체와의 간담회 지방분권 세종회의"|""|https://i.ytimg.com/vi/R_spgY3w7dk/default.jpg|"세종세종시세종회의회의지방분권간담회"|22|en-US|PT1H38M34S|false|113|5|0|0
Bov_F5s5w6Q|2020-07-14T08:16:58Z|UCosgR0a4guwZ_BwiV-c5U8w|"국회세종의사당 건립을 위한 정책 토론회"|""|https://i.ytimg.com/vi/Bov_F5s5w6Q/default.jpg|NULL|25|en-US|PT2H9M30S|false|531|14|0|0
n53k52OIi6E|2020-07-14T01:02:35Z|UCosgR0a4guwZ_BwiV-c5U8w|"커피찌꺼기(?)로 부엉이 만들기_ 커피공예체험"|"세종전통시장의 골목 한편에 조치원 테마거리가 있는데요  조치원 테마거리는 지역주민들과 청년들이 만든 문화예술 공간입니다 :)   특히 ‘마실토리공방’에서는  커피찌거기를 활용한 커피공예체험이 가능한데요~  아기자기한 소품부터 동물캐릭터, 화분까지,  만들 수 있다고 하니   세종전통시장에 오시면 조치원 테마거리도 구경하고  공예체험도 해보시면 좋을 것 같습니다   * 조치원 테마거리  세종특별자치시 장안로 10  #똥손도금손이될수있는 #커피공예체험 #조치원테마거리 #세종전통시장 #조치원골목 #조치원 #세종조치원 #조치원시장 #마실골목 #마실토리공방 #커피공예 #커피찌꺼기 #커피공예품 #커피가루 #세종시  ✔︎ 제2기 시민VJ 김현수 기자"|https://i.ytimg.com/vi/n53k52OIi6E/default.jpg|"세종시세종세종특별자치시세종볼거리대한민국세종sejong커피공예커피공예체험커피가루조치원조치원시장조치원마실골목조치원골목세종전통시장조치원공방커피공방세종시조치원세종조치원똥손금손조치원테마거리마실공방마실토리공방"|26|NULL|PT3M22S|false|188|24|0|9
wZq92-m6lO0|2020-07-13T07:28:00Z|UCosgR0a4guwZ_BwiV-c5U8w|"6.25전쟁 70주년, 당신들이 있었기에 지금의 대한민국이 있습니다"|"지금으로부터 70년 전인  1950년 6월 25일  이 나라를 지키고자  전장으로 향했던 그들,  그들이 있었기에  지금의 대한민국이 있습니다  6.25전쟁 참전용사, 우리들의 영웅이야기 영상으로 확인해주세요   #625전쟁 #참전용사 #참전유공자 #우리영웅 #대한민국 #호국영웅 #국가유공자 #625전쟁70주년 #세종시참전용사  📢BGM 태극기 휘날리며 OST Lee Dong June 태극기 휘날리며 Taegukgi (Original Movie Soundtrack)"|https://i.ytimg.com/vi/wZq92-m6lO0/default.jpg|"세종시세종세종특별자치시세종볼거리대한민국세종sejong6.25625전쟁6.25전쟁참전용사영웅6.25전쟁70주년국가유공자국가호국영웅참전유공자대한민국625참전유공자"|26|NULL|PT2M18S|false|163|11|0|0
kWANAErA4wk|2020-07-13T02:15:00Z|UCosgR0a4guwZ_BwiV-c5U8w|"환경오염 주범! 처치곤란 아이스팩 재활용수거함?!"|"내용물 재활용도 안되고  분리수거도 안되서  냉동실에 처박혀  자리차지만 하는   처치곤란 아이스팩!  필요한 분들을 위해 재활용 수거함이 세종에 있습니다!  필요한 사람들은 가져가고 필요없는 사람들은 나눠주고 똑똑세종을 통해  제안해주신  똑똑한 시민의 아이디어입니다  작은 아이디어라도  많이많이 제안해주세요~!   * 세종시 ‘똑똑세종’ https:www.sejong.go.krshrUrlmZNq630sHUBvSrCu41W6.do   #난냉동식품만시켰는데 #너네는왜왔니? #버리지말고재활용하세요 #아이스팩수거함 #똑똑세종 #아이스팩  #아이스팩재활용 #아이스팩수거함 #냉동식품 #버릴땐종량제봉투 #여름필수품 #아이스팩처리방법  ✔︎ 제2기 시민VJ 최수빈 기자"|https://i.ytimg.com/vi/kWANAErA4wk/default.jpg|"세종시세종세종특별자치시세종볼거리대한민국세종sejong아이스팩재활용아이스팩아이스팩수거함아이스팩폐기냉동식품환경오염아이스팩처리방법아이스팩재활용하는법icepack똑똑세종세종시아이스팩"|26|NULL|PT3M36S|false|71|5|1|7
f0BDj0k14nI|2020-07-11T08:00:07Z|UCosgR0a4guwZ_BwiV-c5U8w|"갬성노래 들으며 야간 드라이브 힐링영상 l 세종시 (Korea Sejong Night Drive)"|"수고했어 오늘도🎵  세종의 밤도  참 아름답네요~!   답답한 요즘,  갬성노래 들으며 야간드라이브 어떠세요?    🎵 Track Info: Title: Digital Solitude by Silent Partner Genre and Mood: Ambient + Sad License: You're free to use this song and monetize your videos.  #드라이브하면서듣기좋은노래 #세종시야간드라이브 #야경맛집  #세종시야경 #야간드라이브 #야경 #세종시야경 #세종여행 #세종시드라이브 #세종야경 #갬성노래 #야경드라이브 #감성노래 #드라이브노래  ✔︎ 제2기 시민VJ 서원준 기자"|https://i.ytimg.com/vi/f0BDj0k14nI/default.jpg|"세종시세종세종특별자치시세종볼거리대한민국세종sejong야경드라이브야간드라이브갬성노래갬성세종시야경세종시드라이브드라이브하면서듣기좋은노래드라이브노래추천세종드라이브야경노래힐링영상야경힐링세종힐링세종여행"|26|NULL|PT2M33S|false|221|10|1|1
a6g_oSc1LpE|2020-07-10T01:29:52Z|UCosgR0a4guwZ_BwiV-c5U8w|"주인없어 보이길래 한번 타봤습니다_전기자전거 리뷰"|"여러분 세종시에서 길가에 세워진  빨간 자전거를 보신 적 있으세요?  바로 일레클이라는  전기자전거 인데요~  대중교통 이용이  부담스러우시거나 차가 너무 막히는  출퇴근 시간,   적절하게 이용하시면  좋을 것 같습니다!    스마트폰에  일레클 공유전기자전거  어플(앱)을 다운받아  일레클의 위치, 요금안내 등  자세한 내용 확인 후,  안전하게 이용 부탁드립니다 :)  =================  - 일레클 전기자전거 https:elecle.bike  (요금정보)  기본15분1,500원 + 추가1분당100원 + 보험료120원  (할인정책)  일레클 App 화면에 표현되는 "어울링 거치대" 반납시,  200원 요금 할인. **App 업데이트 필요   #세종전기자전거 #일레클 #전기자전거리뷰 #전기자전거후기 #전동킥보드 #공유전기자전거 #전기자전거 #전기자전거추천 #전기자전거라이딩 #세종시자전거 #세종자전거 #세종여행  ✔︎ 제2기 시민VJ 권순범 기자"|https://i.ytimg.com/vi/a6g_oSc1LpE/default.jpg|"세종시세종세종특별자치시세종볼거리대한민국세종sejong전기자전거리뷰전기자전거일레클일레클리뷰일레클후기전기자전거후기자전거세종시일레클세종시자전거세종자전거전동킥보드공유전기자전거세종여행"|26|NULL|PT2M43S|false|185|7|0|0
