id|publishedAt|channelId|title|description|thumbnailUrl|tags|category|defaultLanguage|duration|caption|viewCount|likeCount|dislikeCount|commentCount
c-hNyknYV8Y|2020-07-10T05:09:54Z|UCpCtv8fw6egexjhOJpN1IZw|"소중한 생활을 지키는 올바른 소독방법! - 가정"|"소중한 생활을 지키는 올바른 소독방법!🙌 가장 중요한 생활 공간인 가정🏡에서의 소독은 어떻게 하는 것이 좋을까요~?  1단계 : 감염 예방을 위해 올바른 손 씻기와 개인 보호구 착용하기  2단계 : 창문을 열어 환기 시키기  3단계 : 소독제를 적신 천으로 가족들의 손이 많이 닿는 물건의 표면 닦기  4단계 : 소독 후 최소 1분 후 깨끗한 물로 적신 천으로 닦아주기 5단계 : 충분히 환기 시키기  📌소독에 사용된 물건은 종량제봉투에 밀봉하여 버리시고, 샤워 및 옷 갈아입는 것도 잊지 마세요.   #올바른소독방법 #코로나19 #생활소독"|https://i.ytimg.com/vi/c-hNyknYV8Y/default.jpg|"코로나19코로나광주광역시소독올바른소독방법생활방역빛튜브질병관리본부가정소독"|24|ko|PT3M16S|false|65|6|0|2
DLRPQgGe7J0|2020-07-02T09:44:37Z|UCpCtv8fw6egexjhOJpN1IZw|"🚨 높아진 강도의 사회적거리두기, 반드시 지켜야 합니다!"|"[명작으로 쉽게 이해하는 코로나19 사회적거리두기 2단계]  코로나19 확진자가 급증하고 있는 엄중한 상황입니다. 이에 따라 코로나19로 부터 광주공동체를 지키고 긴장의 끈을 다시 조이기 위해 광주시 방역 대응체계를 사회적거리두기 2단계로 격상합니다.  💡하나. 집합·모임·행사 금지 실내 50인 이상, 실외 100인 이상 모임과 행사 개최 전면 금지  ※준수하지 않을 경우 300만원 이하 벌금 및 해당시설·기관 집합금지 명령 시행 예정  💡둘. 확진자 허위 진술 및 동선 확보에 비협조적 태도일 경우 형사 처벌, 치료비 청구, 구상권 행사 등 강력한 조치  💡셋. 공공시설(시·교육청·5개 자치구 등) 운영은 7월 2일부터 7월 15일까지 운영 전면 금지  💡넷. 정부와 광주시가 정한 클럽, 노래연습장, PC방 등 13개 고위험시설 집합제한 행정조치 시행(72(목)~715(수)까지)  ※13개 고위험시설 : 클럽 등 유흥주점, 단란주점, 감성주점, 헌팅포차, 스탠딩 공연장, 노래연습장, 실내집단운동, PC방, 방문판매 등 직접판매홍보관, 대형학원(300인 이상), 유통물류센터, 뷔페, 경륜‧경정‧경마장 ​ 💡다섯. 노인요양시설 2주간 면회금지 및 종사자 대상 동일집단 격리 실시  💡여섯. 현재 발생한 확진자 관련 다중이용시설 집합금지 및 시설폐쇄 ※712일까지 북구전체 공익형 노인 일자리 사업 시행 전면중단  💡일곱. 병설유치원, 초, 중, 고, 특수학교 수업 원격 진행 (특·초·중·고등학교에 대해 2∼3일 이틀 동안 등교를 정지, 이후 학생밀집도 낮춰 등교 시행 검토)        💡여덟. 대중교통 및 다중집합시설 이용 시 마스크 착용 의무화  💡아홉. 확진자 증가 등 비상 상황 대비해 병상 추가 확보  최소 2주간(7월 2일 ~ 15일까지) 불요불급한 외출과 모임 및 다중이용시설을 자제해 주시길 바랍니다. 불가피한 외출 시에는 개인위생수칙을 준수해 주시길 바랍니다. 많은 사람이 모이는 장소에 방문하거나 행사 참석을 적극 자제하시길 바랍니다.  ​발열, 호흡기 증상이 있는 사람, 격리 해제된 사람이라도 다시 증상이 나타날 경우 반드시 관할 보건소에 연락해 검사받으시길 바랍니다.  격상된 사회적거리두기의 자세한 세부 내용은 시공식 블로그 및 홈페이지를 통해 확인 가능합니다.  (https:blog.naver.comdodreamgj222018056869)  🚨본영상은 [높아진 강도의 사회적거리두기] 캠페인을 쉽게 알리기 위해 비영리목적으로 제작된 영상입니다. 캠페인 참여를 위해 공유는 가능하나, 해당 영상의 무단 복제를 금합니다.🚨  #사회적거리두기2단계 #혹성탈출 #코로나19"|https://i.ytimg.com/vi/DLRPQgGe7J0/default.jpg|"코로나19혹성탈출사회적거리두기2단계사회적거리두기2단계다중시설공공시설집합금지동일집단격리병상확보광주광역시광주방역방역대응체계광주시빛튜브"|24|ko|PT2M21S|false|2587|17|0|10
zDz15N9u0-U|2020-06-26T13:19:04Z|UCpCtv8fw6egexjhOJpN1IZw|"광주가 정의롭고 풍요로운 시대를 엽니다!"|"혁신과 소통으로 대표되는 민선 7기, 광주시가 변화를 향해 달려온 시간이 어느덧 2년.   지난 시간동안  새로운 광주로 도약하기 위해 끊임없는 도전을 시도했으며,  청년이 살기 좋은 광주! 기업하기 좋은 광주! 정의롭고 풍요로운 광주! 를 이뤄내기 위해  우리 시민들의 소리에 귀기울이며 변화를 이끌어왔습니다.   앞으로 남은 시간동안,  우리 광주가 어떤 변화를 이끌어가게 될 지 더욱 기대가 되는데요! 새롭게 도약할 광주, 어떤 모습인지 영상으로 확인해 볼까요?  * 생생한 광주 소식을 영상으로 만나고 싶다면,    구독과 좋아요는 필수입니다 ^^  [영상요약] 혁명을 넘어 혁신으로 정의의 역사를 딛고 풍요로운 내일로 광주가 새롭게 도약합니다.  인공지능 중심도시로 시작된 광주의 새로운 패러다임은   세계의 자본과 정보를  경제자유구역으로 불러들이고  노사상생형 일자리 모델인 광주형 일자리의 저력을 더해  기술, 자본, 사람이 역동하는  광주를 만들고 있습니다.  광주에서 시작되는  대한민국의 4차 산업혁명   끊임없는 혁신의 힘으로 정의롭고 풍요로운 미래를 엽니다.  #인공지능 #광주형일자리 #4차산업혁명"|https://i.ytimg.com/vi/zDz15N9u0-U/default.jpg|"광주광역시GWANGJU광주인공지능AI광주형일자리자동차공장문재인대통령이용섭4차산업혁명상생형일자리일자리청년청년드림관광광주풍요로운광주정의민주도시인권도시"|24|ko|PT1M8S|false|291|18|0|0
umNbZW8P6JU|2020-06-25T09:46:09Z|UCpCtv8fw6egexjhOJpN1IZw|"[코로나19, 슬기로운 방역생활] 돌잔치, 결혼식 등에서 식사보다는 답례품으로🙏🏻🙏🏻"|"2020년 세계는 여전히 코로나19 파도에.... 잠잠해지는가 싶더니 엎친데 덮친격으로 끝이 없으니...😢😢  슬기로운 방역 생활로 코로나19 극복💪🏻💪🏻  생활 속 거리두기 현명하게 생활 방역으로  🚨돌잔치, 결혼식 등에서 식사보다는 답례품으로 🚨코로나19 고위험 시설에선 QR코드를 꼭 찍어주세요 🚨식당, 카페 등에 머무르는 시간 최소화 🚨폐쇄된 공간에서는 가능한 서로 마주보지 않고 한 방향 바라보기 🚨음식은 개인 접시 가능한 포장 및 배달 주문 🚨실외에서 사람 간 2미터 이상 간격이 있으면 마사크는 살~짝 벗기 🚨실내에선 마스크 반드시착용!  현명한 생활 방역으로  코로나19 위기 극복 할수있습니다! 그리고 그곳엔 코로나19는 없었다.......🙏🏻🙏🏻 #코로나19 #생활방역 #생활속거리두기"|https://i.ytimg.com/vi/umNbZW8P6JU/default.jpg|"코로나19코로나방역생활답례품돌잔치결혼식생활방역마스크그곳엔아무도없었다"|24|ko|PT1M54S|false|404|10|0|3
fhI1qI0ZOcc|2020-06-23T02:01:21Z|UCpCtv8fw6egexjhOJpN1IZw|"🌱전국 최초 상생형 지역일자리 선정, 광주형일자리"|"‘일자리’는   ‘모두를 위한 자리’라는 신념이 ‘광주형 일자리’의 시작이었습니다.   지역이 주도한 사회적 대타협. 어렵지만 뜻깊은 여정 끝에 탄생한  대한민국 최초의 상생형 지역일자리 모델  광주가 일으킨 상생의 바람은,    고비용 저효율의 경제 구조를 개선하고  노사가 협력하는 투자고용 생태계를  전국으로 확산시키며,  한 번도 가보지 않은  혁신의 길을 열었습니다.  일하는 국민,  투자하는 기업,  지원하는 지역과 정부가 하나 되어,  양보와 타협으로 더 나은 내일을 만드는  ‘상생형 지역일자리’ 사업.  “광주형 일자리가 처음 논의되던 5년 전만 해도 가능할까 하는 회의가   많았습니다. 이 담대한 상상력이 조금씩 양보하면서 함께 가자는   사회적 합의를 통해 지난 1월 실현되었고, 이후 변화의 물결이   전국 곳곳에 번져 가고 있습니다."   그 혁신의 원천이자 지향점이 된 광주형 일자리가  대한민국 경제의 든든한 희망이 될 것입니다.  #광주형일자리 #지역상생 #상생형지역일자리"|https://i.ytimg.com/vi/fhI1qI0ZOcc/default.jpg|"광주광역시광주시지역일자리광주형일자리광주일자리상생형양보타협전국최초빛튜브혁신지역일자리모델상생"|24|ko|PT1M33S|false|165|16|0|2
YPrVeFLV4Vo|2020-06-19T02:00:10Z|UCpCtv8fw6egexjhOJpN1IZw|"※깨끗하게 맑게 자신있게! 오늘도 집으로 퇴근하고 싶은 소피아 주무관의 극한 네번째 근무지 The Love...💗  소주Go.4편_광주환경공단※"|"오늘도 공백없는 오디오🐰! 질문도 직진! 안전모 + 작업복까지 완벽하게 입고💦💦 The love💚 The love💚 노래를 부르는 소피아 주무관의 네번째 근무지는 광주환경공단 하수처리장 입니다!  광주에서 가장 큰 하수처리장의 모든 것을 보여드립니다 (소피아 주무관의 넷X릭스 따라잡기도 놓치지 마세요!)  변기에 이물질 버리지 않기❌❌ 물티슈 NoNo❌❌! 우리 모두 자연환경을 깨끗하게 보존해요!   #광주환경공단 #하수처리장 #공무원"|https://i.ytimg.com/vi/YPrVeFLV4Vo/default.jpg|"소주고하수처리장환경공단광주환경공단thelove광주광역시광주시빛튜브공무원극한직업워크맨하수처리주무관명예주무관변기물티슈"|24|ko|PT6M5S|false|1802|23|2|3
MEc-Nv22RoE|2020-06-18T01:26:43Z|UCpCtv8fw6egexjhOJpN1IZw|"2021 미래광주의 주인을 찾습니다👀👀👍🏻 [2020 광주시민총회]"|"1980년 5·18민주화운동 당시의 '민족민주화대성회'를 계승하고 지난 2017년부터 2019년까지 3년간 시민참여로 이루어졌던 시민총회의 취지를 살려 광주공동체를 위한  광주다운 의제를시민이 제안하고 결정하여,  민·관이 함께 실행방안을 마련하고 실천해 나가는소통과 참여,  연대와 협력의 시민참여 민주주의 한마당입니다.   온라인 민주주의 플랫폼 '바로소통광주'를 통해 광주공동체를 위한 광주다운 의제를시민이 제안하고 공감하면 광주시민총회에서시민과 함께 토론하고 투표하여 결정합니다.   결정된 의제는 광주공동체 실천의제로서시민모두가 함께 실천방안을 찾고 실천해 나갑니다.   광주공동체를 위한 광주다운 의제를 함께 결정하고 실천하기 위한 첫 걸음! 2020광주시민총회에 참여해주세요! 2021 미래광주의 주인을 찾습니다 연대와 협력의 광주DNA, 광주시민 모두 참여가능  🌸바로소통광주 2020 광주시민총회 이벤트🌸 🎈참여기간 : 6월 17일 (수) ~ 7월 31일 (금)  🎈발표 : 8월중 발표 예정  🎈참여방법  1. 2020 광주시민총회에 제안등록 또는 공감참여(택1)  2. 공유하기  ※ 1, 2를 모두 진행해야 합니다.  ※ 제안과 공감(투표)를 위해 로그인이 필요합니다.   🎁🎁증정선물 🎁🎁 제안, 공감, 공유 참여자 중 추첨을 통해 쏟아지는 선물!  1. 최우수제안상(3대의제) 상생카드 20만원 3명  2. 우수제안상(10대의제) 상생카드 10만원 7명  3. 참여소통상 기프트콘 1만원상당 50명  (꿀팁~!) 미션을 모두 진행하면 당첨확률이 높아집니다~!   🍀제안·공감하기  제안 및 공감 기간 : 2020. 6. 17.(수) ~ 7. 31.(금), 45일간 참여방법 : '바로소통광주'를 통한 온라인 등록 참여내용 : 기간 내 누구나 자유롭게 제안하고, 제안된 내용에 ‘좋아요’ 공감하기 의제범위 광주정신을 살려 모든시민이 연대, 협력하여 실천할 수 있는 과제로서 더 좋은 광주를 만들기 위한 미래지향적 실천과제 또는 광주공동체가 직면한 위기나 문제를 해결해야 할 과제  🍀시민패널 신청하기  신청기간 : 2020. 6. 17.(수) ~ 7. 31.(금), 45일간 신청방법 : '바로소통광주'를 통한 온라인 신청, 추첨으로 선정(200명) - 활동사항 2020 광주시민총회(9. 12. 토) 참석 - 최종의제 선정을 위해 현장토론과 투표  #바로소통광주 #시민총회 #광주공동체"|https://i.ytimg.com/vi/MEc-Nv22RoE/default.jpg|"광주시민총회시민패널2020시민총회제안바로소통바로소통광주공감이벤트상생카드토론공동체광주공동체3대의제10대의제"|24|ko|PT41S|false|106|10|0|2
VOIwlLK8gYM|2020-06-11T09:38:45Z|UCpCtv8fw6egexjhOJpN1IZw|"[환경의 날 캠페인] 환경공단 X 소피아 X 도시철도 특급 콜라보😎😎!"|"6월 5일 환경의날 기념해  초롱이와 씽씽이 그리고 소피아가  환경공감대 키우기 캠페인을 실시하기 위해 만났습니다🎉🎉!  환경도 지키고! 청렴도 지키는!  초롱이와 씽씽이 그리고 소피아의  환상적인 캐미를 영상으로 확인해 주세요💕!   환경을 위한 여려분의 작은실천이 아름다운 지구 우리의 '광주'를 지킵니다.  *세계환경의날은? 국제사회가 지구환경보전을 위해 공동노력을 다짐하며 제정한 날   *광주환경공단은 광주광역시 '음식물쓰레기 30% 줄이기' 감량과 관련한 '음식물쓰레기 줄이기' 일회용품 사용하지 않기 등 친환경 생활을 위한 메시지를 시민분들께 전달 했습니다!  #환경공단 #도시철도공사 #환경의날"|https://i.ytimg.com/vi/VOIwlLK8gYM/default.jpg|"환경공단소피아도시철도광주도시철도씽씽이초롱이광주환경공단환경의날빛튜브광주광역시광주시환경의날캠페인세계환경의날"|24|ko|PT4M55S|false|3636|24|1|11
QmQxPsaoJj8|2020-06-09T05:42:50Z|UCpCtv8fw6egexjhOJpN1IZw|"사회를 향한 당당한 첫 걸음😎😎! 2020년 청년교통수당드림!"|"사회를 향한 첫 걸음! 당당한 청년의 도전을 위한, 교통비를 드림!  2020년 청년교통수당드림😎!  💡대  상 : 공고일(526) 전일기준 주민등록상 광주 거주자 만19세 이상 만 34세 이하(1985.1.2 ~ 2001.1.1 출생자) *만 19~34세 미취업 청년 *가구 중위소득 150%이하 가구원 구직활동 의지가 있는 미취업 청년 (2020년 2월 건강보험료 산정기준) 💡신청기간 : 6월 8일(월)- 6월17일(수) 💡지원내용 : 총 30만원 충전 교통카드 지급(1,810명) 💡접수방법 : 온라인 신청(https:gj3dreams.modoo.at) 광주청년센터 회원가입 →2020교통수당드림사업 신청→구비서류 업로 구비서류 업로드(제출서류 시 홈페이지 고시공고란 참조) 💡발  표 : 2020년 6월 26일(금) 10:00  시 홈페이지 공고란 및 개별 연락 예정  전국 시내버스 지하철 고속버스 ktx까지  어디서든 사용가능한 (택시는 광주지역만 이용가능합니다) '청년교통수당' 청년의 '당당한'내일을 응원하겠습니다.🥳🥳  #2020청년교통수당드림 #교통수당 #광주청년"|https://i.ytimg.com/vi/QmQxPsaoJj8/default.jpg|"광주광역시광주청년청년교통수당광주청년드림광주교통수당다름교통수당청년센터광주청년센터2020교통수당드림택시버스ktx지하철"|24|ko|PT31S|false|99|5|0|0
57AF2QSbj24|2020-06-08T06:55:13Z|UCpCtv8fw6egexjhOJpN1IZw|"[집중호우☔️태풍🌪폭염☀️] 여름철 위험기상피해 예방! 기상정보를 자주 확인하는 습관 안전한 생활의 시작입니다☺️"|"많은 비가 짧은 시간 동안 좁은 지역에 쏟아지는 '집중호우'☔️ 강한 바람이 불거나 많은 비가 쏟아지는 '태풍'🌪 무더운 여름, 고온이 지속되는 '폭염'☀️🔥 어떻게 대비해야 할까요?  💡기상청이 '호우특보'를 발표하면, 상습침수지역 계곡 등 침수 위험지역에서 대피 배수로, 옹벽, 축대 등 사전점검 합니다!  💡기상청이 '태풍특보'를 발표하면 침수, 해일 예상지역에서 대피 창문, 간판,선박 등 단단하게 고정합니다!  💡기상청이 '폭염특보'를 발표하면 물 섭취 및 햇빛 차단 실내에서 냉방용품 충분히 활용 야외에서 일할땐 그늘에서 충분한 휴식을 취합니다!  기상정보를 자주 확인하는 습관 안전한 생활의 시작입니다! 기상특보는 기상청 '날씨알리미' 앱을 통해  편리하게 확인하실 수 있습니다.👐🏻  #집중호우 #태풍 #폭염"|https://i.ytimg.com/vi/57AF2QSbj24/default.jpg|"기상특보집중호우태풍폭염여름기상날씨날씨알리미기상정보기상청그늘침수해일선박햇빛차단광주광주광역시"|24|ko|PT1M1S|false|180|5|0|0
