id|publishedAt|channelId|title|description|thumbnailUrl|tags|category|defaultLanguage|duration|caption|viewCount|likeCount|dislikeCount|commentCount
9X_F6aJbSwM|2020-07-20T02:30:00Z|UCzW0FveoY3_sTgBjvpG7Kwg|"[Oh-KEIT!] 소부장 ★핫이슈★  "그래서 성과는 어떻게 됐는데?""|"지난주에는 소부장이 무엇인가에 대해 설명해드렸죠. (아직 안 보신 분들은 ☞ https:youtu.be2tctCAS0YrI ☜ CLICK!)  이번주는 소부장 성과에 대해 알려드리겠습니다. 영상을 통해 지난 1년의 성과를 확인해 주세요!  ☞ 소·부·장 지원방향(0:41) ☞ 소·부·장 사업 목표(1:32) ☞ 수출규제 3대 품목 설명(2:39) ☞ 현재까지의 성과!(3:19)  ★ 매주 월요일 오전 11시 30분 공개! ☆ 점심시간에 심심하면 Oh-KEIT 영상 보기  #KEIT #소부장 #1년성과"|https://i.ytimg.com/vi/9X_F6aJbSwM/default.jpg|"소부장R&D국뽕화이트리스트산업기술소재부품장비소부장성과무역갈등소부장1년성과일본규제"|28|NULL|PT6M8S|false|51|9|0|3
2tctCAS0YrI|2020-07-13T02:30:00Z|UCzW0FveoY3_sTgBjvpG7Kwg|"[Oh-KEIT!] 소부장 ★핫이슈★  한 방 정리! 솔직히 우리나라 사람이면 이 영상 다 봐야 한다."|"아직도 소부장이 뭔지 정확히 모르는 사람은 조용히 손을 들어주세요... 이런 분들을 위해 KEIT가 깔끔하게 정리해 드리러 왔습니다.  "도대체 소부장이 뭔가요?" "뉴스에 왜 이렇게 소부장 얘기가 많이 나오죠?" "그래서 도대체 우리나라는 뭘 하고 있는데요?"  위 질문에 대해 알려 드리겠습니다.  한국인이라면 알아야 하는 소부장 상식. 소부장의 중요성과 위기부터 현재 상황까지!  영상을 통해 확인해 주세요!  ☞ 소·부·장이란?(0:38) ☞ 소·부·장 위기(2:21) ☞ 위기를 타파하기 위한 우리나라의 노력!(4:20)  ★ 매주 월요일 오전 11시 30분 공개! ☆ 점심시간에 심심하면 Oh-KEIT 영상 보기  #KEIT #소부장 #핫이슈정리 . . .  "이벤트가 20년 7월 20일부로 종료되었습니다. 참여해주신 모든 분들, 감사합니다!" . . . ■□■ 초복 맞이 구독 이벤트 안내 ■□■  지금 바로 KEIT 공식 유튜브 채널을 구독해주세요! 추첨을 통해 10명을 선정해 치킨 기프티콘을 쏩니다 ♥  1. 이벤트 참여 기간 : 2020년 7월 13일 ~ 2020년 7월 19일  2. 이벤트 참여 방법 : 1) KEIT 공식 유튜브 채널(Oh-KEIT!) '구독'을 누른다. 2) ①구독 인증 화면 ②구독자명 ③휴대전화 번호를 이메일(mjkang@keit.re.kr)로 보낸다. ※ 이메일 발송 시 개인정보 수집에 동의하는 것으로 간주합니다. (수집된 개인정보는 이벤트 목적으로만 활용하고, 이벤트 종료 후 한 달 내 파기함) 3) 당첨자 발표를 기다린다! ※ KEIT 공식 유튜브 채널 내 여러 영상에 댓글 남기면 당첨 확률 UP! UP!  3. 이벤트 당첨자 발표 : 2020년 7월 27일(예정)  "상기 일정은 사정에 따라 변동될 수 있습니다."  *** BGM 정보  Kevin MacLeod의 A Mission - Scoring Action은(는) Creative Commons Attribution 라이선스(https:creativecommons.orglicensesby4.0)에 따라 라이선스가 부여됩니다.  출처: http:incompetech.commusicroyalty-freeindex.html?isrc=USUAN1100343 아티스트: http:incompetech.com  Audionautix의 Opus One은(는) Creative Commons Attribution 라이선스(https:creativecommons.orglicensesby4.0)에 따라 라이선스가 부여됩니다.  아티스트: http:audionautix.com  Kevin MacLeod의 Iron Horse - Silent Film Dark은(는) Creative Commons Attribution 라이선스(https:creativecommons.orglicensesby4.0)에 따라 라이선스가 부여됩니다.  출처: http:incompetech.commusicroyalty-freeindex.html?isrc=USUAN1100735 아티스트: http:incompetech.com"|https://i.ytimg.com/vi/2tctCAS0YrI/default.jpg|"소부장일본수출R&D국뽕화이트리스트산업기술소재부품장비소부장정의무역갈등"|28|NULL|PT6M52S|false|1227|247|0|315
esmBj1oR4fY|2020-07-06T02:30:01Z|UCzW0FveoY3_sTgBjvpG7Kwg|"[Oh-KEIT!] 내돈내산 리얼 후기 인증 모아 봤습니다"|"KEIT의 지역기업 상생 프로젝트 기억하시나요? 기억 안 나시는 분들은 일단 아래 링크 눌러서 영상 보고 오세욧~ ㅋ_ㅋ ☞ https:youtu.bejenIY-G6KdQ  오늘은 당시 진행했던 이벤트를 통해 접수된 영상을 소개합니다!  ①씨엠에이글로벌 제품에 대한 구매 후기  ②중소기업에 대한 응원 메시지  이 두 가지 내용이 담긴 영상인데요,  많은 구독자 분의 따뜻한 마음을 볼 수 있었답니다.  ㅠㅠ 보내주신 모든 분들께 진심으로 감사의 인사를 드립니다! ㅠㅠ * 당첨자 분들께는 2주 내로 별도 안내 문자를 드리겠습니다.  #KEIT #씨엠에이글로벌 #지역기업상생  ★★★ 잠깐! 신조어 설명 시간! ★★★ * 내돈내산 : 내 돈 주고 내가 산  * 리얼후기 : 진짜 후기"|https://i.ytimg.com/vi/esmBj1oR4fY/default.jpg|"씨엠에이글로벌구매인증구매후기초극세사김서림방지데스크패드에코백파우치안경닦이마스크"|28|NULL|PT4M23S|false|333|38|0|48
aFTXhVtd55M|2020-06-29T02:30:02Z|UCzW0FveoY3_sTgBjvpG7Kwg|"[Oh-KEIT!] 정부과제 평가위원, 어떻게 하면 될 수 있는 거죠?  "평가위원 파헤치기 영상 공개""|"평가위원은 신청하면 다 되는 건가요? 평가위원은 어떤 기준으로 뽑는 거죠? 평가위원 관리는 어떻게 이루어지고 있죠?  ******************************************** 평가위원 관련 수많은 궁금증을  해결하기 위해 준비했습니다. ********************************************  ☞ 평가위원의 역할(0:29) ☞ 평가위원 신청(추천) 방법(2:07) ☞ 평가위원 위촉 절차(2:49) ☞ 평가위원 임기(4:46) ☞ 평가위원 현행화(5:17)  ******************************************** 많은 분들이 궁금해하셨던 부분들을  사이다 마신듯 시원하게 알려드리겠습니다. ********************************************  ★ 매주 월요일 오전 11시 30분 공개! ☆ 점심시간에 심심하면 Oh-KEIT 영상 보기  #KEIT #평가위원 #위촉절차"|https://i.ytimg.com/vi/aFTXhVtd55M/default.jpg|"산기평연구개발사업산업기술R&D평가전문성평가위원회과제선정정부과제평가위원선정정부R&D공정성"|28|NULL|PT5M57S|false|807|48|0|33
LsXrdlyPbtU|2020-06-22T02:39:27Z|UCzW0FveoY3_sTgBjvpG7Kwg|"[Oh-KEIT!] iTECH+ Q&A (8) 협약서 출력 방법"|"KEIT는 과제수행자 여러분들을 위해 iTECH+ 이용 관련 영상을 제작하고 있습니다.  오늘은 '협약서 출력 방법'을 알려드리려고 합니다! 영상을 참고하셔서, 차근차근 해보세요 ^_^ 궁금한 사항이 있으시면 언제든 댓글로 남겨 주세요 ♥  앞으로도 항상 과제수행자 여러분들을 위해 노력하는 KEIT가 되겠습니다!  ★ 매주 월요일 오전 11시 30분 공개! ☆ 점심시간에 심심하면 Oh-KEIT 영상 보기  #한국산업기술평가관리원 #KEIT #협약서출력방법"|https://i.ytimg.com/vi/LsXrdlyPbtU/default.jpg|"산기평아이테크itech정부과제정부R&D연구개발과제협약서출력방법협약서출력협약설명회"|28|NULL|PT3M7S|false|256|30|0|11
Po6E5g2FZ54|2020-06-15T02:30:04Z|UCzW0FveoY3_sTgBjvpG7Kwg|"[Oh-KEIT!] 당뇨병 환자에게 따뜻한 희망을, "승희야, 더 이상 아프지 말자!""|"기발한 주행 네 번째 이야기! 당뇨병 환자들을 위한 두 가지 기술을 소개합니다.  1. 체혈 없이 소변으로 당뇨유형을 진단하는 바이오센서  지금까지는 1형과 2형으로 구분되는 당뇨병을 모두 체혈을 통해 검사했다고 합니다. 그러나 영상에서 소개하는 바이오센서 기술은 체혈 없이 소변으로만 1형과 2형을 구분합니다. 덕분에 체혈에 거부감이 있는 아이들에게 매우 긍정적인 평가를 받고 있다고 합니다!  2. 기존 주사기보다 통증이 훨씬 완화된 '자가무통주사기'  매일 여러 번 주사를 맞는 당뇨병 환자들에게 주사기의 고통은 정말 큽니다. 자가무통주사기는 새로운 방법으로 약을 투입하기 때문에 통증을 훨씬 완화합니다. 이 역시 당뇨병이 있는 환자 분들, 특히 어린이들에게는 큰 선물과 같다고 하네요.  영상을 통해 KEIT의 따뜻한 R&D 성과를 확인해 주세요. 또, 댓글을 통해 승희 어린이에게 응원의 메시지도 부탁 드립니다. ^_^  ☆ 매주 월요일 오전 11시 30분 공개 ★ 점심시간에 심심하면 Oh-KEIT 영상 보기  #한국산업기술평가관리원 #KEIT #따뜻한연구개발"|https://i.ytimg.com/vi/Po6E5g2FZ54/default.jpg|"당뇨병소아당뇨당뇨환우바이오기술헬스기술당뇨치료안아픈주사따뜻한R&D어린이당뇨치료당뇨치료사례"|28|NULL|PT5M16S|false|2749|139|0|117
89eU_YXtKkc|2020-06-08T02:30:00Z|UCzW0FveoY3_sTgBjvpG7Kwg|"[Oh-KEIT!] "언택트 평가, 하이브리드 평가" 코로나19로 찾아온 KEIT의 변화"|"오늘은 엄.근.진(엄격.근엄.진지) 모드입니다... KEIT 정양호 원장의 산업뉴스in 실제 인터뷰 클립을 가져왔습니다.  도전적 R&D로 미래를 준비하는 KEIT 현황에 대해 심도 있고 진지한 대담을 나누었습니다. 또 코로나19로 KEIT가 추진해 오던 언택트 평가나 하이브리드 평가에 대한 이야기도 나온답니다.  이밖에도 연구자들을 위한 KEIT의 노력  소재, 부품, 장비 산업에서의 역할  앞으로의 비전 등  다양한 주제를 다루고 있으니, KEIT가 궁금하셨던 분들은 영상을 통해 확인해 주세요!  #한국산업기술평가관리원 #KEIT #기관장인터뷰"|https://i.ytimg.com/vi/89eU_YXtKkc/default.jpg|"정양호언택트산업뉴스산기평코로나19일키미스트비대면평가성과발굴산업기술R&D인터뷰"|28|NULL|PT14M22S|false|488|71|0|51
jenIY-G6KdQ|2020-06-01T02:30:09Z|UCzW0FveoY3_sTgBjvpG7Kwg|"[Oh-KEIT!] KEIT의 지역기업 상생 프로젝트!"|"코로나19로 매출에 어려움을 겪고 있을 KEIT 과제 수행기관을 대신 홍보해 드리기 위해 왔습니다.  오늘 소개해드릴 기업은 '씨엠에이글로벌'이라는 중소기업인데요. 대구광역시에 위치한 지역 기업으로, 초극세사 섬유 관련 제품을 판매하는 친환경 기업입니다! 물론, KEIT의 연구개발 지원도 받았답니다.  오늘 영상을 끝까지 보시면 씨엠에이글로벌 제품에 대한 특별 프로모션 혜택을 확인하실 수 있습니다. 게다가 씨엠에이글로벌 제품 구매자들을 대상으로 이벤트도 진행하고 있으니 많은 참여 바랍니다! ★ 특별 프로모션 + 이벤트가 동시에 진행되고 있답니다! ★  . . .  "이벤트가 20년 6월 29일부로 종료되었습니다. 참여해주신 모든 분들, 감사합니다!" . . .  ♥♥♥ 이벤트 참여 방법 ♥♥♥  1. KEIT 공식 유튜브 채널(Oh-KEIT!) 구독하기를 누른다.  2. 씨엠에이글로벌 제품을 구매하고 인증 영상을 찍는다. - 구매금액에 대한 제한은 없습니다. - 인증 영상은 30초 이내 자유 형식으로 찍으시면 됩니다(얼굴과 목소리 나오지 않아도 됨). - ①제품에 대한 구매 후기, ②중소기업에 대한 응원 메시지를 꼭 담아 주세요(멘트 언급 또는 글로 표현). - (주의) 위 ①, ② 사항이 담기지 않은 영상은 이벤트 참여 대상으로 간주되지 않습니다!!! * 보내주신 영상은 추후 KEIT 유튜브에 활용될 예정입니다.  3. 인증 영상과 이벤트 상품을 받을 개인 정보를 이메일(pym0420@keit.re.kr)로 보낸다. - ①인증 영상, ②구독자명, 상품(기프티콘) 수령할 ③휴대전화 번호를 함께 보내주세요. - 메일을 보낼 시 개인정보 수집에 동의하는 것으로 간주합니다. * 수집된 개인정보는 이벤트 상품 발송 외에는 사용되지 않으며 이벤트 종료 후 한 달 내에 파기합니다.  ■ 구매기간 : 2020.06.01.(월) ~ 2020.06.14.(일) * 위에 기재된 구매기간 중 제품을 구매하신 분들만 이벤트 참여 대상으로 간주됩니다. * 구매사이트 : http:www.izmo.co.kr 또는 https:smartstore.naver.comclearsee  ■ 접수기간 : 2020.06.01.(월) ~ 2020.06.28.(일) * 위에 기재된 접수기간 중 인증 영상을 보내주신 분들만 이벤트 참여 대상으로 간주됩니다.  ■ 상품 : 치킨 또는 아이스크림 기프티콘(단, 내부사정에 따라 타 상품으로 대체될 수 있음)  #KEIT #씨엠에이글로벌 #지역기업살리기"|https://i.ytimg.com/vi/jenIY-G6KdQ/default.jpg|"초극세사안경닦이에코백씨엠에이글로벌마우스패드쿠션파우치산기평지역상생구독자이벤트"|28|NULL|PT6M38S|false|740|60|0|37
Fbw0zEh1ds0|2020-05-25T02:30:00Z|UCzW0FveoY3_sTgBjvpG7Kwg|"[Oh-KEIT!] 1일 1깡 하기 좋은 곳이 대구 혁신도시에 있다"|"숨어서 1일 1깡 하고 계신 분들께 좋은 산책로 알려드립니다. 대구 혁신도시 산책로는 한적하고 조용해 오롯이 깡에만 집중할 수 있습니다(진지).  거기에 화려한 조명이 감싸듯 햇빛이 비치는 동곡지도 있답니다. RAIN은 없어도 KEIT는 있는(막 던지기) 대구 혁신도시 탐방 2탄, 지금 바로 확인해 보세요.  * 본 영상은 COVID-19(코로나19) 확산 이전(2019년 12월)에 촬영한 영상입니다.  ★ 매주 월요일 오전 11시 30분 공개! ☆ 점심시간에 심심하면 Oh-KEIT 영상 보기  #한국산업기술평가관리원 #대구혁신도시 #1일1깡"|https://i.ytimg.com/vi/Fbw0zEh1ds0/default.jpg|"대구혁신도시대구데이트코스산책로1일1깡근교나들이조곡지동곡지raingang고라니"|28|NULL|PT3M21S|false|534|30|0|26
8xvqkHpChTI|2020-05-18T02:30:00Z|UCzW0FveoY3_sTgBjvpG7Kwg|"[Oh-KEIT!] iTECH+ Q&A (7) 통보성 협약 변경 방법"|"KEIT는 iTECH+ 이용 관련 FAQ를 영상으로 제작하고 있습니다.  오늘은 '통보성 협약 변경 방법'을 알려드리려고 합니다! 영상을 참고하셔서, 차근차근 해보세요 ^_^  ★ 매주 월요일 오전 11시 30분 공개! ☆ 점심시간에 심심하면 Oh-KEIT 영상 보기  #한국산업기술평가관리원 #KEIT #협약변경"|https://i.ytimg.com/vi/8xvqkHpChTI/default.jpg|"산기평아이테크itech정부과제정부R&D연구개발과제협약변경세목간조정코로나19특별지침협약설명회"|28|NULL|PT4M44S|false|669|33|0|2
