id|publishedAt|channelId|title|description|thumbnailUrl|tags|category|defaultLanguage|duration|caption|viewCount|likeCount|dislikeCount|commentCount
uFmEr0VERtA|2020-07-16T19:37:25Z|UCzXNBo1PYNsqSrN19XK3hPw|"[*실시간교육]포스트 코로나 시대 관광산업 대응방향과 과제(한국문화관광연구원 최경은 연구위원)"|""|https://i.ytimg.com/vi/uFmEr0VERtA/default.jpg|NULL|19|NULL|PT1H31M16S|false|246|17|1|0
PbY_M-Cvp7Y|2020-05-26T05:47:19Z|UCzXNBo1PYNsqSrN19XK3hPw|"다달이 인천여행 '강화도 액티비티편'"|"다달이 인천여행 . 인천 #강화도 에서 #액티비티 즐기기! 수도권에서 가까운 강화도에서 짜릿함을 즐길 사람, 손!!? #당일치기 #체험여행 이 가능한 #인천 으로 오세요! . 1. 사계절이 모두 즐거운 #강화씨사이드리조트 #루지 2. 아이들의 창의 체험공간 #옥토끼우주센터 3. 아름다운 자연과 짜릿한 스릴만점 #강화레포츠파크"|https://i.ytimg.com/vi/PbY_M-Cvp7Y/default.jpg|"다달이인천여행강화루지옥토끼우주센터강화레포츠파크이달에가볼만한곳인천가볼만한곳인천여행액티비티인천레저incheonvisitincheonactivityganghwalugetravelhealingextremerecommendkoreatrip"|19|NULL|PT2M5S|false|1558|40|0|6
BLZY6Nn6FcY|2020-05-06T05:13:41Z|UCzXNBo1PYNsqSrN19XK3hPw|"Incheon always with you"|"In these extremely challenging times You are not alone. Incheon always, with you. Stay strong, Stay safe, and Stay connected. We will get through this, together. Stay home today. Visit us tomorrow. Incheon always, with you."|https://i.ytimg.com/vi/BLZY6Nn6FcY/default.jpg|"covid19alwaysincheonincheontourincheontourismvisitincheontomorrowcampaigntravelsocialdistancing"|19|NULL|PT1M|false|422|6|0|0
wedTlWgPH9g|2020-04-07T23:35:45Z|UCzXNBo1PYNsqSrN19XK3hPw|"Songdo Convensia, Incheon's Representative MICE Venue"|"The nearest Exhibition & Convention Center in the World, Songdo Convensia!"|https://i.ytimg.com/vi/wedTlWgPH9g/default.jpg|"송도송도컨벤시아국제회의복합지구송도국제도시인천micemicecitymicevenuesongdoconvenciaconventioncentersongdoincheonexhibitionmeetingbusinessmiceintegrateddistrict"|19|NULL|PT2M55S|false|340|5|0|1
_8R4Q6tgd7s|2020-04-01T09:58:16Z|UCzXNBo1PYNsqSrN19XK3hPw|"Incheon Tourism Video ｜Always OPEN city Incheon"|"Easy to reach, being closest to the skyway.  In this city full of life, the fanciness that blends with the old will satisfy anything.  The magical scenery you don't know how you'll meet will come to you as a heart touching moment.  When you stay at a place for you prepared here and there, you will then know why they call this place ALL WAYS INCHEON.     To wherever you want, over time and space, the first in Incheon will be an especialness over the newness.  Always OPEN city Incheon!"|https://i.ytimg.com/vi/_8R4Q6tgd7s/default.jpg|"incheonsongdoopenportcitytourtraveltourglobalcitymiceganghwaisland"|19|NULL|PT1M1S|false|326|6|0|1
hcRG5Gb-A-U|2020-03-27T02:36:58Z|UCzXNBo1PYNsqSrN19XK3hPw|"인천관광 홍보영상 - Always OPEN city Incheon"|"alway open city Incheon! 한국최초 인천최고의 역사 문화,  오감만족 먹거리,  168개의 섬과 바다,  전세계와 가까운 인천공항, MICE하기 좋은 국제도시 송도 등 다양한 매력을 가진 도시 인천으로 오세요^^"|https://i.ytimg.com/vi/hcRG5Gb-A-U/default.jpg|"인천인천여행여행송도개항장인천섬섬여행풍경도시여행인천가볼만한곳incheontravelcityalwaysincheonsongdoopenportcitylifegetawayglobalcitycitytour"|19|NULL|PT1M1S|false|1921|15|1|3
28qaRLk1dB8|2020-03-03T02:23:25Z|UCzXNBo1PYNsqSrN19XK3hPw|"국제기구와 MICE인들이 전하는 그린 MICE 실천 메시지"|"Going Zero Waste  Green MICE City, Incheon  소수가 실천하는 Zero Waste보다 더 많은 사람들이 조금씩 실천하는 Zero Waste를 원합니다.  인천 송도 국제회의복합지구는 더 깨끗한 지구를 위해 그린 MICE를 실천합니다."|https://i.ytimg.com/vi/28qaRLk1dB8/default.jpg|NULL|19|NULL|PT31S|false|153|4|0|1
NihjkUx-iK8|2020-01-23T09:42:16Z|UCzXNBo1PYNsqSrN19XK3hPw|"추~운 겨울 어디를 가면 좋을까? 가족과 함께하기 좋은 인천의 여행지 추천!"|"가족과 여행하기 좋은 인천!❤ 이렇게 추운 날씨에는 어디를 가면 좋을까요?🤔 가족여행도 역시 인천이지👩 👩 👧 👧"|https://i.ytimg.com/vi/NihjkUx-iK8/default.jpg|"인천인천관광공사여행인천여행가족여행여행지추천인천여행지추천인천가볼만한곳여행유튜브가족여행추천국내여행미추홀공원스케이트스케이트장파라다이스시티영종도송도아트스페이스미술관전시"|19|NULL|PT2M42S|false|357|7|0|0
SiBwFNeVROk|2020-01-06T10:18:13Z|UCzXNBo1PYNsqSrN19XK3hPw|"인천관광TV-강화도&교동도 평화투어편"|"평화, 인천을 너머 - 인천 강화도, 교동도 -  - 북한을 가깝게 볼 수 있는 강화평화전망대  - 강화바다를 지키던 조선의 요새 연미정, 월곶돈대  - 전시관, 체험, 카페까지 있는 관광안내소 교동 제비집  - 간판에서 만나는 소박한 과거의 기억 대룡시장  - 고려시대에 창건된 화개사  - 공자의 신주가 모셔져 있는 교동향교  - 중종반정으로 폐위된 연산군의 유배지  - 고을을 안전하게 지켜주던 교동읍성  - 통일염원이 담긴 망향대  ▼지도에서 보기▼ http:bit.ly2Zu7Je6"|https://i.ytimg.com/vi/SiBwFNeVROk/default.jpg|"인천인천여행인천관광강화도강화도여행강화도가볼만한곳강화도여행코스국내여행국내여행추천강화도여행추천여행코스추천교동도교동도여행강화평화전망대월곶돈대교동제비집대룡시장화개사교동향교연산군연산군유배지교동읍성망향대"|19|NULL|PT2M6S|false|342|2|0|2
xE7XyHr-WD8|2019-12-31T07:40:39Z|UCzXNBo1PYNsqSrN19XK3hPw|"2019년의 마지막 해와 2020년의 첫 해! 인천의 해넘이·해돋이 명소에서 만나보세요!"|"뜻깊은 마지막날을 보내기 위해 해넘이를 보러 떠나는건 어떠세요?🌅 인천의 정서진은 해넘이가 아름답기로 유명해서 해마다 많은 사람들이 모입니다.👍  2020년, 처음으로 떠오르는 해를 보며 소원을 비는 분들이 많으실텐데요. 서해임에도 불구하고 아름다운 해돋이를 볼 수 있는 곳!🌄 바로 거잠포입니다.!  새해에도 여행은 인천이지!😍  모두들 새해 복 많이 받으세요!🙍‍♂️🙍‍♀️"|https://i.ytimg.com/vi/xE7XyHr-WD8/default.jpg|"인천인천관광공사인천여행거잠포정서진해맞이해넘이해돋이해돋이명소해넘이명소인천해돋이인천해맞이서해2020"|19|NULL|PT1M30S|false|235|2|0|0
